,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2007-05-01,11.666929766367067,11.396547595733297,12.2951885240071,11.666929766367067,11.666929766367067,0.16909314145512472,0.16909314145512472,0.16909314145512472,0.16909314145512472,0.16909314145512472,0.16909314145512472,0.0,0.0,0.0,11.836022907822192
1,2007-06-01,11.66395981820621,11.074099584963474,11.953820215310648,11.66395981820621,11.66395981820621,-0.14969675503590424,-0.14969675503590424,-0.14969675503590424,-0.14969675503590424,-0.14969675503590424,-0.14969675503590424,0.0,0.0,0.0,11.514263063170306
2,2007-07-01,11.661085674787984,11.315082091199006,12.204416936170917,11.661085674787984,11.661085674787984,0.09286064801855312,0.09286064801855312,0.09286064801855312,0.09286064801855312,0.09286064801855312,0.09286064801855312,0.0,0.0,0.0,11.753946322806536
3,2007-08-01,11.658115726589148,11.412681643687401,12.273224535717583,11.658115726589148,11.658115726589148,0.19471908003457303,0.19471908003457303,0.19471908003457303,0.19471908003457303,0.19471908003457303,0.19471908003457303,0.0,0.0,0.0,11.852834806623722
4,2007-09-01,11.655145783202876,10.968767716443757,11.840120003686337,11.655145783202876,11.655145783202876,-0.24267584139242637,-0.24267584139242637,-0.24267584139242637,-0.24267584139242637,-0.24267584139242637,-0.24267584139242637,0.0,0.0,0.0,11.41246994181045
5,2007-10-01,11.652328883366966,10.926061183350523,11.846705794867319,11.652328883366966,11.652328883366966,-0.26979723046416865,-0.26979723046416865,-0.26979723046416865,-0.26979723046416865,-0.26979723046416865,-0.26979723046416865,0.0,0.0,0.0,11.382531652902797
6,2007-11-01,11.64941808686986,10.823596446863924,11.718926191949077,11.64941808686986,11.64941808686986,-0.36682817504242765,-0.36682817504242765,-0.36682817504242765,-0.36682817504242765,-0.36682817504242765,-0.36682817504242765,0.0,0.0,0.0,11.282589911827431
7,2007-12-01,11.653481648081387,10.971634563176757,11.837770509973831,11.653481648081387,11.653481648081387,-0.23795123807257806,-0.23795123807257806,-0.23795123807257806,-0.23795123807257806,-0.23795123807257806,-0.23795123807257806,0.0,0.0,0.0,11.41553041000881
8,2008-01-01,11.667294258909754,11.756811241760484,12.61816947013797,11.667294258909754,11.667294258909754,0.5293106142447994,0.5293106142447994,0.5293106142447994,0.5293106142447994,0.5293106142447994,0.5293106142447994,0.0,0.0,0.0,12.196604873154554
9,2008-02-01,11.692169092670746,11.655241012481664,12.526961350415325,11.692169092670746,11.692169092670746,0.38413648009825946,0.38413648009825946,0.38413648009825946,0.38413648009825946,0.38413648009825946,0.38413648009825946,0.0,0.0,0.0,12.076305572769005
10,2008-03-01,11.715439098447154,11.584401577477703,12.485315400257512,11.715439098447154,11.715439098447154,0.30775963966394343,0.30775963966394343,0.30775963966394343,0.30775963966394343,0.30775963966394343,0.30775963966394343,0.0,0.0,0.0,12.023198738111098
11,2008-04-01,11.751353455441196,11.70658218838644,12.599630035393854,11.751353455441196,11.751353455441196,0.38448757825959956,0.38448757825959956,0.38448757825959956,0.38448757825959956,0.38448757825959956,0.38448757825959956,0.0,0.0,0.0,12.135841033700796
12,2008-05-01,11.795275883136908,11.306502291676157,12.188783320456851,11.795275883136908,11.795275883136908,-0.05492393735372207,-0.05492393735372207,-0.05492393735372207,-0.05492393735372207,-0.05492393735372207,-0.05492393735372207,0.0,0.0,0.0,11.740351945783186
13,2008-06-01,11.840662391755812,11.249007996795799,12.14834120521511,11.840662391755812,11.840662391755812,-0.13563254501367183,-0.13563254501367183,-0.13563254501367183,-0.13563254501367183,-0.13563254501367183,-0.13563254501367183,0.0,0.0,0.0,11.70502984674214
14,2008-07-01,11.887995922114342,11.61453496209442,12.5339425836791,11.887995922114342,11.887995922114342,0.2054416428278122,0.2054416428278122,0.2054416428278122,0.2054416428278122,0.2054416428278122,0.2054416428278122,0.0,0.0,0.0,12.093437564942155
15,2008-08-01,11.937004973775327,11.777715765221382,12.637801419762644,11.937004973775327,11.937004973775327,0.25707803375708865,0.25707803375708865,0.25707803375708865,0.25707803375708865,0.25707803375708865,0.25707803375708865,0.0,0.0,0.0,12.194083007532416
16,2008-09-01,11.98601402543631,11.363914060846433,12.27014448654694,11.98601402543631,11.98601402543631,-0.16719578921881256,-0.16719578921881256,-0.16719578921881256,-0.16719578921881256,-0.16719578921881256,-0.16719578921881256,0.0,0.0,0.0,11.818818236217497
17,2008-10-01,12.033443768393486,11.177596474682979,12.054135970754846,12.033443768393486,12.033443768393486,-0.4034455105639382,-0.4034455105639382,-0.4034455105639382,-0.4034455105639382,-0.4034455105639382,-0.4034455105639382,0.0,0.0,0.0,11.629998257829548
18,2008-11-01,12.082454690573895,11.23526434838287,12.11766465383419,12.082454690573895,12.082454690573895,-0.40141701993532614,-0.40141701993532614,-0.40141701993532614,-0.40141701993532614,-0.40141701993532614,-0.40141701993532614,0.0,0.0,0.0,11.681037670638569
19,2008-12-01,12.129884615145796,11.374923706252488,12.244234134411833,12.129884615145796,12.129884615145796,-0.3245505611078083,-0.3245505611078083,-0.3245505611078083,-0.3245505611078083,-0.3245505611078083,-0.3245505611078083,0.0,0.0,0.0,11.805334054037989
20,2009-01-01,12.178895537203426,12.273890932645848,13.144683699039167,12.178895537203426,12.178895537203426,0.5321251070057241,0.5321251070057241,0.5321251070057241,0.5321251070057241,0.5321251070057241,0.5321251070057241,0.0,0.0,0.0,12.71102064420915
21,2009-02-01,12.227906460534145,12.499162204488373,13.393152465765384,12.227906460534145,12.227906460534145,0.7226745298711467,0.7226745298711467,0.7226745298711467,0.7226745298711467,0.7226745298711467,0.7226745298711467,0.0,0.0,0.0,12.950580990405292
22,2009-03-01,12.27217439107494,12.18219951540527,13.06677200625199,12.27217439107494,12.27217439107494,0.38316690071741527,0.38316690071741527,0.38316690071741527,0.38316690071741527,0.38316690071741527,0.38316690071741527,0.0,0.0,0.0,12.655341291792354
23,2009-04-01,12.321185314173677,12.23571090441446,13.128897401925967,12.321185314173677,12.321185314173677,0.35285106759072626,0.35285106759072626,0.35285106759072626,0.35285106759072626,0.35285106759072626,0.35285106759072626,0.0,0.0,0.0,12.674036381764404
24,2009-05-01,12.368615239087493,11.937240094674575,12.81500877779555,12.368615239087493,12.368615239087493,0.01984342260749077,0.01984342260749077,0.01984342260749077,0.01984342260749077,0.01984342260749077,0.01984342260749077,0.0,0.0,0.0,12.388458661694983
25,2009-06-01,12.417626161249945,11.830704358528386,12.717266029231416,12.417626161249945,12.417626161249945,-0.13870869843392317,-0.13870869843392317,-0.13870869843392317,-0.13870869843392317,-0.13870869843392317,-0.13870869843392317,0.0,0.0,0.0,12.278917462816022
26,2009-07-01,12.46505559706021,12.172155902767022,13.088186444485803,12.46505559706021,12.46505559706021,0.1685714779307324,0.1685714779307324,0.1685714779307324,0.1685714779307324,0.1685714779307324,0.1685714779307324,0.0,0.0,0.0,12.633627074990944
27,2009-08-01,12.514066014064152,12.307150566465166,13.178096913501136,12.514066014064152,12.514066014064152,0.2360538405502715,0.2360538405502715,0.2360538405502715,0.2360538405502715,0.2360538405502715,0.2360538405502715,0.0,0.0,0.0,12.750119854614423
