,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
19,2008-12-01,6.057798078530819,5.211008207623835,6.4882564045984035,6.057798078530819,6.057798078530819,-0.03361735955660206,-0.03361735955660206,-0.03361735955660206,-0.03361735955660206,-0.03361735955660206,-0.03361735955660206,0.0,0.0,0.0,5.854150902403555
20,2009-01-01,6.046245539380282,5.721464441057652,7.057755737030818,6.046245539380282,6.046245539380282,0.05910661667025708,0.05910661667025708,0.05910661667025708,0.05910661667025708,0.05910661667025708,0.05910661667025708,0.0,0.0,0.0,6.403618656770685
21,2009-02-01,6.034693000229743,5.823892017535482,7.124929630180807,6.034693000229743,6.034693000229743,0.06763181747162463,0.06763181747162463,0.06763181747162463,0.06763181747162463,0.06763181747162463,0.06763181747162463,0.0,0.0,0.0,6.4428302557185715
22,2009-03-01,6.024258448279383,5.551477065235064,6.826704251733699,6.024258448279383,6.024258448279383,0.029917839836971168,0.029917839836971168,0.029917839836971168,0.029917839836971168,0.029917839836971168,0.029917839836971168,0.0,0.0,0.0,6.204491247671527
23,2009-04-01,6.012705908620056,5.496823393664772,6.788906908897459,6.012705908620056,6.012705908620056,0.0228473009410735,0.0228473009410735,0.0228473009410735,0.0228473009410735,0.0228473009410735,0.0228473009410735,0.0,0.0,0.0,6.150080009984469
24,2009-05-01,6.001526031530385,5.431590654292873,6.766730730659261,6.001526031530385,6.001526031530385,0.01034337656808891,0.01034337656808891,0.01034337656808891,0.01034337656808891,0.01034337656808891,0.01034337656808891,0.0,0.0,0.0,6.063602075257692
25,2009-06-01,5.989973491251567,5.362361615159089,6.637005240398074,5.989973491251567,5.989973491251567,0.0038389717692732077,0.0038389717692732077,0.0038389717692732077,0.0038389717692732077,0.0038389717692732077,0.0038389717692732077,0.0,0.0,0.0,6.012968830383177
26,2009-07-01,5.978793613562391,5.582344504562455,6.854525156910479,5.978793613562391,5.978793613562391,0.03343778850681413,0.03343778850681413,0.03343778850681413,0.03343778850681413,0.03343778850681413,0.03343778850681413,0.0,0.0,0.0,6.178711249938582
27,2009-08-01,5.967241053531561,5.404715734555341,6.709581287049732,5.967241053531561,5.967241053531561,0.015632495377679464,0.015632495377679464,0.015632495377679464,0.015632495377679464,0.015632495377679464,0.015632495377679464,0.0,0.0,0.0,6.060523921718392
28,2009-09-01,5.955688493500731,5.107659259985587,6.385122619116535,5.955688493500731,5.955688493500731,-0.0388453712650146,-0.0388453712650146,-0.0388453712650146,-0.0388453712650146,-0.0388453712650146,-0.0388453712650146,0.0,0.0,0.0,5.72433756283192
29,2009-10-01,5.944508596696703,4.877095898546407,6.224601609380703,5.944508596696703,5.944508596696703,-0.0646141235058795,-0.0646141235058795,-0.0646141235058795,-0.0646141235058795,-0.0646141235058795,-0.0646141235058795,0.0,0.0,0.0,5.56040938404798
30,2009-11-01,5.932511216165072,4.8301934675072,6.171892365541908,5.932511216165072,5.932511216165072,-0.07146871445894715,-0.07146871445894715,-0.07146871445894715,-0.07146871445894715,-0.07146871445894715,-0.07146871445894715,0.0,0.0,0.0,5.508522266032469
31,2009-12-01,5.920900847908656,5.031708420901377,6.3944200354333685,5.920900847908656,5.920900847908656,-0.03293166313913294,-0.03293166313913294,-0.03293166313913294,-0.03293166313913294,-0.03293166313913294,-0.03293166313913294,0.0,0.0,0.0,5.725915735705121
32,2010-01-01,5.908903467377026,5.590341886788207,6.8895786597332185,5.908903467377026,5.908903467377026,0.058024686375117755,0.058024686375117755,0.058024686375117755,0.058024686375117755,0.058024686375117755,0.058024686375117755,0.0,0.0,0.0,6.251765737892424
33,2010-02-01,5.896484740884139,5.6624141931145235,6.89541700409013,5.896484740884139,5.896484740884139,0.06381545916543979,0.06381545916543979,0.06381545916543979,0.06381545916543979,0.06381545916543979,0.06381545916543979,0.0,0.0,0.0,6.27277162208567
34,2010-03-01,5.885267826632499,5.429613978364491,6.706085051330779,5.885267826632499,5.885267826632499,0.03277753134060982,0.03277753134060982,0.03277753134060982,0.03277753134060982,0.03277753134060982,0.03277753134060982,0.0,0.0,0.0,6.078172377267828
35,2010-04-01,5.87273252537566,5.346244840975949,6.629116316547554,5.87273252537566,5.87273252537566,0.02318222069979386,0.02318222069979386,0.02318222069979386,0.02318222069979386,0.02318222069979386,0.02318222069979386,0.0,0.0,0.0,6.008875506889776
36,2010-05-01,5.860601588675493,5.275897981321514,6.606294522297405,5.860601588675493,5.860601588675493,0.01102542953612733,0.01102542953612733,0.01102542953612733,0.01102542953612733,0.01102542953612733,0.01102542953612733,0.0,0.0,0.0,5.9252172385307516
37,2010-06-01,5.848066287418654,5.196909597826285,6.49922716221325,5.848066287418654,5.848066287418654,0.004033157697493109,0.004033157697493109,0.004033157697493109,0.004033157697493109,0.004033157697493109,0.004033157697493109,0.0,0.0,0.0,5.871652460981206
38,2010-07-01,5.835883362711648,5.357310931012692,6.66234564003541,5.835883362711648,5.835883362711648,0.03294657178483775,0.03294657178483775,0.03294657178483775,0.03294657178483775,0.03294657178483775,0.03294657178483775,0.0,0.0,0.0,6.028155712849168
39,2010-08-01,5.823294340514408,5.226620235386339,6.601651524103271,5.823294340514408,5.823294340514408,0.014661585397667272,0.014661585397667272,0.014661585397667272,0.014661585397667272,0.014661585397667272,0.014661585397667272,0.0,0.0,0.0,5.908673067783613
40,2010-09-01,5.810705318317169,4.91846743040136,6.20287163156654,5.810705318317169,5.810705318317169,-0.039188267679928196,-0.039188267679928196,-0.039188267679928196,-0.039188267679928196,-0.039188267679928196,-0.039188267679928196,0.0,0.0,0.0,5.582993842893773
41,2010-10-01,5.798522367905263,4.759735339648191,6.097139252272677,5.798522367905263,5.798522367905263,-0.06419340107497405,-0.06419340107497405,-0.06419340107497405,-0.06419340107497405,-0.06419340107497405,-0.06419340107497405,0.0,0.0,0.0,5.426295495900112
42,2010-11-01,5.7859333191462925,4.723364397277682,6.039132325790727,5.7859333191462925,5.7859333191462925,-0.06976480844979381,-0.06976480844979381,-0.06976480844979381,-0.06976480844979381,-0.06976480844979381,-0.06976480844979381,0.0,0.0,0.0,5.382278789432772
43,2010-12-01,5.77375036297717,4.95030951051855,6.280001918749182,5.77375036297717,5.77375036297717,-0.032295481759316264,-0.032295481759316264,-0.032295481759316264,-0.032295481759316264,-0.032295481759316264,-0.032295481759316264,0.0,0.0,0.0,5.587284313446795
44,2011-01-01,5.7611613082690765,5.42073243072976,6.7418352829669645,5.7611613082690765,5.7611613082690765,0.05685451314982298,0.05685451314982298,0.05685451314982298,0.05685451314982298,0.05685451314982298,0.05685451314982298,0.0,0.0,0.0,6.088709329628313
45,2011-02-01,5.748572253560983,5.4644528501443945,6.690152847242637,5.748572253560983,5.748572253560983,0.06002113836672606,0.06002113836672606,0.06002113836672606,0.06002113836672606,0.06002113836672606,0.06002113836672606,0.0,0.0,0.0,6.0936081042030885
46,2011-03-01,5.7372014942481355,5.275408088349136,6.607628620869705,5.7372014942481355,5.7372014942481355,0.03569885974999589,0.03569885974999589,0.03569885974999589,0.03569885974999589,0.03569885974999589,0.03569885974999589,0.0,0.0,0.0,5.942013045748767
47,2011-04-01,5.724612439294626,5.225691560798888,6.517867977310174,5.724612439294626,5.724612439294626,0.023506542707953645,0.023506542707953645,0.023506542707953645,0.023506542707953645,0.023506542707953645,0.023506542707953645,0.0,0.0,0.0,5.859178286085388
48,2011-05-01,5.712429482888004,5.143991704500892,6.386883521585297,5.712429482888004,5.712429482888004,0.011694816991276884,0.011694816991276884,0.011694816991276884,0.011694816991276884,0.011694816991276884,0.011694816991276884,0.0,0.0,0.0,5.779235300265953
49,2011-06-01,5.699840427597561,5.106356965397424,6.351117889872293,5.699840427597561,5.699840427597561,0.0042049352187181685,0.0042049352187181685,0.0042049352187181685,0.0042049352187181685,0.0042049352187181685,0.0042049352187181685,0.0,0.0,0.0,5.723807887352639
50,2011-07-01,5.687657470864874,5.199840826083743,6.493786089992289,5.687657470864874,5.687657470864874,0.03242022407505671,0.03242022407505671,0.03242022407505671,0.03242022407505671,0.03242022407505671,0.03242022407505671,0.0,0.0,0.0,5.872052600532483
51,2011-08-01,5.675068415493821,5.120053182579802,6.357221009518606,5.675068415493821,5.675068415493821,0.013686535275476017,0.013686535275476017,0.013686535275476017,0.013686535275476017,0.013686535275476017,0.013686535275476017,0.0,0.0,0.0,5.752740439553217
52,2011-09-01,5.662479360122767,4.771540664644073,6.054932233014907,5.662479360122767,5.662479360122767,-0.03949199893685119,-0.03949199893685119,-0.03949199893685119,-0.03949199893685119,-0.03949199893685119,-0.03949199893685119,0.0,0.0,0.0,5.438856731252858
53,2011-10-01,5.650296403312071,4.6772003742899555,5.9884888372328255,5.650296403312071,5.650296403312071,-0.06372502045082751,-0.06372502045082751,-0.06372502045082751,-0.06372502045082751,-0.06372502045082751,-0.06372502045082751,0.0,0.0,0.0,5.290231149457772
54,2011-11-01,5.6377073478752955,4.614442934895748,5.911939965554022,5.6377073478752955,5.6377073478752955,-0.0680465980901811,-0.0680465980901811,-0.0680465980901811,-0.0680465980901811,-0.0680465980901811,-0.0680465980901811,0.0,0.0,0.0,5.254080541824364
55,2011-12-01,5.625524391000998,4.8442108379064255,6.09864442555632,5.625524391000998,5.625524391000998,-0.0317104967420896,-0.0317104967420896,-0.0317104967420896,-0.0317104967420896,-0.0317104967420896,-0.0317104967420896,0.0,0.0,0.0,5.447136218127616
56,2012-01-01,5.612935335529878,5.252182762816496,6.588259250584986,5.612935335529878,5.612935335529878,0.05559774712556645,0.05559774712556645,0.05559774712556645,0.05559774712556645,0.05559774712556645,0.05559774712556645,0.0,0.0,0.0,5.925001894946824
57,2012-02-01,5.6003462800587585,5.213430408555272,6.548455817096354,5.6003462800587585,5.6003462800587585,0.0562534426608748,0.0562534426608748,0.0562534426608748,0.0562534426608748,0.0562534426608748,0.0562534426608748,0.0,0.0,0.0,5.915385038405087
58,2012-03-01,5.588569421714807,5.0415207276221805,6.3549828916849025,5.588569421714807,5.588569421714807,0.02712222783994113,0.02712222783994113,0.02712222783994113,0.02712222783994113,0.02712222783994113,0.02712222783994113,0.0,0.0,0.0,5.740143874869885
59,2012-04-01,5.575980366158136,5.035605937093515,6.346765384388526,5.575980366158136,5.575980366158136,0.022503075933905475,0.022503075933905475,0.022503075933905475,0.022503075933905475,0.022503075933905475,0.022503075933905475,0.0,0.0,0.0,5.701457075743759
60,2012-05-01,5.563797409167809,4.981733621615217,6.2363370884279625,5.563797409167809,5.563797409167809,0.009649647083445075,0.009649647083445075,0.009649647083445075,0.009649647083445075,0.009649647083445075,0.009649647083445075,0.0,0.0,0.0,5.617486090610065
61,2012-06-01,5.5512083536111385,4.923877264781163,6.191559747090812,5.5512083536111385,5.5512083536111385,0.0036228571042986393,0.0036228571042986393,0.0036228571042986393,0.0036228571042986393,0.0036228571042986393,0.0036228571042986393,0.0,0.0,0.0,5.571319588232461
62,2012-07-01,5.5390253965405405,5.102459946869795,6.346436980716806,5.5390253965405405,5.5390253965405405,0.03389300070396589,0.03389300070396589,0.03389300070396589,0.03389300070396589,0.03389300070396589,0.03389300070396589,0.0,0.0,0.0,5.726759588204774
63,2012-08-01,5.526436340900921,4.961251626483671,6.2658008263845275,5.526436340900921,5.526436340900921,0.01659729840045916,0.01659729840045916,0.01659729840045916,0.01659729840045916,0.01659729840045916,0.01659729840045916,0.0,0.0,0.0,5.618160253941996
64,2012-09-01,5.5138472852127585,4.668454016122749,5.965665841787382,5.5138472852127585,5.5138472852127585,-0.03846450610027807,-0.03846450610027807,-0.03846450610027807,-0.03846450610027807,-0.03846450610027807,-0.03846450610027807,0.0,0.0,0.0,5.30175987267469
65,2012-10-01,5.501664328095181,4.484603902735341,5.8379721199142605,5.501664328095181,5.501664328095181,-0.06498638774754698,-0.06498638774754698,-0.06498638774754698,-0.06498638774754698,-0.06498638774754698,-0.06498638774754698,0.0,0.0,0.0,5.14413103681274
66,2012-11-01,5.4890752724070175,4.46297481144553,5.708783896823972,5.4890752724070175,5.4890752724070175,-0.07315562456322407,-0.07315562456322407,-0.07315562456322407,-0.07315562456322407,-0.07315562456322407,-0.07315562456322407,0.0,0.0,0.0,5.087518542579533
67,2012-12-01,5.476892315153881,4.644515562410872,5.990605915503641,5.476892315153881,5.476892315153881,-0.03361735955659927,-0.03361735955659927,-0.03361735955659927,-0.03361735955659927,-0.03361735955659927,-0.03361735955659927,0.0,0.0,0.0,5.292773656942577
68,2013-01-01,5.4643032593256375,5.166199232089016,6.416947385898317,5.4643032593256375,5.4643032593256375,0.059106616670255005,0.059106616670255005,0.059106616670255005,0.059106616670255005,0.059106616670255005,0.059106616670255005,0.0,0.0,0.0,5.7872797374446225
69,2013-02-01,5.451714203497396,5.148141894700638,6.48561121745765,5.451714203497396,5.451714203497396,0.06763181747162257,0.06763181747162257,0.06763181747162257,0.06763181747162257,0.06763181747162257,0.06763181747162257,0.0,0.0,0.0,5.820423543415784
70,2013-03-01,5.440343443347089,4.942958803382962,6.261227066502674,5.440343443347089,5.440343443347089,0.029917839836964,0.029917839836964,0.029917839836964,0.029917839836964,0.029917839836964,0.029917839836964,0.0,0.0,0.0,5.603106767143224
71,2013-04-01,5.4277543874663925,4.904308184656098,6.208341531028441,5.4277543874663925,5.4277543874663925,0.02284730094107296,0.02284730094107296,0.02284730094107296,0.02284730094107296,0.02284730094107296,0.02284730094107296,0.0,0.0,0.0,5.551763925391066
72,2013-05-01,5.415571429987747,4.80855228642222,6.135523184591002,5.415571429987747,5.415571429987747,0.010343376568090212,0.010343376568090212,0.010343376568090212,0.010343376568090212,0.010343376568090212,0.010343376568090212,0.0,0.0,0.0,5.471586724619501
73,2013-06-01,5.402982373926479,4.756236051225969,6.041991068598991,5.402982373926479,5.402982373926479,0.003838971769273119,0.003838971769273119,0.003838971769273119,0.003838971769273119,0.003838971769273119,0.003838971769273119,0.0,0.0,0.0,5.4237242707298625
74,2013-07-01,5.390799416447832,4.953810141346428,6.204404011279328,5.390799416447832,5.390799416447832,0.033437788506803456,0.033437788506803456,0.033437788506803456,0.033437788506803456,0.033437788506803456,0.033437788506803456,0.0,0.0,0.0,5.571055827217615
75,2013-08-01,5.378210360216613,4.766101465174347,6.124259481869303,5.378210360216613,5.378210360216613,0.015632495377679884,0.015632495377679884,0.015632495377679884,0.015632495377679884,0.015632495377679884,0.015632495377679884,0.0,0.0,0.0,5.462285208812889
76,2013-09-01,5.365621303985395,4.528364912439847,5.830948275903929,5.365621303985395,5.365621303985395,-0.03884537126502386,-0.03884537126502386,-0.03884537126502386,-0.03884537126502386,-0.03884537126502386,-0.03884537126502386,0.0,0.0,0.0,5.157191752364561
77,2013-10-01,5.353438346342279,4.381199715941096,5.692953562350684,5.353438346342279,5.353438346342279,-0.0646141235058688,-0.0646141235058688,-0.0646141235058688,-0.0646141235058688,-0.0646141235058688,-0.0646141235058688,0.0,0.0,0.0,5.007530619850665
78,2013-11-01,5.340849290016242,4.334499606895438,5.612993101965557,5.340849290016242,5.340849290016242,-0.07146871445896023,-0.07146871445896023,-0.07146871445896023,-0.07146871445896023,-0.07146871445896023,-0.07146871445896023,0.0,0.0,0.0,4.9591456571397305
79,2013-12-01,5.328666332281366,4.573093095639856,5.800903601957467,5.328666332281366,5.328666332281366,-0.03293166313913032,-0.03293166313913032,-0.03293166313913032,-0.03293166313913032,-0.03293166313913032,-0.03293166313913032,0.0,0.0,0.0,5.153184487645851
80,2014-01-01,5.316077268657278,4.956222583710764,6.273125736186694,5.316077268657278,5.316077268657278,0.05802468637511038,0.05802468637511038,0.05802468637511038,0.05802468637511038,0.05802468637511038,0.05802468637511038,0.0,0.0,0.0,5.62454098491697
81,2014-02-01,5.303488205033189,4.951652215848769,6.229600962817242,5.303488205033189,5.303488205033189,0.06381545916543639,0.06381545916543639,0.06381545916543639,0.06381545916543639,0.06381545916543639,0.06381545916543639,0.0,0.0,0.0,5.641932740015858
82,2014-03-01,5.292117437888851,4.83237334925462,6.15169413726567,5.292117437888851,5.292117437888851,0.032777531340620766,0.032777531340620766,0.032777531340620766,0.032777531340620766,0.032777531340620766,0.032777531340620766,0.0,0.0,0.0,5.465579983067498
83,2014-04-01,5.279528374196475,4.73498421841073,6.049647995106681,5.279528374196475,5.279528374196475,0.023182220699796124,0.023182220699796124,0.023182220699796124,0.023182220699796124,0.023182220699796124,0.023182220699796124,0.0,0.0,0.0,5.4019195661579325
84,2014-05-01,5.267345409332886,4.664451706187542,5.96574314174695,5.267345409332886,5.267345409332886,0.011025429536123746,0.011025429536123746,0.011025429536123746,0.011025429536123746,0.011025429536123746,0.011025429536123746,0.0,0.0,0.0,5.3254201549859115
85,2014-06-01,5.25475634527058,4.622871801808133,5.8926959437087385,5.25475634527058,5.25475634527058,0.004033157697482557,0.004033157697482557,0.004033157697482557,0.004033157697482557,0.004033157697482557,0.004033157697482557,0.0,0.0,0.0,5.275949606272903
86,2014-07-01,5.242573380048993,4.710593395725456,6.0109402498193605,5.242573380048993,5.242573380048993,0.03294657178484381,0.03294657178484381,0.03294657178484381,0.03294657178484381,0.03294657178484381,0.03294657178484381,0.0,0.0,0.0,5.415298200252089
87,2014-08-01,5.229984315986686,4.609706282614149,5.9655449420699425,5.229984315986686,5.229984315986686,0.014661585397667726,0.014661585397667726,0.014661585397667726,0.014661585397667726,0.014661585397667726,0.014661585397667726,0.0,0.0,0.0,5.306664177663987
88,2014-09-01,5.217395251626763,4.356338870294131,5.655470791132988,5.217395251626763,5.217395251626763,-0.039188267679923075,-0.039188267679923075,-0.039188267679923075,-0.039188267679923075,-0.039188267679923075,-0.039188267679923075,0.0,0.0,0.0,5.012934569914053
89,2014-10-01,5.205212286117161,4.208943780541854,5.522276366620813,5.205212286117161,5.205212286117161,-0.06419340107497587,-0.06419340107497587,-0.06419340107497587,-0.06419340107497587,-0.06419340107497587,-0.06419340107497587,0.0,0.0,0.0,4.87107200615405
90,2014-11-01,5.192623221757239,4.174585632858325,5.4640261723883485,5.192623221757239,5.192623221757239,-0.06976480844979269,-0.06976480844979269,-0.06976480844979269,-0.06976480844979269,-0.06976480844979269,-0.06976480844979269,0.0,0.0,0.0,4.830360857339399
91,2014-12-01,5.180440256120995,4.39313914931088,5.6839721704844495,5.180440256120995,5.180440256120995,-0.032295481759321495,-0.032295481759321495,-0.032295481759321495,-0.032295481759321495,-0.032295481759321495,-0.032295481759321495,0.0,0.0,0.0,5.0131354423241845
92,2015-01-01,5.167851191630209,4.831988901502368,6.061168440811805,5.167851191630209,5.167851191630209,0.05685451314982296,0.05685451314982296,0.05685451314982296,0.05685451314982296,0.05685451314982296,0.05685451314982296,0.0,0.0,0.0,5.461666855161077
93,2015-02-01,5.155262126955082,4.785118319772883,6.139583503512104,5.155262126955082,5.155262126955082,0.060021138366739224,0.060021138366739224,0.060021138366739224,0.060021138366739224,0.060021138366739224,0.060021138366739224,0.0,0.0,0.0,5.464686828393863
