ags5,date,ground_truth,pred,error
1001,2019-01-31,8.2,7.8014092002215705,0.3985907997784288
1001,2019-02-28,7.8,7.74676174129085,0.053238258709149555
1001,2019-03-31,7.8,7.6253052686753975,0.17469473132460234
1001,2019-04-30,7.6,7.6340957801665335,0.03409578016653381
1001,2019-05-31,7.7,7.362507595049541,0.33749240495045907
1001,2019-06-30,7.7,7.247823375604938,0.45217662439506245
1001,2019-07-31,8.1,7.799051923916053,0.30094807608394625
1001,2019-08-31,8.3,7.810788677341046,0.48921132265895473
1001,2019-09-30,8.3,7.553395410876336,0.746604589123665
1001,2019-10-31,8.1,8.19837220246406,0.09837220246406098
1001,2019-11-30,8.0,8.173136681657907,0.17313668165790652
1001,2019-12-31,7.9,8.21737612336534,0.3173761233653405
1001,2020-01-31,8.4,8.37453635017111,0.0254636498288896
1001,2020-02-29,8.4,8.300875919241003,0.09912408075899748
1001,2020-03-31,8.2,8.20411703509443,0.004117035094431287
1001,2020-04-30,9.3,8.100562239255376,1.1994377607446243
1001,2020-05-31,9.9,7.876672318523837,2.0233276814761636
1001,2020-06-30,9.8,7.790303529124619,2.0096964708753813
1001,2020-07-31,10.0,9.936808875101514,0.063191124898486
1001,2020-08-31,9.6,10.005221804020561,0.4052218040205613
1001,2020-09-30,9.1,9.815275813161987,0.7152758131619876
1001,2020-10-31,8.7,9.025727601139778,0.3257276011397785
1001,2020-11-30,8.7,8.966494457291493,0.26649445729149335
1001,2020-12-31,8.8,8.955063592982416,0.15506359298241534
1001,2021-01-31,9.4,9.201530285753979,0.19846971424602167
1001,2021-02-28,9.2,9.138400470149369,0.06159952985063022
1001,2021-03-31,9.1,9.04913900965558,0.05086099034441993
1001,2021-04-30,9.1,9.178495404157044,0.07849540415704404
1001,2021-05-31,8.9,9.155492975001987,0.255492975001987
1002,2019-01-31,7.9,7.795123165588483,0.10487683441151763
1002,2019-02-28,7.7,7.737610117778116,0.03761011777811607
1002,2019-03-31,7.8,7.646787246233659,0.1532127537663408
1002,2019-04-30,7.6,7.72757560656908,0.1275756065690805
1002,2019-05-31,7.7,7.485287926746011,0.2147120732539891
1002,2019-06-30,7.6,7.385567474246252,0.2144325257537476
1002,2019-07-31,7.8,7.822793553288926,0.02279355328892585
1002,2019-08-31,7.8,7.908687057540313,0.1086870575403136
1002,2019-09-30,7.4,7.634910374033096,0.23491037403309534
1002,2019-10-31,7.4,7.276299894355039,0.12370010564496159
1002,2019-11-30,7.2,7.178885458442951,0.021114541557048838
1002,2019-12-31,7.2,7.187029557348971,0.012970442651028868
