ags5,date,ground_truth,pred,error
13076,2019-09-30,5.0,5.023947611334819,0.02394761133481893
13076,2019-10-31,5.0,4.9298377718808615,0.07016222811913853
13076,2019-11-30,5.0,4.97003056065659,0.02996943934341001
13076,2019-12-31,5.1,5.088248180423929,0.01175181957607041
14511,2018-01-31,7.6,7.532892915060662,0.06710708493933737
14511,2018-02-28,7.6,7.478782240379448,0.12121775962055192
14511,2018-03-31,7.5,7.394175158129571,0.10582484187042862
14511,2018-04-30,7.4,7.276976059224628,0.12302394077537215
14511,2018-05-31,7.3,6.972431363517146,0.3275686364828534
14511,2018-06-30,7.1,6.800200408972852,0.29979959102714737
14511,2018-07-31,7.3,7.252078937973393,0.04792106202660662
14511,2018-08-31,7.3,7.181339569934413,0.11866043006558691
14511,2018-09-30,7.2,7.050825458331282,0.14917454166871824
14511,2018-10-31,7.1,7.107078517855772,0.007078517855772404
14511,2018-11-30,6.8,6.987513908351112,0.1875139083511126
14511,2018-12-31,6.6,7.066555436008316,0.46655543600831617
14511,2019-01-31,6.9,7.006778596414738,0.10677859641473741
14511,2019-02-28,6.8,6.981766304778329,0.18176630477832934
14511,2019-03-31,6.7,6.908717553717342,0.20871755371734224
14511,2019-04-30,6.4,6.570809901200048,0.17080990120004724
14511,2019-05-31,6.4,6.421739749848217,0.021739749848216583
14511,2019-06-30,6.3,6.260593022265901,0.039406977734098625
14511,2019-07-31,6.4,6.462661284994345,0.06266128499434487
14511,2019-08-31,6.6,6.428403003593643,0.17159699640635662
14511,2019-09-30,6.4,6.344595163466863,0.055404836533137214
14511,2019-10-31,6.3,6.322603590585335,0.022603590585335454
14511,2019-11-30,6.3,6.127281169060201,0.17271883093979845
14511,2019-12-31,6.3,6.057174443404959,0.24282555659504101
14521,2018-01-31,5.4,5.476074555423669,0.07607455542366903
14521,2018-02-28,5.4,5.466437668372403,0.06643766837240239
14521,2018-03-31,5.3,5.3536662685145,0.05366626851450018
14521,2018-04-30,4.9,4.987394751746755,0.08739475174675437
14521,2018-05-31,4.8,4.657465822622495,0.14253417737750507
14521,2018-06-30,4.5,4.3780602881065604,0.12193971189343955
14521,2018-07-31,4.6,4.432238658618724,0.16776134138127574
14521,2018-08-31,4.5,4.363046798743758,0.136953201256242
14521,2018-09-30,4.3,4.176156110034055,0.12384388996594442
14521,2018-10-31,4.3,4.2407661490638295,0.059233850936170285
14521,2018-11-30,4.2,4.341292553295334,0.14129255329533397
14521,2018-12-31,4.5,4.6171747422148695,0.11717474221486945
14521,2019-01-31,5.0,5.074263703845025,0.07426370384502512
14521,2019-02-28,4.9,5.064400458652831,0.16440045865283093
14521,2019-03-31,4.8,4.971460363261724,0.17146036326172442
14521,2019-04-30,4.4,4.537546733161666,0.137546733161666
14521,2019-05-31,4.3,4.254974760374853,0.04502523962514715
14521,2019-06-30,4.1,4.018974274151589,0.08102572584841106
14521,2019-07-31,4.3,4.039493116901428,0.2605068830985715
14521,2019-08-31,4.4,3.979949697541568,0.42005030245843233
14521,2019-09-30,4.1,3.8218774331175265,0.27812256688247317
14521,2019-10-31,4.1,4.049240274119047,0.0507597258809529
14521,2019-11-30,4.0,4.132250006547379,0.13225000654737862
14521,2019-12-31,4.1,4.363402926058248,0.263402926058248
14522,2018-01-31,5.9,5.954864557385026,0.05486455738502549
14522,2018-02-28,5.8,5.988221623110603,0.18822162311060353
14522,2018-03-31,5.8,5.738266390894535,0.06173360910546499
14522,2018-04-30,5.5,5.405414231093644,0.09458576890635584
14522,2018-05-31,5.3,5.19765946148677,0.10234053851322944
14522,2018-06-30,5.2,5.067892705751234,0.13210729424876622
14522,2018-07-31,5.2,5.239654645928301,0.0396546459283007
14522,2018-08-31,5.0,5.1640298638730915,0.16402986387309149
14522,2018-09-30,4.8,5.018892756860865,0.21889275686086496
14522,2018-10-31,4.8,4.7409582700475745,0.05904172995242529
14522,2018-11-30,4.7,4.7727341996926285,0.07273419969262829
14522,2018-12-31,4.9,4.884530886917326,0.01546911308267429
14522,2019-01-31,5.4,5.3545015079126825,0.04549849208731782
14522,2019-02-28,5.3,5.344467216161683,0.044467216161683254
14522,2019-03-31,5.1,5.211491059511769,0.11149105951176974
14522,2019-04-30,4.7,4.790054640461216,0.09005464046121592
14522,2019-05-31,4.6,4.612237429100481,0.0122374291004812
14522,2019-06-30,4.6,4.509849774109535,0.09015022589046495
14522,2019-07-31,4.6,4.623578261202235,0.023578261202235495
14522,2019-08-31,4.7,4.518111214808971,0.18188878519102936
14522,2019-09-30,4.5,4.37493010127984,0.1250698987201604
14522,2019-10-31,4.5,4.463940161255296,0.036059838744703754
14522,2019-11-30,4.4,4.456401175999053,0.05640117599905281
14522,2019-12-31,4.6,4.58003727002526,0.0199627299747398
14523,2018-01-31,6.5,6.590788189035841,0.09078818903584107
14523,2018-02-28,6.4,6.63660635369714,0.23660635369713923
14523,2018-03-31,5.9,6.223371542977762,0.3233715429777613
14523,2018-04-30,5.3,5.214334132754209,0.0856658672457904
14523,2018-05-31,5.1,4.822364967687796,0.27763503231220366
14523,2018-06-30,4.9,4.6126899101755425,0.2873100898244578
14523,2018-07-31,4.8,4.921033981936135,0.1210339819361348
14523,2018-08-31,4.7,4.9228997090841204,0.22289970908412027
14523,2018-09-30,4.5,4.803575658467454,0.30357565846745427
14523,2018-10-31,4.4,4.482395173329369,0.08239517332936863
14523,2018-11-30,4.4,4.484562558057476,0.08456255805747581
14523,2018-12-31,4.8,4.770549871739486,0.029450128260513964
14523,2019-01-31,5.8,5.66878321731008,0.1312167826899202
14523,2019-02-28,5.6,5.659758465700062,0.05975846570006205
14523,2019-03-31,5.4,5.265913069504049,0.13408693049595133
14523,2019-04-30,4.8,4.811858106540187,0.011858106540187485
14523,2019-05-31,4.7,4.5224534640560075,0.17754653594399272
14523,2019-06-30,4.5,4.325478666128852,0.174521333871148
14523,2019-07-31,4.5,4.47540832837984,0.024591671620160405
14523,2019-08-31,4.7,4.437106364258891,0.2628936357411096
14523,2019-09-30,4.4,4.298257984202001,0.10174201579799913
14523,2019-10-31,4.4,4.353377566562624,0.04662243343737593
14523,2019-11-30,4.4,4.355567672499745,0.04443232750025494
14523,2019-12-31,4.8,4.661720720153939,0.1382792798460608
14524,2018-01-31,5.6,5.732199520357202,0.13219952035720262
14524,2018-02-28,5.5,5.65464801045123,0.15464801045123
14524,2018-03-31,5.3,5.518628111769454,0.21862811176945396
14524,2018-04-30,5.1,5.060012805917256,0.03998719408274365
14524,2018-05-31,4.9,4.88286518351449,0.01713481648551074
14524,2018-06-30,4.7,4.708026319894943,0.008026319894942624
14524,2018-07-31,4.7,4.713457685283906,0.013457685283905896
14524,2018-08-31,4.6,4.683764078404051,0.08376407840405165
14524,2018-09-30,4.4,4.523663665300609,0.1236636653006089
14524,2018-10-31,4.3,4.292796465786499,0.0072035342135006175
14524,2018-11-30,4.3,4.285986358666541,0.014013641333458615
14524,2018-12-31,4.6,4.492012532146134,0.10798746785386548
14524,2019-01-31,5.1,5.01844246110714,0.08155753889285933
14524,2019-02-28,5.0,4.950440654318593,0.04955934568140741
14524,2019-03-31,4.6,4.859317042843273,0.25931704284327317
14524,2019-04-30,4.4,4.429051886305748,0.029051886305747843
14524,2019-05-31,4.4,4.26870159523769,0.13129840476231003
14524,2019-06-30,4.3,4.108761364642918,0.19123863535708185
14524,2019-07-31,4.4,4.290752902778933,0.10924709722106751
14524,2019-08-31,4.5,4.258551967833729,0.24144803216627064
14524,2019-09-30,4.3,4.11595845684081,0.1840415431591902
14524,2019-10-31,4.1,4.19455006364239,0.09455006364238994
14524,2019-11-30,4.0,4.186712215477418,0.18671221547741812
14524,2019-12-31,4.2,4.364534379478356,0.16453437947835603
14612,2018-01-31,6.6,6.525674308728094,0.07432569127190547
14612,2018-02-28,6.5,6.531452088540548,0.03145208854054804
14612,2018-03-31,6.4,6.440846416496664,0.040846416496663984
14612,2018-04-30,6.3,6.272337383589159,0.02766261641084089
14612,2018-05-31,6.0,6.055938868848916,0.055938868848915746
14612,2018-06-30,6.0,5.9075930612188765,0.0924069387811235
14612,2018-07-31,6.2,6.057931279013107,0.14206872098689338
14612,2018-08-31,6.1,6.033560521652995,0.06643947834700459
14612,2018-09-30,5.8,5.884890982766518,0.08489098276651852
14612,2018-10-31,5.8,5.711473678113761,0.08852632188623843
14612,2018-11-30,5.6,5.645503938422071,0.04550393842207168
