,ags2,ags5,kreis,median_income,purchasing_power_per_household,purchasing_power_per_person,debtor_quota,household_in_income_calss_1,household_in_income_calss_2,household_in_income_calss_3,household_in_income_calss_4,household_in_income_calss_5,household_in_income_calss_6
21,03,03154,Helmstedt,2720,45606,23764,11.1,8646,8558,14056,6009,4791,5498
22,03,03155,Northeim,2931,44538,22890,10.7,10314,14329,24604,8474,5636,4849
23,03,03157,Peine,2946,45074,22263,10.3,9548,12740,18016,9920,7520,8395
24,03,03158,Wolfenbüttel,2979,44986,22912,9.1,9901,13164,15605,8616,6731,7065
25,03,03159,Göttingen,3128,39828,21398,9.5,30549,37811,51518,25572,17247,13509
26,03,03241,Hannover,3387,42502,22017,11.5,86658,118256,154892,91374,69094,79207
27,03,03251,Diepholz,2822,52131,24199,9.4,10360,15654,28510,16818,13617,15661
28,03,03252,Hameln-Pyrmont,3142,42048,22526,12.8,16158,17370,23924,9298,6409,6382
29,03,03254,Hildesheim,3044,42042,21771,10.8,24117,32825,42133,18762,12782,12555
30,03,03255,Holzminden,3132,42852,22029,12.2,6234,7586,13727,4229,2782,1905
31,03,03256,Nienburg/Weser,2866,46904,21855,10.9,6098,11973,18349,8555,6125,5419
32,03,03257,Schaumburg,2880,42889,22378,11.7,15334,16373,23924,10998,8028,7638
33,03,03351,Celle,3154,44016,21382,11.9,13836,17452,22786,13066,10059,9656
34,03,03352,Cuxhaven,2768,44759,22702,10.8,20240,18312,25462,14170,11171,11127
35,03,03353,Harburg,2718,54632,26283,7.9,12025,13970,26653,19967,17979,30964
36,03,03354,Lüchow-Dannenberg,2700,41803,21743,11.7,5085,5620,7977,2859,2033,1598
37,03,03355,Lüneburg,2890,42377,21427,9.4,11861,14718,25843,15915,11179,13168
38,03,03356,Osterholz,2737,49123,23539,8.5,7505,7312,13644,9278,7656,8965
39,03,03357,Rotenburg (Wümme),2850,50440,23335,9.3,8485,12921,20909,12437,9918,10907
40,03,03358,Heidekreis,2892,45141,21510,10.9,10181,12859,18850,9857,7790,6985
41,03,03359,Stade,3098,49126,23501,9.3,12968,13664,24920,15934,12883,16732
42,03,03360,Uelzen,2766,43238,21868,11.8,9121,10258,13300,5772,4282,4057
43,03,03361,Verden,2926,52052,24287,8.9,6651,8762,17342,11275,9137,10620
44,03,03401,Delmenhorst,2815,39104,19674,15.3,6433,11650,9396,4824,3543,3182
45,03,03402,Emden,3562,36332,19336,13.8,7726,6939,5305,2696,2029,2000
46,03,03403,Oldenburg,3152,35389,20204,10.5,24629,15593,21666,12694,10583,10848
47,03,03404,Osnabrück,3245,38722,21255,11.0,13092,21087,26689,13098,7924,8508
48,03,03405,Wilhelmshaven,3169,32000,18858,17.1,18058,10802,8472,2839,2440,2326
49,03,03451,Ammerland,2809,49174,23222,8.3,9769,7471,13496,9301,8062,10457
50,03,03452,Aurich,2785,42639,21330,10.7,15731,15839,26502,15098,12357,9388
51,03,03453,Cloppenburg,2609,53390,21712,9.2,6208,9094,19835,12759,11119,9794
52,03,03454,Emsland,2972,53073,22704,8.8,17624,20068,36985,23759,20733,20003
53,03,03455,Friesland,2898,42507,21564,10.1,10841,8038,12616,7128,5755,5533
54,03,03456,Grafschaft Bentheim,2833,47040,21146,8.7,9705,9217,15785,9813,8461,8339
55,03,03457,Leer,2761,42038,20206,10.6,12969,14613,23163,13126,10513,7188
56,03,03458,Oldenburg,2720,53070,23878,8.5,5865,7085,14305,10574,9235,11445
57,03,03459,Osnabrück,2808,53472,23911,8.4,11204,21906,48208,32614,22600,23152
58,03,03460,Vechta,2821,56531,23759,8.1,6449,6512,14386,10322,9279,12525
59,03,03461,Wesermarsch,3428,44210,22179,11.3,8206,9085,12059,5835,4791,4459
60,03,03462,Wittmund,2685,43967,22044,10.5,4608,4895,8463,4563,3200,2771
61,04,04011,Bremen,3445,41817,22315,12.6,59175,78675,63950,37466,29350,35163
62,04,04012,Bremerhaven,3196,34545,19017,20.8,16326,17422,18421,4527,3048,2769
63,05,05111,Düsseldorf,3882,46609,26391,12.1,12281,52467,106706,68575,47808,62774
64,05,05112,Duisburg,3467,34724,17278,17.1,44493,94709,54498,23607,16187,14567
65,05,05113,Essen,3451,38708,20727,13.8,49591,99262,77648,34149,23980,27543
66,05,05114,Krefeld,3423,42210,22043,15.1,17179,31534,32633,13028,10206,13948
