ags2,ags5,kreis,Number_of_Commuters_place_of_work,Number_of_Commuters_on_place_of_residence),Commuter_Balance,Proportion_of_in_commuters,Share_of_out_commuters,Relative Commuter Balance,Commute_within_50km,Commute_within_150km,Commute_within_300km
7,7135,Cochem-Zell,6326,10466,4140,77.6,75.6,-21.0,13.5,3.7,1.8
7,7137,Mayen-Koblenz,28800,43213,14413,77.8,80.1,-18.6,9.8,3.3,1.7
7,7138,Neuwied,25742,33711,7969,71.8,74.7,-14.5,10.6,3.0,1.7
7,7140,Rhein-Hunsrück-Kreis,11163,14483,3320,77.5,75.4,-9.3,14.2,3.3,1.4
7,7141,Rhein-Lahn-Kreis,11517,26154,14637,77.0,78.0,-40.9,12.9,3.5,1.6
7,7143,Westerwaldkreis,21444,33466,12022,83.1,82.6,-16.6,11.3,3.2,1.5
7,7211,Stadt Trier,30386,10103,20283,55.7,27.8,38.6,10.8,6.2,2.3
7,7231,Bernkastel-Wittlich,10785,13643,2858,71.3,71.2,-6.6,8.8,3.7,1.6
7,7232,Eifelkreis Bitburg-Prüm,6921,9083,2162,77.7,69.7,-2.1,9.1,3.7,1.7
7,7233,Vulkaneifel,6223,9308,3085,77.2,72.3,-11.4,15.1,3.9,1.6
7,7235,Trier-Saarburg,12001,26848,14847,77.0,82.7,-55.3,7.5,3.7,1.4
7,7311,Stadt Frankenthal (Pfalz),13374,11042,2332,69.7,69.3,1.4,9.0,2.9,1.7
7,7312,Stadt Kaiserslautern,31268,13897,17371,58.5,37.9,33.1,18.8,5.6,2.5
7,7313,Stadt Landau in der Pfalz,16461,10195,6266,68.7,59.5,22.8,15.7,4.1,2.6
7,7314,Stadt Ludwigshafen a. Rh.,72300,35225,37075,68.9,50.5,37.2,10.2,4.1,2.6
7,7315,Stadt Mainz,70677,43189,27488,63.0,49.4,26.9,10.2,5.5,2.3
7,7316,Stadt Neustadt a.d. W.,9964,12606,2642,55.9,61.8,-15.3,11.5,3.8,2.1
7,7317,Stadt Pirmasens,11983,5593,6390,58.1,38.4,32.0,11.9,3.9,1.8
7,7318,Stadt Speyer,20392,10551,9841,69.5,53.9,33.9,7.7,3.2,2.2
7,7319,Stadt Worms,17558,17374,184,51.0,49.9,2.3,13.3,4.1,1.9
7,7320,Stadt Zweibrücken,9517,7322,2195,62.1,55.5,14.8,9.4,4.7,2.4
7,7331,Alzey-Worms,12814,35867,23053,76.0,86.1,-77.0,13.0,3.6,1.5
7,7332,Bad Dürkheim,14000,34115,20115,72.2,83.0,-63.4,10.0,3.5,1.9
7,7333,Donnersbergkreis,8385,16500,8115,77.2,80.1,-33.0,14.9,3.6,1.6
7,7334,Germersheim,22009,30919,8910,79.3,82.7,-20.6,9.0,3.2,1.9
7,7335,Kaiserslautern,12239,26951,14712,80.9,87.0,-58.0,14.5,3.8,1.6
7,7336,Kusel,3875,18298,14423,79.7,86.2,-115.1,10.3,3.3,1.1
7,7337,Südliche Weinstraße,15441,27570,12129,79.7,85.0,-41.0,11.4,3.5,2.0
7,7338,Rhein-Pfalz-Kreis,15684,51388,35704,74.6,88.6,-122.1,8.6,3.1,1.9
7,7339,Mainz-Bingen,27713,56113,28400,77.0,85.0,-53.8,13.6,3.9,1.8
7,7340,Südwestpfalz,5089,26991,21902,72.7,87.2,-149.4,12.2,3.7,1.7
8,8111,Stuttgart,257924,97310,160614,60.3,36.4,37.7,9.3,6.1,2.9
8,8115,Böblingen,85429,71434,13995,79.6,78.0,7.7,7.5,4.2,2.0
8,8116,Esslingen,86275,96300,10025,76.2,77.1,-3.8,6.3,3.9,2.0
8,8117,Göppingen,21457,37878,16421,74.0,77.4,-15.1,10.2,3.2,1.5
8,8118,Ludwigsburg,76659,105167,28508,76.8,79.9,-15.3,6.3,3.6,1.8
8,8119,Rems-Murr-Kreis,48717,76142,27425,74.0,78.0,-18.0,5.7,3.1,1.5
8,8121,Heilbronn,44956,27664,17292,63.2,49.6,27.1,10.8,4.1,2.0
8,8125,Heilbronn,59187,66346,7159,77.9,79.4,-6.9,8.7,3.3,1.7
8,8126,Hohenlohekreis,22483,14813,7670,76.0,72.8,11.6,7.1,2.2,1.1
8,8127,Schwäbisch Hall,17851,20175,2324,63.6,64.5,-2.5,8.4,2.9,1.5
