ags2,ags5,kreis,Number_of_Commuters_place_of_work,Number_of_Commuters_on_place_of_residence),Commuter_Balance,Proportion_of_in_commuters,Share_of_out_commuters,Relative Commuter Balance,Commute_within_50km,Commute_within_150km,Commute_within_300km
14,14612,Dresden,96812,56466,40346,36.3,25.1,15.0,10.7,6.2,4.0
14,14625,Bautzen,29256,35824,6568,70.2,72.3,-7.2,11.6,5.1,3.1
14,14626,Görlitz,12784,18313,5529,61.0,64.4,-9.5,14.4,6.7,4.4
14,14627,Meißen,29665,35932,6267,69.1,71.2,-7.4,10.1,4.6,3.1
14,14628,Sächsische Schweiz-Osterzgebirge,24445,42920,18475,66.0,72.6,-24.5,7.4,4.4,2.9
14,14713,Leipzig,97724,65824,31900,37.1,27.2,13.6,12.8,7.5,4.8
14,14729,Leipzig,28007,53572,25565,70.2,77.9,-34.3,11.6,5.6,3.7
14,14730,Nordsachsen,30436,38043,7607,67.6,71.1,-12.0,14.8,6.1,4.2
15,15001,Dessau-Roßlau,13304,9967,3337,39.8,33.8,9.5,16.7,6.3,4.2
15,15002,Halle (Saale),40785,30783,10002,42.1,35.2,10.6,11.7,6.7,3.9
15,15003,Magdeburg,44133,29368,14765,41.8,30.6,16.2,14.4,7.4,3.1
15,15081,Altmarkkreis Salzwedel,5973,14016,8043,46.4,59.6,-31.5,23.3,5.7,2.4
15,15082,Anhalt-Bitterfeld,16671,23650,6979,56.7,63.2,-13.8,12.2,6.4,3.9
15,15083,Börde,22710,34519,11809,68.1,74.2,-23.4,13.7,5.5,2.3
15,15084,Burgenlandkreis,13185,26469,13284,61.2,68.4,-22.6,15.0,9.0,5.5
15,15085,Harz,9502,22083,12581,52.1,60.3,-17.6,15.1,4.3,2.1
15,15086,Jerichower Land,8550,16754,8204,58.1,68.1,-30.3,16.8,7.2,3.1
15,15087,Mansfeld-Südharz,8792,17021,8229,61.5,68.5,-21.6,16.0,6.7,4.1
15,15088,Saalekreis,33778,41280,7502,75.9,78.7,-11.6,12.1,6.7,4.2
15,15089,Salzlandkreis,15110,25220,10110,54.8,61.7,-16.1,13.9,5.7,3.1
15,15090,Stendal,6121,13319,7198,53.6,62.0,-19.0,21.0,8.8,3.4
15,15091,Wittenberg,7600,15399,7799,46.4,55.6,-19.7,15.6,5.7,4.1
16,16051,Erfurt,47698,24244,23454,45.3,27.5,24.6,12.4,6.6,3.8
16,16052,Gera,15532,13477,2055,43.0,39.8,5.3,14.9,7.6,4.7
16,16053,Jena,26448,11378,15070,46.4,27.6,26.0,13.2,6.2,3.9
16,16054,Suhl,8472,6439,2033,54.7,45.6,16.8,17.1,6.5,2.7
16,16055,Weimar,12280,11757,523,51.4,49.2,4.4,12.1,7.4,3.9
16,16056,Eisenach,12469,7032,5437,57.3,40.0,28.8,13.3,6.1,2.9
16,16061,Eichsfeld,9776,15761,5985,70.3,72.4,-15.0,11.2,4.7,2.3
16,16062,Nordhausen,6877,9412,2535,57.2,59.6,-6.8,13.3,5.3,2.6
16,16063,Wartburgkreis,14308,23231,8923,72.2,78.9,-32.8,11.2,4.4,2.0
16,16064,Unstrut-Hainich-Kreis,8513,14044,5531,59.5,64.9,-16.5,13.1,5.9,2.9
16,16065,Kyffhäuserkreis,4512,12840,8328,57.2,68.5,-38.9,17.0,6.6,3.6
16,16066,Schmalkalden-Meiningen,11029,19041,8012,66.0,70.4,-17.5,12.6,5.2,2.3
16,16067,Gotha,12528,18795,6267,67.2,70.7,-13.7,9.6,6.3,3.2
16,16068,Sömmerda,9707,13341,3634,73.3,75.6,-18.7,10.7,6.2,3.8
16,16069,Hildburghausen,4704,13297,8593,66.7,75.2,-40.5,9.9,3.5,1.6
16,16070,Ilm-Kreis,11113,15379,4266,66.0,69.4,-11.4,10.8,6.3,3.6
16,16071,Weimarer Land,10770,19027,8257,68.6,74.7,-33.6,10.7,5.9,3.5
16,16072,Sonneberg,6784,9596,2812,62.8,66.3,-10.2,7.8,2.7,1.6
16,16073,Saalfeld-Rudolstadt,6153,11946,5793,62.5,68.3,-18.8,10.8,5.1,2.9
16,16074,Saale-Holzland-Kreis,11034,18380,7346,76.6,79.8,-29.0,11.3,5.8,3.6
16,16075,Saale-Orla-Kreis,7573,11468,3895,69.6,70.0,-9.7,11.0,4.7,2.7
16,16076,Greiz,10843,18785,7942,64.9,72.0,-27.1,12.4,5.9,3.5
16,16077,Altenburger Land,7139,13135,5996,65.0,71.7,-25.3,15.2,6.4,4.3
