ags5,kreis,municipal dept per capita,municipal tax per capita,municipal tax per capita
5913,Dortmund,4118.4,791.7,81.1
5914,Hagen,6225.6,753.8,84.7
5915,Hamm,2391.9,627.6,63.3
5916,Herne,5024.8,578.5,65.1
5954,Ennepe-Ruhr-Kreis,3052.6,870.3,76.9
5958,Hochsauerlandkreis,1734.0,856.1,78.0
5962,Märkischer Kreis,2267.6,906.1,88.5
5966,Olpe,675.0,972.8,88.2
5970,Siegen-Wittgenstein,2110.9,943.1,92.7
5974,Soest,1395.1,826.8,71.7
5978,Unna,2687.0,748.1,66.4
6411,Kreisfreie Stadt Darmstadt,3419.0,1163.9,123.4
6412,Kreisfreie Stadt Frankfurt am Main,2077.7,1876.2,231.6
6413,Kreisfreie Stadt Offenbach am Main,7184.9,789.4,87.0
6414,Landeshauptstadt Wiesbaden,1223.7,1332.5,112.9
6431,Bergstraße,2181.0,979.4,46.7
6432,Darmstadt-Dieburg,1794.9,986.1,45.5
6433,Groß-Gerau,4067.0,935.8,73.9
6434,Hochtaunus,4585.0,1405.4,79.9
6435,Main-Kinzig,3224.2,967.7,55.8
6436,Main-Taunus,3113.1,1753.7,85.0
6437,Odenwaldkreis,2542.2,747.3,43.2
6438,Offenbach,4159.3,1111.4,67.8
6439,Rheingau-Taunus,3901.1,947.4,38.7
6440,Wetterau,2121.1,894.1,42.9
6531,Gießen,2260.4,846.7,55.6
6532,Lahn-Dill,3297.0,919.0,63.5
6533,Limburg-Weilburg,1917.4,868.4,46.6
6534,Marburg-Biedenkopf,1736.3,951.3,64.1
6535,Vogelsberg,2610.4,723.9,46.6
6611,Kreisfreie Stadt Kassel,2008.0,1012.8,113.6
6631,Fulda,1218.4,812.9,61.6
6632,Hersfeld-Rotenburg,3995.7,680.5,65.3
6633,Kassel,2709.1,833.9,56.6
6634,Schwalm-Eder,2681.0,720.0,40.3
6635,Waldeck-Frankenberg,2533.9,775.4,54.8
6636,Werra-Meißner,3655.5,627.5,42.8
7111,Stadt Koblenz,3492.3,1124.0,116.3
7131,Ahrweiler,1526.3,687.3,38.0
7132,Altenkirchen (Ww),3550.6,663.2,48.1
7133,Bad Kreuznach,2729.7,692.0,53.6
7134,Birkenfeld,4621.2,618.9,57.0
7135,Cochem-Zell,2384.9,636.4,41.7
7137,Mayen-Koblenz,2605.1,755.7,52.0
7138,Neuwied,3086.2,803.9,61.0
7140,Rhein-Hunsrück-Kreis,1384.1,756.4,52.4
7141,Rhein-Lahn-Kreis,2409.4,674.1,40.6
7143,Westerwaldkreis,1233.6,816.4,53.8
7211,Stadt Trier,6497.0,730.5,83.0
7231,Bernkastel-Wittlich,3188.3,775.5,55.6
7232,Eifelkreis Bitburg-Prüm,2980.6,605.7,48.3
7233,Vulkaneifel,3263.1,686.4,48.7
7235,Trier-Saarburg,2917.6,525.7,27.7
7311,Stadt Frankenthal (Pfalz),4937.1,757.4,70.8
7312,Stadt Kaiserslautern,8409.5,873.4,89.6
7313,Stadt Landau in der Pfalz,1883.6,827.2,73.8
7314,Stadt Ludwigshafen a. Rh.,6953.3,1105.7,149.3
7315,Stadt Mainz,5485.9,996.6,109.4
7316,Stadt Neustadt a.d. W.,1934.5,780.0,54.9
7317,Stadt Pirmasens,9630.2,696.3,93.6
7318,Stadt Speyer,3944.4,1020.0,90.8
7319,Stadt Worms,5270.0,856.2,72.0
7320,Stadt Zweibrücken,7410.0,861.7,89.5
7331,Alzey-Worms,2462.8,713.0,34.9
7332,Bad Dürkheim,3450.4,769.8,36.1
7333,Donnersbergkreis,5096.9,714.6,44.6
7334,Germersheim,2429.5,904.4,57.2
7335,Kaiserslautern,5243.6,637.4,30.5
7336,Kusel,7572.6,549.1,30.3
7337,Südliche Weinstraße,1546.9,734.3,39.6
7338,Rhein-Pfalz-Kreis,1433.2,774.9,29.8
7339,Mainz-Bingen,1324.3,1450.8,64.0
7340,Südwestpfalz,1707.4,599.0,29.7
8111,Stuttgart,33.6,1347.0,142.8
8115,Böblingen,530.4,1328.7,93.2
8116,Esslingen,521.3,1155.6,72.9
8117,Göppingen,470.7,912.4,60.0
8118,Ludwigsburg,313.6,1190.1,71.6
8119,Rems-Murr-Kreis,400.2,1082.2,62.9
8121,Heilbronn,160.1,1102.8,108.7
8125,Heilbronn,431.3,1016.0,67.8
8126,Hohenlohekreis,471.7,1223.5,91.6
8127,Schwäbisch Hall,727.2,1018.8,87.4
8128,Main-Tauber-Kreis,858.5,904.6,66.4
8135,Heidenheim,1025.4,949.2,70.5
8136,Ostalbkreis,858.8,1044.4,66.2
8211,Baden-Baden,477.5,1294.3,114.9
8212,Karlsruhe,609.2,1269.6,117.4
8215,Karlsruhe,738.2,986.7,62.7
8216,Rastatt,572.5,1119.0,70.3
8221,Heidelberg,1125.3,953.9,96.6
