,ags2,ags5,kreis,mean_unemployed,mean_unemployment_rate,mean_registerd_jobs,mean_unemployment_benefit_recipients,employees_social_security_at_residence,employees_social_security_at_work
0,01,01001,"Flensburg, Stadt",4494.357142857143,8.614285714285714,770.5,1283.5,32548.333333333332,44834.333333333336
1,01,01002,"Kiel, Landeshauptstadt",11290.75,8.128571428571428,2615.5714285714284,2531.8333333333335,92457.66666666667,126471.33333333333
2,01,01003,"Lübeck, Hansestadt",9083.57142857143,7.864285714285714,2430.035714285714,2466.5833333333335,80897.16666666667,100578.66666666667
3,01,01004,"Neumünster, Stadt",3689.3571428571427,8.57857142857143,1146.1785714285713,941.75,30258.166666666668,41293.166666666664
4,01,01051,Dithmarschen,4128.964285714285,5.925,969.2142857142857,1403.75,49071.5,43052.0
5,01,01053,Herzogtum Lauenburg,5449.25,5.171428571428572,1399.857142857143,1963.7083333333333,76134.5,49149.166666666664
6,01,01054,Nordfriesland,4861.607142857143,5.171428571428571,1289.0714285714287,2055.125,63190.333333333336,61125.833333333336
7,01,01055,Ostholstein,5645.392857142857,5.339285714285714,1575.642857142857,2341.4166666666665,73666.33333333333,61868.833333333336
8,01,01056,Pinneberg,8930.285714285714,5.060714285714284,2209.1071428571427,3392.9166666666665,129762.33333333333,93791.0
9,01,01057,Plön,2950.9285714285716,4.439285714285714,504.9642857142857,1253.8333333333333,46529.5,27869.833333333332
10,01,01058,Rendsburg-Eckernförde,6090.928571428572,4.2749999999999995,1926.9642857142858,2489.25,101047.33333333333,80426.5
11,01,01059,Schleswig-Flensburg,5285.392857142857,4.950000000000001,1089.0,2022.125,71334.0,56883.5
12,01,01060,Segeberg,7114.892857142857,4.610714285714286,2241.6071428571427,2835.625,114156.0,93511.16666666667
13,01,01061,Steinburg,4001.75,5.557142857142857,995.0,1260.2916666666667,51721.0,39942.833333333336
14,01,01062,Stormarn,4622.642857142857,3.521428571428572,2119.4285714285716,2052.875,96537.66666666667,87662.66666666667
15,02,02000,Hamburg,74685.78571428571,7.0178571428571415,12492.75,24030.208333333332,774831.0,1004291.6666666666
16,03,03101,Braunschweig,7305.357142857143,5.19642857142857,2633.3214285714284,2242.5416666666665,103133.83333333333,132681.66666666666
17,03,03102,Salzgitter,5129.75,9.44642857142857,577.4642857142857,1086.8333333333333,39125.833333333336,48492.666666666664
18,03,03103,Wolfsburg,3348.0714285714284,4.924999999999999,1248.25,887.6666666666666,52825.666666666664,121463.66666666667
19,03,03151,Gifhorn,4109.571428571428,4.289285714285714,1020.2142857142857,1489.7083333333333,73321.83333333333,43391.0
20,03,03153,Goslar,4491.892857142857,6.560714285714286,910.6785714285714,1500.3333333333333,49040.666666666664,45461.5
21,03,03154,Helmstedt,3025.714285714286,6.085714285714284,620.0714285714286,826.8333333333334,37796.833333333336,23465.166666666668
22,03,03155,Northeim,3840.1071428571427,5.453571428571428,1300.0,1458.5833333333333,51481.5,45730.666666666664
23,03,03157,Peine,3568.035714285714,4.914285714285714,635.8571428571429,1296.875,54776.0,33140.833333333336
24,03,03158,Wolfenbüttel,3008.1071428571427,4.714285714285714,554.1785714285714,1084.7916666666667,47207.5,25668.666666666668
25,03,03159,Göttingen,9976.642857142857,5.796428571428572,3007.1428571428573,3306.375,122411.0,131229.83333333334
26,03,03241,Hannover,44847.67857142857,7.114285714285713,9831.964285714286,11988.833333333334,455836.6666666667,521624.8333333333
27,03,03251,Diepholz,5256.321428571428,4.299999999999999,1513.142857142857,2002.75,90594.16666666667,72468.5
28,03,03252,Hameln-Pyrmont,5067.928571428572,6.524999999999999,1305.892857142857,1624.7083333333333,56853.666666666664,52226.333333333336
29,03,03254,Hildesheim,9195.964285714286,6.175000000000002,1896.0714285714287,2872.0,106279.33333333333,93611.66666666667
30,03,03255,Holzminden,2337.6428571428573,6.503571428571429,456.39285714285717,730.6666666666666,26155.666666666668,23016.666666666668
31,03,03256,Nienburg/Weser,3450.6785714285716,5.132142857142857,977.3928571428571,1267.5416666666667,48604.833333333336,41103.166666666664
32,03,03257,Schaumburg,4573.178571428572,5.564285714285714,1077.2142857142858,1585.4583333333333,60453.666666666664,46267.333333333336
33,03,03351,Celle,5651.5,6.121428571428573,1652.0357142857142,1931.9583333333333,67445.16666666667,58472.166666666664
34,03,03352,Cuxhaven,5849.214285714285,5.625,1098.8214285714287,2041.75,73918.5,49369.5
35,03,03353,Harburg,5800.178571428572,4.139285714285714,2071.6785714285716,2676.875,104895.16666666667,67386.66666666667
36,03,03354,Lüchow-Dannenberg,1746.7857142857142,7.646428571428571,267.64285714285717,565.5,16355.833333333334,14461.5
37,03,03355,Lüneburg,5673.928571428572,5.760714285714287,1603.107142857143,1916.3333333333333,70457.0,59966.0
38,03,03356,Osterholz,2178.3571428571427,3.5749999999999993,605.2142857142857,1062.9166666666667,45280.5,27387.833333333332
39,03,03357,Rotenburg (Wümme),3504.4285714285716,3.8035714285714293,1529.0357142857142,1418.8333333333333,68624.5,58150.666666666664
40,03,03358,Heidekreis,4364.321428571428,5.764285714285714,1362.0714285714287,1582.2083333333333,55017.333333333336,48263.833333333336
41,03,03359,Stade,6366.928571428572,5.592857142857143,1546.3214285714287,2046.125,83905.0,64093.0
42,03,03360,Uelzen,2502.6428571428573,5.289285714285714,913.2857142857143,1027.75,34496.5,30406.166666666668
43,03,03361,Verden,2963.3571428571427,3.9892857142857148,1298.607142857143,1386.3333333333333,55241.5,48919.333333333336
44,03,03401,Delmenhorst,3879.1071428571427,10.049999999999999,576.1071428571429,974.5416666666666,26040.166666666668,20635.666666666668
