,ags2,ags5,kreis,number_of_students
260,09,09371,Amberg-Sulzbach,6710
261,09,09372,Cham,11342
262,09,09373,Neumarkt i.d.OPf.,13182
263,09,09374,Neustadt a.d.Waldnaab,7352
264,09,09375,Regensburg,13559
265,09,09376,Schwandorf,13947
266,09,09377,Tirschenreuth,5651
267,09,09461,Bamberg,10850
268,09,09462,Bayreuth,9448
269,09,09463,Coburg,6198
270,09,09464,Hof,5954
271,09,09471,Bamberg,9726
272,09,09472,Bayreuth,7249
273,09,09473,Coburg,5304
274,09,09474,Forchheim,10989
275,09,09475,Hof,6979
276,09,09476,Kronach,5870
277,09,09477,Kulmbach,5559
278,09,09478,Lichtenfels,6015
279,09,09479,Wunsiedel i.Fichtelgebirge,7111
280,09,09561,Ansbach,5840
281,09,09562,Erlangen,12942
282,09,09563,Fürth,11644
283,09,09564,Nürnberg,49447
284,09,09565,Schwabach,5138
285,09,09571,Ansbach,17342
286,09,09572,Erlangen-Höchstadt,13589
287,09,09573,Fürth,10132
288,09,09574,Nürnberger Land,16208
289,09,09575,Neustadt a.d.Aisch-Bad Windsheim,9596
290,09,09576,Roth,11741
291,09,09577,Weißenburg-Gunzenhausen,9033
292,09,09661,Aschaffenburg,9268
293,09,09662,Schweinfurt,8714
294,09,09663,Würzburg,15643
295,09,09671,Aschaffenburg,14426
296,09,09672,Bad Kissingen,9154
297,09,09673,Rhön-Grabfeld,8012
298,09,09674,Haßberge,8498
299,09,09675,Kitzingen,10185
300,09,09676,Miltenberg,11797
301,09,09677,Main-Spessart,11472
302,09,09678,Schweinfurt,6737
303,09,09679,Würzburg,9407
304,09,09761,Augsburg,28963
305,09,09762,Kaufbeuren,5733
306,09,09763,Kempten (Allgäu),8913
307,09,09764,Memmingen,5600
308,09,09771,Aichach-Friedberg,12095
309,09,09772,Augsburg,23451
310,09,09773,Dillingen a.d.Donau,10044
311,09,09774,Günzburg,13885
312,09,09775,Neu-Ulm,16182
313,09,09776,Lindau (Bodensee),7001
314,09,09777,Ostallgäu,13093
315,09,09778,Unterallgäu,12022
316,09,09779,Donau-Ries,13573
317,09,09780,Oberallgäu,11767
318,10,10041,Regionalverband Saarbrücken,30091
319,10,10042,Landkreis Merzig-Wadern,10376
320,10,10043,Landkreis Neunkirchen,11097
321,10,10044,Landkreis Saarlouis,18103
322,10,10045,Saarpfalz-Kreis,13286
323,10,10046,Landkreis St. Wendel,8294
324,11,11000,Berlin,360031
325,12,12051,Brandenburg an der Havel,6774
326,12,12052,Cottbus,10094
327,12,12053,Frankfurt (Oder),5888
328,12,12054,Potsdam,22968
329,12,12060,Barnim,17722
330,12,12061,Dahme-Spreewald,16284
331,12,12062,Elbe-Elster,8993
332,12,12063,Havelland,16813
333,12,12064,Märkisch-Oderland,18066
334,12,12065,Oberhavel,21086
335,12,12066,Oberspreewald-Lausitz,9037
336,12,12067,Oder-Spree,17557
337,12,12068,Ostprignitz-Ruppin,9405
338,12,12069,Potsdam-Mittelmark,21150
339,12,12070,Prignitz,6261
340,12,12071,Spree-Neiße,9073
341,12,12072,Teltow-Fläming,15752
342,12,12073,Uckermark,11371
343,13,13003,"Rostock, Hansestadt",19223
344,13,13004,"Schwerin, Landeshauptstadt",10551
345,13,13071,Mecklenburgische Seenplatte,25066
346,13,13072,Landkreis Rostock,19923
347,13,13073,Vorpommern-Rügen,20049
348,13,13074,Nordwestmecklenburg,14720
349,13,13075,Vorpommern-Greifswald,21713
350,13,13076,Ludwigslust-Parchim,19057
351,14,14511,Chemnitz,20394
352,14,14521,Erzgebirgskreis,30874
353,14,14522,Mittelsachsen,28056
354,14,14523,Vogtlandkreis,19593
355,14,14524,Zwickau,28415
356,14,14612,Dresden,54415
357,14,14625,Bautzen,28950
358,14,14626,Görlitz,23130
359,14,14627,Meißen,23931
360,14,14628,Sächsische Schweiz-Osterzgebirge,23207
361,14,14713,Leipzig,52439
362,14,14729,Leipzig,23959
363,14,14730,Nordsachsen,17997
364,15,15001,Dessau-Roßlau,6720
365,15,15002,Halle (Saale),23964
366,15,15003,Magdeburg,21789
367,15,15081,Altmarkkreis Salzwedel,7902
368,15,15082,Anhalt-Bitterfeld,13083
369,15,15083,Börde,16062
370,15,15084,Burgenlandkreis,15516
371,15,15085,Harz,18795
372,15,15086,Jerichower Land,7383
373,15,15087,Mansfeld-Südharz,10977
374,15,15088,Saalekreis,16113
375,15,15089,Salzlandkreis,16365
376,15,15090,Stendal,10374
377,15,15091,Wittenberg,10857
378,16,16051,Erfurt,20223
379,16,16052,Gera,8039
380,16,16053,Jena,11277
381,16,16054,Suhl,2272
382,16,16055,Weimar,6879
383,16,16056,Eisenach,4486
384,16,16061,Eichsfeld,10185
385,16,16062,Nordhausen,7737
386,16,16063,Wartburgkreis,10284
387,16,16064,Unstrut-Hainich-Kreis,10596
388,16,16065,Kyffhäuserkreis,6570
389,16,16066,Schmalkalden-Meiningen,10415
390,16,16067,Gotha,12637
391,16,16068,Sömmerda,6559
392,16,16069,Hildburghausen,5642
393,16,16070,Ilm-Kreis,9367
394,16,16071,Weimarer Land,7495
395,16,16072,Sonneberg,4635
396,16,16073,Saalfeld-Rudolstadt,8772
397,16,16074,Saale-Holzland-Kreis,7190
398,16,16075,Saale-Orla-Kreis,7441
399,16,16076,Greiz,8403
400,16,16077,Altenburger Land,7676
