ags2,ags5,kreis,number_accomodation_establishments,number_of_beds,number_of_guests,guests_staying_overnight
7,7140,Rhein-Hunsrück-Kreis,134,5605,364093,775404
7,7141,Rhein-Lahn-Kreis,120,5281,246422,750928
7,7143,Westerwaldkreis,76,4456,306906,733656
7,7211,Stadt Trier,61,5010,461377,830892
7,7231,Bernkastel-Wittlich,359,12247,516671,1654418
7,7232,Eifelkreis Bitburg-Prüm,149,6484,231140,571466
7,7233,Vulkaneifel,122,9138,390504,1416794
7,7235,Trier-Saarburg,195,8974,330258,1062808
7,7311,Stadt Frankenthal (Pfalz),6,625,52783,94507
7,7312,Stadt Kaiserslautern,28,-99,-99,-99
7,7313,Stadt Landau in der Pfalz,17,743,56011,106040
7,7314,Stadt Ludwigshafen a. Rh.,22,-99,-99,-99
7,7315,Stadt Mainz,41,5472,600073,906699
7,7316,Stadt Neustadt a.d. W.,25,1297,102819,208187
7,7317,Stadt Pirmasens,7,372,27856,-99
7,7318,Stadt Speyer,19,1410,155565,262922
7,7319,Stadt Worms,25,1056,74586,155009
7,7320,Stadt Zweibrücken,5,284,-99,39836
7,7331,Alzey-Worms,62,1622,87612,-99
7,7332,Bad Dürkheim,134,5316,343453,840400
7,7333,Donnersbergkreis,32,1300,68890,139201
7,7334,Germersheim,47,1358,61655,162143
7,7335,Kaiserslautern,51,2144,90535,262707
7,7336,Kusel,23,802,37888,85776
7,7337,Südliche Weinstraße,187,5840,315227,794962
7,7338,Rhein-Pfalz-Kreis,23,-99,-99,-99
7,7339,Mainz-Bingen,105,3879,237751,439595
7,7340,Südwestpfalz,96,2961,137341,325983
8,8111,Stuttgart,171,21494,2062673,3911781
8,8115,Böblingen,117,7984,499294,1164705
8,8116,Esslingen,174,10572,819398,1621975
8,8117,Göppingen,94,4607,230854,589685
8,8118,Ludwigsburg,150,7604,515486,1091443
8,8119,Rems-Murr-Kreis,120,6487,350663,717758
8,8121,Heilbronn,27,1871,174884,338296
8,8125,Heilbronn,170,9972,407824,1374720
8,8126,Hohenlohekreis,82,4523,208595,433299
8,8127,Schwäbisch Hall,129,5579,277719,594063
8,8128,Main-Tauber-Kreis,131,10099,358976,1089886
8,8135,Heidenheim,45,1862,126029,224737
8,8136,Ostalbkreis,149,9147,394031,835913
8,8211,Baden-Baden,87,5286,452982,1007739
8,8212,Karlsruhe,61,6287,658668,1139836
8,8215,Karlsruhe,123,7764,401617,1034044
8,8216,Rastatt,132,6720,289301,614749
8,8221,Heidelberg,84,7998,794339,1552834
8,8222,Mannheim,62,7795,673571,1469030
8,8225,Neckar-Odenwald-Kreis,101,5993,161690,517043
8,8226,Rhein-Neckar-Kreis,177,12297,799161,1496505
8,8231,Pforzheim,22,1692,120650,243273
8,8235,Calw,198,13060,445259,1379113
8,8236,Enzkreis,57,2287,123976,236264
8,8237,Freudenstadt,216,11344,520602,1699450
8,8311,Freiburg im Breisgau,83,9613,881280,1708237
8,8315,Breisgau-Hochschwarzwald,616,35426,1412900,4871743
8,8316,Emmendingen,135,5563,276066,654813
8,8317,Ortenaukreis,527,29633,1799732,3837941
8,8325,Rottweil,77,3440,133928,326068
8,8326,Schwarzwald-Baar-Kreis,203,13441,482085,1659198
8,8327,Tuttlingen,67,2965,140576,307718
8,8335,Konstanz,226,19326,949232,2649744
8,8336,Lörrach,244,11305,536193,1290022
