ags2,ags5,kreis,number_of_hairdressers,number_of_restaurants,number_of_shops,number_of_companies,number_of_shopping_malls,number_of_clubs,number_of_education_places,number_of_shopping_places,number_of_free_time_places,number_of_tourism_places,number_of_tourism_places,number_of_food_and_drink_places,number_of_public_institution_places,number_of_traffic_places,number_of_health_places,number_of_business_places
09,09471,Bamberg,176,187,378,8162,2,247,109,1141,33,84,84,297,53,177,403,1510
09,09472,Bayreuth,101,162,284,6502,0,341,91,903,39,254,254,288,25,115,306,1158
09,09473,Coburg,101,110,224,5104,0,192,73,697,23,63,63,163,43,119,247,823
09,09474,Forchheim,124,143,345,7156,0,216,111,966,35,136,136,270,35,155,412,1258
09,09475,Hof,112,149,296,6571,0,240,89,906,23,98,98,243,38,114,320,1074
09,09476,Kronach,100,111,238,4701,0,188,69,712,9,46,46,189,22,92,234,695
09,09477,Kulmbach,89,99,268,5045,1,197,77,695,20,65,65,182,22,100,280,872
09,09478,Lichtenfels,77,121,231,4385,1,151,58,683,25,96,96,175,18,85,235,730
09,09479,Wunsiedel i.Fichtelgebirge,101,123,295,5289,2,248,77,811,27,77,77,208,30,83,287,796
09,09561,Ansbach,57,83,208,2794,3,128,49,448,26,20,20,95,23,48,247,460
09,09562,Erlangen,110,187,366,6952,5,341,123,837,62,57,57,208,43,96,612,1090
09,09563,Fürth,126,161,348,7261,2,247,96,963,54,21,21,177,34,119,457,1306
09,09564,Nürnberg,543,811,1390,33128,10,1585,456,3992,209,169,169,877,150,430,2090,5385
09,09565,Schwabach,44,57,118,2740,1,68,29,384,13,10,10,62,13,37,198,458
09,09571,Ansbach,175,239,494,11167,1,496,188,1643,63,268,268,393,92,215,549,2069
09,09572,Erlangen-Höchstadt,124,130,380,7894,0,277,119,1098,42,54,54,200,41,142,516,1430
09,09573,Fürth,140,127,263,6746,1,230,86,948,27,42,42,153,30,137,365,1324
09,09574,Nürnberger Land,146,199,457,11674,1,403,153,1599,42,91,91,332,78,216,636,2093
09,09575,Neustadt a.d.Aisch-Bad Windsheim,82,140,290,6420,0,263,101,903,29,96,96,211,23,155,348,1083
09,09576,Roth,128,147,336,8342,1,290,101,1218,40,97,97,256,77,170,391,1502
09,09577,Weißenburg-Gunzenhausen,70,127,312,6246,0,277,92,932,32,138,138,220,104,111,322,1041
09,09661,Aschaffenburg,124,171,289,6034,1,237,73,827,40,21,21,182,40,88,343,848
09,09662,Schweinfurt,81,130,310,3676,1,131,51,598,25,19,19,167,17,66,228,517
09,09663,Würzburg,142,234,475,9956,0,462,128,1182,68,54,54,278,59,119,816,1398
09,09671,Aschaffenburg,266,265,430,12092,5,430,123,1688,35,113,113,324,50,202,511,2134
09,09672,Bad Kissingen,121,137,330,6603,0,295,112,956,32,138,138,229,83,109,467,1163
09,09673,Rhön-Grabfeld,88,127,285,5334,0,212,100,737,19,98,98,177,39,116,295,868
09,09674,Haßberge,95,112,245,5228,0,172,88,728,23,66,66,191,29,103,276,905
09,09675,Kitzingen,93,155,288,6190,0,203,97,850,29,136,136,255,81,115,313,1088
09,09676,Miltenberg,153,230,362,8770,0,264,90,1310,37,96,96,298,49,128,425,1527
09,09677,Main-Spessart,158,170,421,8347,0,381,136,1213,29,121,121,267,48,140,409,1475
09,09678,Schweinfurt,106,125,287,6067,0,258,110,842,29,26,26,170,65,113,285,1204
09,09679,Würzburg,134,135,365,9655,0,355,135,1154,39,94,94,213,83,140,559,1795
09,09761,Augsburg,290,407,802,16810,6,751,220,1919,111,49,49,387,86,218,1124,2453
09,09762,Kaufbeuren,61,70,191,3108,0,111,36,453,25,13,13,83,19,57,211,483
09,09763,Kempten (Allgäu),73,106,309,4913,2,165,64,614,37,23,23,127,23,79,336,742
09,09764,Memmingen,53,60,202,3379,1,124,39,491,26,12,12,90,19,61,226,467
09,09771,Aichach-Friedberg,132,119,373,8849,0,261,108,1112,32,35,35,184,41,146,402,1694
09,09772,Augsburg,256,220,662,15127,1,592,188,1828,64,52,52,307,60,257,769,2821
09,09773,Dillingen a.d.Donau,97,99,263,5769,0,212,80,861,25,38,38,126,45,98,291,973
09,09774,Günzburg,125,164,393,8180,0,299,118,1071,37,54,54,233,65,181,395,1345
09,09775,Neu-Ulm,182,227,470,9712,2,347,144,1310,50,48,48,243,56,190,532,1675
09,09776,Lindau (Bodensee),90,145,238,6430,1,251,77,757,49,275,275,186,40,96,399,967
09,09777,Ostallgäu,139,262,408,10268,0,363,124,1228,54,520,520,350,77,182,534,1666
09,09778,Unterallgäu,145,190,382,9730,1,344,123,1165,45,151,151,255,118,170,517,1614
09,09779,Donau-Ries,132,170,462,8378,0,606,124,1093,38,89,89,234,104,170,419,1398
09,09780,Oberallgäu,165,282,441,12103,0,434,121,1537,92,1306,1306,501,78,160,639,1898
10,10041,Regionalverband Saarbrücken,385,622,819,20132,2,903,228,2548,99,68,68,546,164,341,1410,3258
10,10042,Landkreis Merzig-Wadern,132,177,289,5730,0,200,77,781,24,67,67,216,94,103,372,941
10,10043,Landkreis Neunkirchen,205,211,361,7190,1,263,80,1009,25,20,20,210,60,142,479,1189
10,10044,Landkreis Saarlouis,309,363,564,11376,3,337,130,1675,43,69,69,431,89,211,722,1888
10,10045,Saarpfalz-Kreis,205,251,424,8514,1,288,105,1181,32,47,47,213,75,187,584,1456
10,10046,Landkreis St. Wendel,123,153,214,4721,0,170,49,652,17,36,36,143,54,98,325,788
11,11000,Berlin,2434,4706,7425,230503,123,10644,3577,22100,1739,1026,1026,3762,783,2241,13837,30852
12,12051,Brandenburg an der Havel,83,80,254,3584,2,156,59,527,51,27,27,81,21,77,232,580
12,12052,Cottbus,149,112,403,6021,6,236,106,799,49,31,31,132,25,106,369,970
12,12053,Frankfurt (Oder),65,48,222,3727,6,419,58,414,59,17,17,39,16,61,213,561
12,12054,Potsdam,160,202,431,10477,16,559,192,1068,96,83,83,226,48,118,577,1649
12,12060,Barnim,161,183,466,10055,4,736,142,1244,132,83,83,185,48,221,509,1837
12,12061,Dahme-Spreewald,173,202,521,10620,2,320,154,1214,177,165,165,216,57,200,445,1888
12,12062,Elbe-Elster,134,156,357,6788,2,251,115,1091,23,53,53,147,38,150,354,1240
12,12063,Havelland,154,133,421,8372,3,322,143,1018,135,73,73,155,60,150,375,1491
12,12064,Märkisch-Oderland,196,147,481,11284,2,783,167,1382,152,92,92,180,66,228,577,2142
12,12065,Oberhavel,207,209,507,10895,6,354,156,1375,145,75,75,233,55,215,579,2120
12,12066,Oberspreewald-Lausitz,119,149,388,6045,1,240,120,972,32,100,100,174,32,153,332,1083
12,12067,Oder-Spree,233,180,511,10738,6,835,170,1266,128,110,110,246,63,204,537,1868
12,12068,Ostprignitz-Ruppin,132,149,304,6429,2,226,97,827,91,118,118,153,84,130,306,1128
12,12069,Potsdam-Mittelmark,197,224,456,13122,1,441,228,1497,163,117,117,267,106,247,596,2195
12,12070,Prignitz,89,126,268,5012,1,145,95,709,73,65,65,132,23,87,265,890
12,12071,Spree-Neiße,140,164,318,6882,0,256,123,1015,29,100,100,191,34,169,347,1333
12,12072,Teltow-Fläming,160,166,470,11026,1,316,136,1217,126,103,103,203,55,203,403,1662
12,12073,Uckermark,121,135,329,7449,3,762,137,899,95,115,115,149,40,160,361,1188
13,13003,"Rostock, Hansestadt",188,200,584,10338,5,708,195,1221,136,103,103,234,45,162,757,1487
13,13004,"Schwerin, Landeshauptstadt",119,115,399,6035,6,359,109,720,51,46,46,125,27,113,361,962
13,13071,Mecklenburgische Seenplatte,305,337,880,16063,5,752,360,2044,313,269,269,402,256,308,949,2671
13,13072,Landkreis Rostock,236,259,691,12922,2,502,283,1662,219,290,290,265,143,279,649,2322
13,13073,Vorpommern-Rügen,261,417,757,14211,6,607,289,1928,272,635,635,533,128,277,799,2417
13,13074,Nordwestmecklenburg,155,220,415,8727,2,375,206,1044,102,176,176,195,89,170,460,1444
13,13075,Vorpommern-Greifswald,258,344,781,13621,6,598,318,1755,332,413,413,389,150,287,801,2214
13,13076,Ludwigslust-Parchim,224,243,616,12919,3,588,301,1635,233,183,183,300,155,274,665,2383
14,14511,Chemnitz,328,226,817,15218,8,1052,318,1857,97,52,52,323,64,280,953,2357
14,14521,Erzgebirgskreis,488,435,1009,22278,4,891,392,3459,100,296,296,666,212,399,1239,3842
14,14522,Mittelsachsen,427,311,931,19022,4,750,364,2742,74,184,184,535,148,369,1080,3356
14,14523,Vogtlandkreis,361,303,826,15856,6,603,265,2380,70,183,183,404,103,325,934,2732
14,14524,Zwickau,450,331,1085,19645,9,770,334,3017,99,117,117,454,102,349,1222,3603
14,14612,Dresden,502,520,1460,31463,25,1643,582,3346,237,222,222,792,172,417,1934,4518
14,14625,Bautzen,350,343,949,17737,11,717,373,2435,83,135,135,508,163,393,1010,3169
14,14626,Görlitz,293,326,798,15496,4,698,325,2099,102,181,181,488,124,275,943,2777
14,14627,Meißen,286,265,715,14666,5,482,279,1948,71,150,150,407,82,274,804,2525
14,14628,Sächsische Schweiz-Osterzgebirge,295,302,659,15017,3,592,297,1961,78,229,229,458,125,321,786,2597
14,14713,Leipzig,466,555,1515,33817,23,2616,416,3547,227,147,147,516,111,447,2290,5088
14,14729,Leipzig,283,261,677,14931,2,656,308,2146,49,83,83,302,107,265,890,2805
14,14730,Nordsachsen,236,200,617,11519,2,487,268,1720,45,95,95,257,93,238,668,2154
15,15001,Dessau-Roßlau,104,85,337,4461,4,200,74,630,30,30,30,83,33,76,307,776
15,15002,Halle (Saale),216,208,677,10947,7,686,224,1367,96,41,41,259,60,177,916,1794
15,15003,Magdeburg,272,250,797,12853,6,696,184,1464,141,46,46,234,56,179,872,1979
15,15081,Altmarkkreis Salzwedel,104,106,269,4998,0,248,119,768,60,55,55,114,34,108,262,893
15,15082,Anhalt-Bitterfeld,171,188,536,8563,1,401,170,1210,46,59,59,164,62,181,531,1520
15,15083,Börde,198,149,496,9271,1,434,250,1128,147,71,71,148,93,241,490,1633
15,15084,Burgenlandkreis,218,228,564,9747,1,433,254,1351,40,144,144,230,51,211,638,1622
15,15085,Harz,299,362,793,13232,4,593,258,1847,169,352,352,386,70,252,782,2274
15,15086,Jerichower Land,96,97,280,5517,0,197,112,719,94,36,36,89,55,117,267,872
15,15087,Mansfeld-Südharz,172,160,446,7558,1,330,155,1081,35,66,66,143,47,157,445,1370
15,15088,Saalekreis,195,177,522,9250,3,383,164,1127,19,71,71,184,103,207,483,1596
15,15089,Salzlandkreis,255,219,601,9924,3,445,227,1599,95,68,68,202,69,226,671,1736
15,15090,Stendal,154,115,368,6846,3,392,151,999,100,44,44,118,50,141,334,1160
15,15091,Wittenberg,155,149,427,7237,2,301,168,1133,26,90,90,165,67,152,384,1234
16,16051,Erfurt,230,246,678,12198,8,754,166,1588,96,70,70,289,77,197,828,2031
16,16052,Gera,138,108,342,5531,6,353,68,796,26,23,23,153,27,111,416,968
16,16053,Jena,109,139,319,6088,9,373,95,609,46,37,37,144,27,86,447,842
16,16054,Suhl,50,34,151,2434,2,117,25,318,16,23,23,47,12,43,175,399
16,16055,Weimar,70,91,241,4236,2,219,62,512,24,63,63,114,19,73,275,743
16,16056,Eisenach,64,75,200,2631,2,95,34,400,17,48,48,93,16,60,204,433
16,16061,Eichsfeld,170,105,240,6431,0,234,119,909,96,52,52,137,52,135,331,1205
16,16062,Nordhausen,101,118,291,4703,3,184,90,706,23,41,41,134,23,104,312,838
16,16063,Wartburgkreis,171,188,341,7056,2,207,148,1044,77,96,96,230,59,163,380,1207
16,16064,Unstrut-Hainich-Kreis,148,153,298,5950,1,208,114,902,25,54,54,187,68,128,391,1085
16,16065,Kyffhäuserkreis,98,104,263,4108,1,172,82,661,9,50,50,129,35,84,273,707
16,16066,Schmalkalden-Meiningen,188,186,356,8437,1,339,111,1274,34,143,143,259,68,207,470,1476
16,16067,Gotha,191,163,353,7636,0,344,127,1173,34,90,90,233,97,181,452,1345
16,16068,Sömmerda,75,54,175,3749,0,181,74,573,16,28,28,104,53,75,191,764
16,16069,Hildburghausen,81,88,182,3900,1,161,62,494,12,70,70,117,30,80,212,705
16,16070,Ilm-Kreis,137,136,308,6574,2,306,104,976,23,111,111,209,76,172,359,1183
16,16071,Weimarer Land,100,96,189,4733,2,185,101,635,12,50,50,134,79,117,239,949
16,16072,Sonneberg,74,86,187,3663,0,145,60,504,15,34,34,114,10,83,229,601
16,16073,Saalfeld-Rudolstadt,131,192,364,6641,4,253,109,1001,33,120,120,272,135,137,407,1249
16,16074,Saale-Holzland-Kreis,103,104,219,5078,0,227,100,667,19,59,59,144,89,127,273,917
16,16075,Saale-Orla-Kreis,122,128,262,5600,0,182,104,860,23,69,69,196,95,133,286,1142
16,16076,Greiz,132,140,279,6686,0,277,113,1002,22,57,57,194,64,159,367,1209
16,16077,Altenburger Land,122,119,268,4857,1,171,90,807,23,33,33,123,59,102,314,912
