ags2,ags5,kreis,number_of_hairdressers,number_of_restaurants,number_of_shops,number_of_companies,number_of_shopping_malls,number_of_clubs,number_of_education_places,number_of_shopping_places,number_of_free_time_places,number_of_tourism_places,number_of_tourism_places,number_of_food_and_drink_places,number_of_public_institution_places,number_of_traffic_places,number_of_health_places,number_of_business_places
05,05112,Duisburg,335,537,1006,19723,7,776,339,2699,233,54,54,478,178,335,1254,3174
05,05113,Essen,499,750,1411,31951,7,1355,510,3744,324,110,110,671,195,399,1889,4688
05,05114,Krefeld,212,284,569,13374,2,479,185,1901,163,21,21,331,86,193,937,2180
05,05116,Mönchengladbach,248,369,706,15156,6,473,275,2165,150,33,33,364,65,227,1014,2575
05,05117,Mülheim an der Ruhr,161,205,438,9576,2,302,136,1167,93,35,35,203,47,147,590,1447
05,05119,Oberhausen,169,250,573,9460,6,296,141,1304,147,27,27,199,62,159,553,1547
05,05120,Remscheid,117,131,285,6883,2,298,114,852,72,23,23,150,30,95,415,1195
05,05122,Solingen,169,169,378,10121,2,366,133,1367,92,19,19,177,48,160,588,1621
05,05124,Wuppertal,309,348,789,19844,2,921,234,2538,214,40,40,432,105,321,1273,3396
05,05154,Kleve,300,458,840,20270,2,653,280,2738,273,126,126,470,162,326,966,2918
05,05158,Mettmann,438,542,1231,31618,6,928,478,3861,321,124,124,599,148,458,1700,5046
05,05162,Rhein-Kreis Neuss,427,520,1078,26885,12,942,396,3424,314,92,92,524,160,354,1425,4425
05,05166,Viersen,284,416,773,19517,1,563,242,2777,253,75,75,429,91,283,1033,3446
05,05170,Wesel,446,554,1209,24823,2,863,435,3643,412,111,111,544,171,387,1355,4033
05,05314,Bonn,319,480,835,21702,2,1456,348,2449,240,114,114,458,172,208,1855,3391
05,05315,Köln,997,1869,2453,72430,24,2899,1013,8095,527,305,305,1751,348,717,4382,10597
05,05316,Leverkusen,161,188,399,7378,2,283,142,1116,73,23,23,205,55,103,576,1285
05,05334,Aachen,558,786,1482,34237,7,1138,540,4350,399,157,157,693,180,463,2027,5354
05,05358,Düren,305,329,641,14698,3,578,267,1804,206,72,72,303,144,249,735,2388
05,05362,Rhein-Erft-Kreis,433,559,1079,25286,2,784,436,3208,289,101,101,508,179,389,1359,4513
05,05366,Euskirchen,219,240,524,11692,3,436,207,1450,176,104,104,261,113,191,633,2171
