ags2,ags5,kreis,supermarkets_population,supermarkets_average_distance,public_transport availability,average_distance_bus_stop,average_distance_train_station,average_distance_public_transport
9,9471,Bamberg,53,1543,31,473,3767,469
9,9472,Bayreuth,43,2081,29,622,4179,550
9,9473,Coburg,53,1518,36,614,2824,565
9,9474,Forchheim,50,1556,41,448,3087,446
9,9475,Hof,60,1312,37,488,2665,462
9,9476,Kronach,50,1387,34,940,3423,928
9,9477,Kulmbach,47,1655,34,1039,3239,833
9,9478,Lichtenfels,51,1659,37,465,2144,433
9,9479,Wunsiedel i.Fichtelgebirge,66,1084,35,1063,2709,816
9,9561,Ansbach,78,872,38,209,2072,209
9,9562,Erlangen,90,514,38,259,1942,257
9,9563,Fürth,92,475,66,363,982,340
9,9564,Nürnberg,96,375,69,316,1022,290
9,9565,Schwabach,85,682,48,216,1426,216
9,9571,Ansbach,51,1744,31,356,4221,344
9,9572,Erlangen-Höchstadt,64,1062,28,386,4079,355
9,9573,Fürth,60,1127,50,402,1461,371
9,9574,Nürnberger Land,59,1293,42,335,1686,322
9,9575,Neustadt a.d.Aisch-Bad Windsheim,54,1708,36,555,3062,485
9,9576,Roth,54,1556,40,301,3591,298
9,9577,Weißenburg-Gunzenhausen,52,1873,37,304,3007,282
9,9661,Aschaffenburg,92,519,39,174,1343,172
9,9662,Schweinfurt,96,371,39,184,1452,184
9,9663,Würzburg,93,466,62,251,2212,235
9,9671,Aschaffenburg,61,1176,37,365,2672,348
9,9672,Bad Kissingen,51,1681,31,750,3856,743
9,9673,Rhön-Grabfeld,54,1544,24,1048,4283,1047
9,9674,Haßberge,45,1946,32,559,3822,557
9,9675,Kitzingen,53,1600,34,411,3840,408
9,9676,Miltenberg,55,1406,38,388,2291,317
9,9677,Main-Spessart,52,1798,33,656,3780,653
9,9678,Schweinfurt,55,1647,31,647,4062,597
9,9679,Würzburg,65,1153,40,484,3549,465
9,9761,Augsburg,95,440,67,275,1756,241
9,9762,Kaufbeuren,96,424,36,387,2222,379
9,9763,Kempten (Allgäu),93,459,38,250,1724,250
9,9764,Memmingen,86,582,38,252,1924,248
9,9771,Aichach-Friedberg,57,1646,38,614,3385,586
