ags5,car density,no of paths per person and day,kilometers per person and day, percentage out of home,share of journeys on foot,share of journeys on bike,proportion of motorised vehicle passenger,share of motorised vehicle driver,share of public transport ,public transport per 1000 inhabitants,activity index
3461,563,3.17401,38.6596,85.0,17.5,12.1,13.4,48.0,9.0,285.6609,69.533375631
3462,594,3.05863,38.8475,83.8,20.1,9.5,15.3,47.5,7.6,232.45587999999998,66.38084535899999
4011,368,3.24415,35.3114,86.1,24.7,22.0,11.0,28.3,13.9,450.93685,65.75484455
4012,394,3.19191,34.4661,85.6,23.0,14.1,14.1,38.5,10.3,328.76673,62.78057466600001
5111,371,3.20909,40.6097,86.0,27.5,13.5,11.1,31.0,16.9,542.3362099999999,74.716904446
5112,424,2.93293,34.5589,83.7,23.6,11.2,15.5,38.5,11.1,325.55523,56.558229694
5113,431,3.1673,32.5589,84.0,28.6,7.0,12.3,40.2,11.8,373.7414,57.749330223
5114,467,3.21192,38.4506,84.6,22.9,16.0,12.7,38.6,9.9,317.98008,69.65414165
5116,474,3.10384,37.0874,84.7,23.8,10.8,12.8,40.3,12.3,381.77232000000004,65.000674805
5117,493,3.07439,38.3772,84.7,25.1,6.6,13.7,43.2,11.4,350.48046,66.62303232100001
5119,486,3.07944,37.4133,83.1,20.5,9.9,14.4,44.1,11.1,341.81784,63.827454954
5120,493,2.9950099999999997,37.5169,82.1,24.4,5.5,14.3,43.8,12.0,359.4012,61.500283893
5122,512,3.18113,39.5851,86.3,23.1,7.5,13.5,43.9,12.1,384.91673,72.449050885
5124,431,3.12804,36.1531,84.7,23.4,5.7,15.0,40.3,15.6,487.97424,63.857217638
5154,570,3.1878900000000003,38.9522,84.0,16.0,16.0,14.8,46.7,6.5,207.21285,69.53818416
5158,531,3.1210000000000004,41.2585,84.4,24.7,8.6,14.3,44.1,8.3,259.043,72.453336703
5162,538,3.0741,39.0365,86.0,24.1,12.7,13.9,40.3,9.0,276.66900000000004,68.801206666
5166,572,3.03706,39.1154,83.0,22.5,12.4,13.1,42.4,9.5,288.5207,65.733685254
5170,576,3.07978,38.1239,85.5,20.5,13.7,13.1,44.9,7.8,240.22284,66.92553810300001
5314,407,3.2324599999999997,38.764,87.2,25.4,15.3,12.3,32.2,14.8,478.40407999999996,72.842856848
5315,362,3.16867,36.4544,86.5,26.9,16.4,10.6,28.7,17.3,548.17991,66.611899037
5316,478,3.10797,37.0086,84.8,22.0,12.9,14.3,38.6,12.1,376.06437,65.025555016
5334,470,3.20379,38.5384,84.6,23.9,9.1,14.1,41.7,11.2,358.82448,69.636482462
5358,569,3.1146599999999998,38.8332,83.4,18.7,8.7,14.5,49.8,8.3,258.51678,67.24943138
5362,541,3.1217599999999996,36.3226,84.0,22.9,13.7,14.2,38.3,10.9,340.27184,63.498646275
5366,601,3.04128,40.391,84.5,20.0,6.3,16.2,50.0,7.5,228.09599999999998,69.20005847
5370,578,3.05503,41.2361,84.4,19.4,9.5,14.6,47.8,8.6,262.73258,70.883352707
5374,591,2.95805,36.7923,83.6,20.9,3.8,16.6,50.9,7.7,227.76985,60.65651672
5378,580,2.95125,38.4144,85.1,22.9,6.2,14.9,45.7,10.2,301.0275,64.318862532
5382,563,3.1074,44.1114,86.3,20.5,9.0,15.2,45.3,10.0,310.74,78.861955095
5512,540,3.14036,37.6533,84.9,22.7,11.4,13.1,42.0,10.9,342.29924,66.926623128
5513,427,2.99965,31.5512,83.6,26.2,8.5,14.1,38.6,12.6,377.9559,52.747451813000005
5515,395,3.12046,34.477,85.4,20.6,30.2,11.2,28.9,9.2,287.08232000000004,61.251213936000006
5554,536,3.2894900000000002,38.8309,85.8,15.5,23.7,13.8,40.6,6.5,213.81685,73.063766342
5558,577,3.17882,38.5994,86.7,16.9,21.1,14.5,40.8,6.7,212.98094,70.920914841
5562,538,3.2096299999999998,36.6376,85.8,21.6,13.5,13.4,43.3,8.1,259.98003,67.26327613
5566,550,3.26348,38.1529,85.4,17.7,17.6,13.4,43.6,7.7,251.28796,70.888391388
5570,557,3.28459,40.2019,87.6,19.2,19.9,14.0,40.3,6.6,216.78294,77.115307093
5711,450,3.18738,32.9912,86.2,22.2,12.4,13.8,39.7,12.0,382.4856,60.429355527
5754,561,3.18493,40.0541,85.0,15.5,16.1,15.1,47.0,6.4,203.83552,72.289386004
5758,588,3.10208,36.7104,85.4,19.2,9.4,15.8,48.4,7.2,223.34976,64.834881585
5762,592,3.3079300000000003,40.484,84.7,21.9,8.8,14.2,48.4,6.8,224.93923999999998,75.619165125
5766,564,3.09747,39.0188,84.2,17.9,9.9,15.0,49.7,7.4,229.21277999999998,67.842501047
5770,591,3.19302,38.2375,85.0,18.3,12.7,15.1,47.4,6.5,207.5463,69.186091275
5774,536,3.11579,37.7749,85.1,21.5,11.6,15.1,44.5,7.3,227.45267,66.774370651
5911,463,3.26347,35.8951,86.0,23.2,7.2,13.9,42.3,13.4,437.30498,67.16174701199999
5913,448,3.08585,35.0131,84.4,26.4,9.2,13.2,37.3,13.9,428.93315,60.79341826100001
5914,476,3.0499099999999997,35.1154,84.2,24.4,6.9,14.1,42.5,12.2,372.08902,60.118131797
5915,497,3.04621,35.6357,83.4,20.9,13.5,14.1,41.8,9.7,295.48237,60.355927088
5916,459,3.05172,34.8445,83.7,21.1,10.3,13.3,43.6,11.6,353.99952,59.335296907
5954,560,3.04277,38.0947,84.2,21.6,5.2,14.5,47.3,11.3,343.83301,65.066060992
5958,580,3.17583,40.778,86.5,21.8,5.2,15.6,50.3,7.0,222.3081,74.680637543
