ags5,car density,no of paths per person and day,kilometers per person and day, percentage out of home,share of journeys on foot,share of journeys on bike,proportion of motorised vehicle passenger,share of motorised vehicle driver,share of public transport ,public transport per 1000 inhabitants,activity index
9375,601,3.01535,41.2254,84.1,18.2,6.9,14.9,51.6,8.5,256.30475,69.695918212
9376,612,3.08402,41.722,84.4,16.1,6.1,15.0,56.5,6.3,194.29326,72.39915412
9377,625,3.0687900000000004,38.7791,84.9,20.6,8.2,13.9,51.4,5.9,181.05861000000002,67.356781488
9461,428,3.24248,39.7845,85.1,20.6,19.2,12.8,38.9,8.4,272.36832000000004,73.18625278100001
9462,435,3.1314900000000003,35.7848,85.3,23.2,14.1,13.2,40.7,8.8,275.57112,63.72464072
9463,491,3.19266,39.32,85.4,24.9,8.9,13.2,42.4,10.6,338.42196,71.47148272300001
9464,473,3.0142599999999997,36.0117,82.8,25.6,4.5,14.4,45.1,10.4,313.48304,59.918842016999996
9471,636,3.18404,40.3683,85.4,17.9,8.9,14.3,51.7,7.1,226.06683999999998,73.17885118
9472,640,3.13497,42.455,84.2,19.6,4.4,15.4,54.0,6.7,210.04299,74.710744958
9473,621,3.01211,41.8464,83.4,21.4,5.7,15.4,50.0,7.6,228.92036000000002,70.081553707
9474,624,3.03348,42.6323,82.6,19.0,8.1,14.0,50.7,8.2,248.74536,71.214542325
9475,601,3.05592,39.2868,82.1,19.3,5.1,14.2,54.2,7.1,216.97032000000002,65.711371973
9476,610,3.15786,42.2424,85.1,20.0,6.9,14.9,52.3,6.0,189.4716,75.67976204
9477,613,3.12629,39.8783,84.9,18.2,6.6,15.9,51.9,7.4,231.34546,70.563859867
9478,604,3.21372,39.1908,84.6,18.6,7.7,14.1,52.8,6.8,218.53296,71.034817386
9479,583,3.0181400000000003,41.4238,83.2,19.7,5.4,15.6,52.2,7.1,214.28794,69.345995115
9561,516,3.1811700000000003,37.0659,85.5,22.8,11.6,14.2,44.8,6.6,209.95722,67.210369589
9562,432,3.32209,37.4982,86.9,23.7,26.9,10.6,29.0,9.8,325.56482,72.168940975
9563,439,3.06238,37.3422,85.3,25.6,12.2,13.4,33.5,15.3,468.54414,65.03044899300001
9564,402,3.14135,34.3183,84.9,25.3,13.4,11.9,32.7,16.7,524.60545,61.018078105
9565,561,3.1821,41.8785,85.3,20.4,9.9,15.9,43.5,10.3,327.7563,75.781415565
9571,622,3.19331,41.1877,86.0,19.7,9.3,14.2,49.5,7.3,233.11163,75.407720725
9572,607,3.12037,39.3948,85.9,18.3,14.1,14.0,46.0,7.6,237.14812,70.39582428899999
9573,612,3.1122,39.1221,85.7,20.1,8.4,14.8,46.3,10.3,320.5566,69.56314685
9574,584,3.16432,42.1408,85.6,23.5,8.4,14.0,44.6,9.4,297.44608,76.09667445
9575,612,3.13705,41.5426,85.1,19.3,8.9,14.5,48.8,8.5,266.64925,73.935568363
9576,614,3.1066,43.327,83.9,18.4,9.5,14.4,49.4,8.3,257.8478,75.286075487
9577,598,3.16094,39.2286,84.6,20.5,10.3,14.5,47.4,7.4,233.90956,69.93557749899999
9661,495,3.13863,35.5445,86.3,22.9,11.4,14.1,42.3,9.4,295.03122,64.18478158100001
9662,430,3.197,37.0582,86.7,26.8,8.9,12.9,41.5,9.9,316.503,68.478587801
9663,414,3.3051,38.3881,87.8,26.6,13.1,12.0,34.5,13.8,456.1038,74.265050116
9671,609,3.1833,38.9848,85.9,19.4,7.2,14.7,49.9,8.7,276.9471,71.068113059
9672,619,3.10223,40.7175,84.5,21.2,6.2,14.1,49.6,8.9,276.09847,71.157478181
9673,616,3.25243,43.4178,86.7,19.9,8.7,15.1,50.3,6.1,198.39823,81.621319337
9674,630,3.3477699999999997,38.7042,85.9,21.8,6.9,13.2,52.1,6.1,204.21397,74.20200035
9675,612,3.19484,42.6493,85.9,22.0,7.6,16.4,47.0,7.0,223.6388,78.030236918
9676,596,3.1744,43.2474,86.5,17.2,9.3,14.8,51.5,7.3,231.7312,79.16742185
9677,621,3.22685,39.2145,86.3,22.9,7.1,13.7,48.5,7.8,251.6943,72.802282632
9678,648,3.0935900000000003,39.5323,85.1,20.4,7.8,14.9,49.8,7.0,216.5513,69.383010328
9679,604,3.14027,43.751000000000005,86.1,21.5,7.3,14.7,46.4,10.1,317.16727000000003,78.86183289
9761,397,3.16296,34.2347,85.7,24.1,17.1,12.9,33.8,12.1,382.71816,61.865679741
9762,498,3.0782700000000003,37.2621,83.6,21.7,12.1,13.6,44.8,7.8,240.10506,63.927696411999996
9763,474,3.1318200000000003,39.5713,85.0,23.7,10.3,13.3,43.0,9.7,303.78654,70.227106967
9764,500,3.25317,39.6816,86.8,24.5,18.1,12.6,37.3,7.4,240.73458,74.700653269
9771,587,3.1122400000000003,42.8979,86.4,18.7,13.7,14.6,45.2,7.8,242.75472000000002,76.90093073
9772,593,3.1089700000000002,42.1989,85.2,17.9,12.9,14.2,46.5,8.5,264.26245,74.518824828
9773,614,3.14583,43.227,84.6,16.5,12.6,16.0,48.3,6.6,207.62478000000002,76.695423483
9774,587,3.18362,40.003,84.2,18.3,10.5,14.2,51.0,6.1,194.20082,71.488242283
9775,562,3.20191,41.3571,86.9,19.4,15.1,15.8,42.9,6.9,220.93178999999998,76.716311854
9776,564,3.14601,41.717,84.6,18.7,13.1,13.6,46.8,7.9,248.53479,74.020543932
9777,586,3.1956,42.5737,86.2,20.6,15.2,13.7,43.4,7.1,226.8876,78.182547034
9778,619,3.13667,41.8101,86.3,18.5,12.4,14.7,48.1,6.3,197.61021000000002,75.45179449
9779,614,3.0443,41.3116,84.6,18.5,10.2,15.2,49.1,7.0,213.101,70.931405788
9780,581,3.1758599999999997,41.1952,86.8,21.3,10.7,13.4,46.8,7.8,247.71707999999998,75.707068715
10041,523,3.19971,38.3069,85.7,22.9,6.7,15.4,45.3,9.7,310.37187,70.028881431
10042,637,3.11863,38.2065,83.0,17.8,5.0,14.8,54.9,7.5,233.89725,65.930738526
10043,607,3.03539,36.1874,82.0,18.1,3.5,14.9,55.6,8.0,242.8312,60.04743674
10044,634,3.08357,39.2603,83.3,18.4,5.9,14.8,53.3,7.6,234.35132000000002,67.229699176
10045,628,3.10415,38.4396,84.7,19.4,5.8,15.4,52.0,7.4,229.7071,67.377316557
10046,656,3.14643,38.9673,84.3,20.8,3.1,15.8,52.9,7.3,229.68939,68.905629537
11000,291,3.01054,36.0289,84.9,28.0,14.7,11.0,23.5,22.8,686.4031200000001,61.392007647
12051,432,2.9142099999999997,36.9033,82.9,21.5,10.8,12.6,43.0,12.1,352.61941,59.43596515
12052,436,3.11081,35.1087,84.2,26.6,13.2,11.8,35.9,12.4,385.74044,61.30685922
12053,441,3.17818,35.3913,83.9,25.7,6.9,13.5,42.2,11.7,371.84706,62.913769611999996
12054,376,3.20076,38.1219,85.2,26.4,14.3,10.2,32.8,16.4,524.9246400000001,69.306821902
12060,539,3.03761,42.8732,84.2,21.5,11.2,13.5,42.6,11.3,343.24993,73.10359693699999
12061,554,3.06878,43.3168,82.7,18.7,11.3,13.6,45.1,11.3,346.77214,73.288590867
12062,577,2.94616,42.4679,81.8,17.7,14.8,13.5,47.3,6.8,200.33888000000002,68.230595147
12063,536,2.95017,39.4943,84.3,17.8,11.6,14.5,44.2,12.0,354.0204,65.481373255
12064,554,2.98924,43.4482,83.2,20.4,8.1,12.9,46.0,12.5,373.655,72.038496673
12065,539,3.10375,41.5866,83.3,21.9,10.5,12.7,43.9,11.0,341.4125,71.679322215
12066,548,3.03337,36.584,82.6,21.0,12.5,13.1,46.7,6.8,206.26916,61.109026316000005
12067,557,3.07975,40.1737,83.2,20.5,14.3,12.5,43.2,9.6,295.656,68.626107028
12068,532,3.10186,37.1116,85.1,20.7,19.8,12.6,41.5,5.4,167.50044,65.308569618
12069,548,3.1093,41.8244,86.1,19.1,11.3,12.4,44.7,12.5,388.6625,74.645604372
12070,539,3.02864,37.5878,83.3,19.3,10.3,13.8,49.9,6.8,205.94752,63.219099236999995
12071,580,3.0041700000000002,39.032,82.1,17.8,9.8,15.4,49.2,7.8,234.32526000000001,64.179629856
12072,547,3.03878,41.2444,84.0,19.0,9.4,13.1,48.1,10.5,319.0719,70.186288386
12073,531,3.0444299999999997,38.902,84.0,22.4,13.0,13.6,41.7,9.3,283.13199,66.323272882
13003,368,3.04644,32.6395,85.9,27.6,15.0,11.6,31.5,14.3,435.64092,56.942696751999996
13004,398,3.16456,35.376999999999995,84.1,27.5,12.6,12.8,33.0,14.1,446.20295999999996,62.768113
13071,517,3.08703,39.0944,84.2,22.9,12.2,13.3,43.5,8.1,250.04942999999997,67.744842068
13072,535,3.1309299999999998,38.7256,84.9,26.7,13.0,13.6,40.1,6.6,206.64138,68.62588282899999
13073,498,3.10984,37.935,83.7,22.7,13.8,12.8,44.0,6.8,211.46912000000003,65.828253463
13074,535,3.05583,38.4827,84.4,22.6,10.0,14.7,45.7,7.0,213.9081,66.167680823
13075,493,3.08356,35.2295,83.5,23.1,21.0,11.8,38.1,6.0,185.0136,60.471967541000005
13076,563,2.9984599999999997,42.5683,82.4,22.1,10.9,12.9,46.9,7.2,215.88912000000002,70.11654675300001
14511,442,3.0558799999999997,34.6443,83.8,24.0,8.3,14.1,42.9,10.6,323.92328,59.14538272
14521,550,3.11233,37.7779,84.2,21.0,4.9,14.8,52.9,6.4,199.18912,66.000052966
14522,534,3.11458,36.6801,84.2,23.3,8.3,13.5,46.7,8.1,252.28097999999997,64.128463422
14523,544,3.13967,39.8562,82.9,22.2,3.8,14.3,52.9,6.9,216.63723,69.158117674
14524,532,3.16215,35.8221,84.8,28.1,5.6,13.6,45.7,7.1,224.51265,64.03805052
14612,356,3.15318,35.052,86.8,25.8,14.6,12.2,32.1,15.4,485.58972,63.957286888
14625,552,3.10874,40.0213,85.2,22.8,7.6,14.0,47.5,8.1,251.80794,70.66818358
14626,513,2.9775099999999997,39.6761,82.3,21.5,11.4,13.4,47.3,6.4,190.56063999999998,64.817276835
14627,519,3.04197,39.4384,83.3,19.9,12.0,13.0,47.4,7.6,231.18972000000002,66.62357859800001
14628,525,3.20028,39.0068,85.9,24.5,7.2,15.1,43.9,9.2,294.42576,71.487515837
14713,343,3.14197,37.02,85.3,25.1,15.3,11.5,32.4,15.8,496.43125999999995,66.144878119
14729,540,3.1257200000000003,38.7995,83.9,20.0,12.3,12.6,46.7,8.4,262.56048,67.833918043
14730,534,3.1162099999999997,38.6805,84.8,21.3,9.6,13.4,48.4,7.3,227.48333,68.143335765
15001,475,3.16106,38.3278,85.3,20.5,18.6,13.2,40.4,7.4,233.91844,68.897649049
15002,351,3.09152,37.3658,85.1,23.8,12.4,12.1,34.2,17.5,541.016,65.53671162100001
15003,411,3.13538,36.2312,85.3,25.4,10.7,13.2,37.4,13.3,417.00554,64.599725745
15081,563,3.00676,39.7769,83.8,19.2,11.6,14.0,47.0,8.2,246.55432000000002,66.81630531
15082,535,3.0454,37.2685,83.9,21.2,10.5,14.2,46.6,7.5,228.405,63.482929351
15083,571,2.98241,40.2702,83.4,20.1,8.2,14.1,49.0,8.6,256.48726,66.776849433
15084,523,2.92338,39.8373,83.6,20.7,8.5,14.3,48.8,7.8,228.02364,64.90679815899999
15085,532,3.0342599999999997,36.7516,83.2,21.2,14.3,13.5,43.7,7.3,221.50097999999997,61.853048645
15086,559,3.05871,38.9844,84.4,17.3,14.7,13.2,47.7,7.1,217.16841000000002,67.093484107
15087,544,3.05565,37.2657,83.1,23.4,8.6,14.5,46.8,6.7,204.72855,63.084498658
15088,564,3.0904599999999998,39.3177,84.9,20.6,8.1,12.8,49.7,8.8,271.96047999999996,68.77453499399999
15089,512,3.0562,35.0769,83.1,19.6,11.4,13.8,47.7,7.5,229.215,59.389920066
15090,521,3.02805,38.3625,83.0,21.6,12.1,13.5,44.4,8.4,254.3562,64.277174363
15091,554,3.07163,37.5669,84.1,18.8,14.9,12.3,46.8,7.2,221.15736,64.696233291
16051,399,3.16055,33.0361,84.7,30.4,10.9,11.8,32.6,14.3,451.95865,58.958114826000006
16052,442,3.1337099999999998,34.4004,84.4,27.1,5.1,11.9,43.5,12.4,388.58004,60.655960398000005
16053,359,3.0988,33.4059,85.6,27.9,16.0,12.0,29.7,14.3,443.1284,59.074387800000004
16054,502,3.12145,39.0619,84.5,25.6,6.2,13.4,46.7,8.0,249.71599999999998,68.687102502
16055,402,3.20308,36.1878,86.8,29.2,11.5,11.5,37.9,9.9,317.10492,67.074652795
16056,442,3.2000900000000003,39.8181,84.5,30.2,7.5,12.5,40.3,9.5,304.00855,71.780780378
16061,564,3.1579200000000003,39.4021,84.9,24.3,4.7,14.7,48.5,7.8,246.31776000000002,70.426632672
16062,533,2.9676400000000003,37.0911,83.1,21.9,4.2,13.9,51.4,8.7,258.18467999999996,60.98045973
16063,595,3.09837,39.4852,84.5,20.1,6.8,13.8,51.0,8.3,257.16471,68.918064307
16064,514,3.08182,39.6712,84.6,23.0,7.2,13.9,47.7,8.3,255.79106000000002,68.954356637
16065,572,2.99477,36.7546,81.6,23.7,7.5,13.5,49.0,6.3,188.67051,59.878935952
16066,569,3.08337,39.9784,84.0,22.3,7.8,14.1,49.1,6.7,206.58579,69.030191556
16067,525,3.14079,37.3814,85.2,25.1,6.3,13.5,46.9,8.3,260.68557000000004,66.68724831
16068,543,3.1480599999999996,38.1952,85.1,22.8,12.3,13.2,45.3,6.4,201.47583999999998,68.216603264
16069,586,3.05633,38.5268,83.5,21.3,6.9,14.0,51.3,6.5,198.66145,65.547842152
16070,517,3.16208,39.534,84.4,20.5,10.4,14.3,46.7,8.1,256.12847999999997,70.338774725
16071,559,3.24797,37.9975,85.8,21.4,6.0,14.2,52.0,6.4,207.87008,70.593231323
16072,561,3.04732,38.1055,85.0,20.7,7.7,13.4,51.8,6.4,195.02848,65.801136281
16073,566,3.0531200000000003,37.7786,83.7,26.2,8.8,14.1,43.3,7.6,232.03712000000002,64.361170371
16074,569,3.22019,37.9251,85.8,28.7,10.0,12.5,41.9,6.8,218.97292000000002,69.85608788399999
16075,578,3.13216,37.256,84.5,21.2,6.0,14.6,52.2,5.9,184.79744,65.736354167
16076,573,3.17824,37.9562,83.5,21.9,3.2,13.1,54.6,7.3,232.01152000000002,67.152878286
16077,534,3.08846,37.523,83.8,21.7,6.0,12.8,52.1,7.5,231.6345,64.74292165199999
