,ags5,rmse
0,5512,0.539289656245448
1,6433,0.20412414523193173
2,6611,0.32015621187164245
3,7132,0.17559422921421233
4,5116,0.9596006113656521
5,5162,0.35000000000000026
6,9778,0.08164965809277261
7,8316,0.05773502691896256
8,15090,0.7488880646220324
9,9576,0.1707825127659934
10,5114,0.3354101966249685
11,9477,0.17320508075688776
12,9176,0.10801234497346433
13,13075,0.8411301920630363
14,9779,0.19364916731037085
15,5558,0.1224744871391589
16,9180,0.23452078799117157
17,16051,0.4396968652757639
18,3455,0.4453463071962463
19,5120,0.5469613027140647
20,9262,0.1581138830084192
21,9764,0.36285901761795397
22,14627,0.6788470618138768
23,3403,0.5066228051190222
24,5913,0.34278273002005216
25,6414,0.6383572667401853
26,5382,0.16329931618554527
27,3460,0.14719601443879746
28,7338,0.19364916731037082
29,7316,0.4991659710623978
30,3353,0.19148542155126763
31,5315,0.3785938897200182
32,5334,0.40620192023179774
33,9173,0.20412414523193162
34,8436,0.14142135623730953
35,9776,0.06454972243679027
36,9376,0.32914029430219166
37,1057,0.45552167895721496
38,9675,0.15545631755148037
39,8231,0.31754264805429416
40,8335,0.16583123951776998
41,9187,0.09574271077563373
42,16061,0.15275252316519458
43,7332,0.25980762113533157
44,3159,0.3883726732577013
45,6633,0.2581988897471612
46,9472,0.2753785273643052
47,9476,0.47434164902525683
48,14524,0.4368447474027052
49,16062,0.15545631755148023
50,8417,0.11902380714238091
51,7337,0.2565800719723441
52,16064,0.7664854858377946
53,7319,0.33665016461206937
54,3257,0.8041558721209878
55,8421,0.13844373104863453
56,13076,0.505799696849784
57,15003,0.49999999999999994
58,9574,0.12909944487358052
59,6531,0.22360679774997894
60,3103,0.3013856886670855
61,9561,0.16329931618554516
62,5314,0.30413812651491096
63,9189,0.11547005383792516
64,3254,0.37527767497325676
65,8317,0.07637626158259721
66,9163,0.23804761428476173
67,12071,0.6350852961085883
68,10041,0.7905694150420947
69,6434,0.1825741858350554
70,8118,0.25980762113533157
71,9171,0.1779513042005219
72,3361,0.36855573979159956
73,5966,0.2516611478423582
74,15081,0.6442049363362561
75,13073,1.095445115010332
76,3458,0.3840572873934304
77,5914,0.9110433579144303
78,8336,0.3188521078284831
79,3404,0.5354126134736336
80,3252,0.3570714214271425
81,9777,0.12909944487358058
82,7317,0.8573214099741125
83,8327,0.3149073937948531
84,6632,0.3829708431025352
85,11000,0.43684474740270524
86,6635,0.14433756729740638
87,5113,0.4320493798938571
88,7211,0.507444578254611
89,9762,0.29720924166878343
90,3251,0.18257418583505547
91,6631,0.10801234497346433
92,2000,0.298607881119482
93,15088,0.7815582725128902
94,9564,0.2483277404291889
95,14612,0.43874821936960595
96,13072,0.7555351304428758
97,16068,0.20000000000000004
98,5117,0.3774917217635375
99,1055,0.22360679774997907
100,5154,0.49749371855331004
101,9671,0.18484227510682355
102,5711,0.5090841449767087
103,5370,0.2598076211353317
104,5554,0.11180339887498951
105,12068,0.7187952884282609
106,16076,0.3807886552931954
107,1058,0.43204937989385733
108,8128,0.20615528128088306
109,9772,0.09128709291752764
110,8435,0.2345207879911714
111,1059,1.1135528725660044
112,14521,0.3763863263545406
113,9577,0.07637626158259735
114,14511,0.7713624310270754
115,9179,0.11902380714238084
116,9674,0.304138126514911
117,3462,0.33291640592397
118,3158,0.5228129047119373
119,9478,0.1779513042005218
120,12072,0.35823642100341135
121,6532,0.3068658773253662
122,8116,0.16832508230603463
123,8125,0.22173557826083456
124,1001,0.8190441583537079
125,5570,0.3872983346207416
126,7133,0.304138126514911
127,9676,0.19364916731037085
128,1004,1.5132745950421556
129,8325,0.21015867021530812
130,7315,0.2254624876411447
131,3459,0.2533114025595111
132,10045,0.21015867021530824
133,9372,0.13540064007726607
134,3405,0.4173328008516306
135,16065,0.4983305462575352
136,9572,0.135400640077266
137,5954,0.36855573979159967
138,9462,0.2943920288775949
139,5166,0.646786930397742
140,13003,1.0193952455582018
141,8337,0.17320508075688767
142,9471,0.05773502691896253
143,6437,0.18708286933869728
144,9185,0.14433756729740646
145,3358,0.31490739379485294
146,5170,0.3523729085310996
147,9679,0.07071067811865478
148,7334,0.0763762615825973
149,3153,0.6110100926607787
150,9373,0.11547005383792514
151,7141,0.47434164902525683
152,16063,0.2362907813126304
153,3102,0.5937171043518956
154,9473,0.12583057392117927
155,1061,0.5267826876426371
156,8126,0.1354006400772659
157,9183,0.13844373104863453
158,8127,0.08164965809277254
159,13004,0.31358146203711296
160,1056,0.22360679774997902
161,9161,0.07071067811865471
162,9479,0.23094010767585046
163,9361,0.49916597106239813
164,5978,0.3488074922742725
165,9182,0.23094010767585027
166,12052,0.5802298395176407
167,16075,0.3135814620371132
168,8222,0.6726812023536856
169,5358,0.41932485418030413
170,7111,0.32659863237109044
171,3101,0.443471156521669
172,3402,0.32914029430219166
173,16054,0.17078251276599343
174,6636,0.2020725942163692
175,5122,0.5744562646538028
176,8315,0.10408329997330663
177,9771,0.08660254037844385
178,9761,0.18708286933869714
179,9371,0.2254624876411447
180,8415,0.14719601443879737
181,12062,0.9380831519646861
182,7140,0.32274861218395134
183,8225,0.2449489742783179
184,15087,0.7858116822750855
185,12070,0.5477225575051661
186,3151,0.4609772228646445
187,9563,0.13844373104863467
188,7311,0.582380173655205
189,14729,0.4609772228646444
190,12065,0.6377042156569664
191,8237,0.14142135623730956
192,9276,0.2753785273643052
193,9571,0.1683250823060346
194,14628,0.602771377334171
195,9662,0.498330546257535
196,3352,0.11902380714238078
197,7333,0.3068658773253662
198,8326,0.3095695936834451
199,9271,0.10000000000000005
200,9186,0.07071067811865482
201,9464,0.6075908711186061
202,5374,0.4143267631552017
203,7339,0.17559422921421233
204,9162,0.32659863237109044
205,8136,0.16072751268321586
206,9277,0.1384437310486346
207,15082,0.5259911279353165
208,8119,0.24324199198877386
209,16055,0.5937171043518958
210,9274,0.13844373104863453
211,9362,0.22912878474779197
212,9663,0.25166114784235827
213,9279,0.2629955639676584
214,6533,0.2327373340628156
215,5962,0.5431390245600107
216,8212,0.2614064523559687
217,9181,0.13540064007726607
218,7235,0.15
219,12066,0.8655441448399194
220,8437,0.23804761428476162
221,13071,0.8636164272021079
222,12063,0.362859017617954
223,12060,0.610327780786685
224,14625,0.5369667897862339
225,5916,0.6082762530298219
226,3355,0.17559422921421214
227,8221,0.35823642100341113
228,1003,0.5492419017761361
229,16070,0.5057996968497839
230,8425,0.1825741858350553
231,5774,0.15545631755148012
232,1062,0.19364916731037074
233,7232,0.1527525231651947
234,9461,0.31358146203711285
235,3359,0.278388218141501
236,6431,0.24832774042918895
237,8135,0.35823642100341113
238,7131,0.18484227510682363
239,7320,0.4222953153106644
240,1051,0.89116029235299
241,5762,0.21213203435596434
242,7137,0.23094010767585035
243,12054,0.3253203549323854
244,5362,0.5649483752226095
245,9278,0.1290994448735806
246,9273,0.15275252316519464
247,7143,0.2533114025595111
248,9775,0.15275252316519475
249,9261,0.15275252316519466
250,16066,0.3329164059239695
251,16074,0.4010403138505321
252,9275,0.1732050807568878
253,8115,0.11902380714238074
254,5124,0.51478150704935
255,3256,0.15275252316519466
256,16056,0.32659863237109044
257,9174,0.19364916731037085
258,1060,0.40414518843273806
259,6432,0.16583123951776998
260,3456,0.5787918451395113
261,9678,0.08660254037844373
262,8117,0.23629078131263045
263,9661,0.11902380714238078
264,15086,0.3937003937005906
265,14522,0.523609269080167
266,7318,0.1914854215512675
267,9573,0.12909944487358063
268,5958,0.16329931618554533
269,5566,0.10801234497346443
270,8236,0.08660254037844373
271,15089,0.7593857166596345
272,5974,0.22730302828309742
273,7312,0.3915780041490244
274,8426,0.15811388300841892
275,5112,0.6670832032063166
276,9190,0.23804761428476168
277,6411,0.41833001326703795
278,9188,0.18484227510682355
279,10043,0.32787192621510003
280,9178,0.08164965809277257
281,6412,0.4509249752822895
282,3351,0.5049752469181039
283,9773,0.14719601443879746
284,1002,0.6745368781616021
285,3451,0.25495097567963926
286,7336,0.3188521078284831
287,15085,0.5515130702591432
288,7134,0.23094010767585033
289,7340,0.33166247903553997
290,9475,0.16832508230603452
291,5111,0.23804761428476168
292,6438,0.2565800719723444
293,16067,0.14999999999999986
294,4012,0.5408326913195983
295,7335,0.2061552812808829
296,3255,0.23979157616563604
297,3154,0.5322906474223773
298,9672,0.125830573921179
299,15001,0.3559026084010437
300,16073,0.28867513459481275
301,5766,0.2677063067368169
302,7231,0.15811388300841897
303,9575,0.20816659994661327
304,9474,0.14142135623730956
305,14730,0.84803694888057
306,8215,0.16583123951776993
307,12061,0.4941322360124532
308,3157,0.41932485418030413
309,5911,0.532290647422377
310,9175,0.11180339887498954
311,8226,0.22730302828309754
312,10042,0.219848432637882
313,9377,0.2516611478423584
314,3241,0.2943920288775949
315,9184,0.25819888974716104
316,16072,0.38514066694304483
317,5562,1.1557825631723873
318,9463,0.1914854215512677
319,3360,0.38297084310253526
320,5119,0.4509249752822893
321,6440,0.2041241452319315
322,5970,0.2020725942163689
323,6439,0.23452078799117151
324,12069,0.26770630673681695
325,16069,0.2768874620972691
326,7331,0.1632993161855452
327,5770,0.22173557826083456
328,5513,0.8391463916782739
329,5316,0.3227486121839513
330,5754,0.23452078799117151
331,6436,0.16329931618554522
332,3457,0.4396968652757638
333,12064,0.6794605703546502
334,15084,0.7011894655987542
335,3401,0.6191391873668903
336,3452,0.26925824035672513
337,9172,0.2708012801545321
338,5366,0.2549509756796392
339,6634,0.33541019662496846
340,7135,0.253311402559511
341,1054,0.6317963807008289
342,10046,0.16832508230603466
343,6413,0.6608075867199669
344,8311,0.12909944487358052
345,7138,0.29720924166878343
346,16053,0.4010403138505322
347,15091,0.8602325267042625
348,8211,0.438748219369606
349,6435,0.21984843263788192
350,3155,0.33541019662496846
351,5158,0.31358146203711307
352,16071,0.28136571693556883
353,5515,0.37416573867739417
354,3461,0.6825198409814422
355,6535,0.17795130420052185
356,12053,0.6499999999999999
357,3454,0.189296944860009
358,9272,0.20816659994661332
359,8111,0.2857738033247042
360,8235,0.09128709291752757
361,9565,0.11902380714238084
362,14626,0.7566372975210778
363,4011,0.41932485418030413
364,3357,0.44534630719624624
365,14523,0.41331989225457494
366,12067,0.6370504951205463
367,16077,0.697614984548545
368,14713,0.5744562646538027
369,15083,0.39791121287711073
370,8416,0.187082869338697
371,9375,0.18027756377319942
372,1053,0.3523729085310997
373,6534,0.11547005383792516
374,9763,0.22730302828309765
375,7233,0.16072751268321603
376,7313,0.36514837167011066
377,9677,0.16583123951776998
378,9363,0.20207259421636906
379,3356,0.11547005383792511
380,15002,0.7433034373659253
381,9177,0.08660254037844384
382,12051,0.6726812023536854
383,8216,0.158113883008419
384,5915,0.619811799392902
385,8121,0.2929732638541159
386,5378,0.3109126351029604
387,9774,0.16329931618554522
388,9780,0.23094010767585033
389,9673,0.09999999999999987
390,12073,0.6224949798994364
391,3453,0.27386127875258287
392,16052,0.734279692397023
393,9263,0.24324199198877391
394,13074,0.7239935542991158
395,5758,0.2943920288775949
396,7314,0.6873863542433759
397,10044,0.1732050807568878
398,9562,0.187082869338697
399,9374,0.12247448713915887
400,3354,0.6116916434500856
