,ags5,time_stamp,value
185,01002,2008-01-31,14643
186,01002,2008-02-29,14870
187,01002,2008-03-31,14738
188,01002,2008-04-30,14543
189,01002,2008-05-31,14213
190,01002,2008-06-30,13644
191,01002,2008-07-31,13871
192,01002,2008-08-31,14070
193,01002,2008-09-30,13532
194,01002,2008-10-31,13165
195,01002,2008-11-30,12909
196,01002,2008-12-31,12613
197,01002,2009-01-31,13475
198,01002,2009-02-28,13597
199,01002,2009-03-31,13661
200,01002,2009-04-30,13912
201,01002,2009-05-31,13320
202,01002,2009-06-30,13338
203,01002,2009-07-31,13704
204,01002,2009-08-31,14108
205,01002,2009-09-30,13314
206,01002,2009-10-31,12741
207,01002,2009-11-30,12603
208,01002,2009-12-31,12557
209,01002,2010-01-31,13819
210,01002,2010-02-28,13697
211,01002,2010-03-31,13463
212,01002,2010-04-30,13586
213,01002,2010-05-31,13288
214,01002,2010-06-30,12980
215,01002,2010-07-31,13399
216,01002,2010-08-31,13712
217,01002,2010-09-30,12953
218,01002,2010-10-31,12829
219,01002,2010-11-30,12913
220,01002,2010-12-31,13125
221,01002,2011-01-31,14108
222,01002,2011-02-28,14328
223,01002,2011-03-31,14295
224,01002,2011-04-30,14171
225,01002,2011-05-31,13926
226,01002,2011-06-30,13689
227,01002,2011-07-31,14198
228,01002,2011-08-31,13963
229,01002,2011-09-30,13286
230,01002,2011-10-31,13217
231,01002,2011-11-30,12616
232,01002,2011-12-31,12546
233,01002,2012-01-31,13603
234,01002,2012-02-29,13532
235,01002,2012-03-31,13074
236,01002,2012-04-30,13076
237,01002,2012-05-31,12665
238,01002,2012-06-30,12519
239,01002,2012-07-31,13068
240,01002,2012-08-31,12753
241,01002,2012-09-30,12237
242,01002,2012-10-31,12165
243,01002,2012-11-30,11936
244,01002,2012-12-31,12161
245,01002,2013-01-31,13047
246,01002,2013-02-28,12912
247,01002,2013-03-31,12783
248,01002,2013-04-30,12852
249,01002,2013-05-31,12619
250,01002,2013-06-30,12471
251,01002,2013-07-31,13481
252,01002,2013-08-31,13573
253,01002,2013-09-30,13310
254,01002,2013-10-31,13271
255,01002,2013-11-30,13179
256,01002,2013-12-31,13347
257,01002,2014-01-31,13903
258,01002,2014-02-28,14000
259,01002,2014-03-31,13686
260,01002,2014-04-30,13554
261,01002,2014-05-31,13439
262,01002,2014-06-30,13056
263,01002,2014-07-31,13541
264,01002,2014-08-31,13345
265,01002,2014-09-30,12651
266,01002,2014-10-31,12221
267,01002,2014-11-30,12016
268,01002,2014-12-31,11898
269,01002,2015-01-31,12815
270,01002,2015-02-28,12785
271,01002,2015-03-31,12757
272,01002,2015-04-30,12786
273,01002,2015-05-31,12495
274,01002,2015-06-30,12498
275,01002,2015-07-31,13039
276,01002,2015-08-31,13621
277,01002,2015-09-30,13529
278,01002,2015-10-31,13289
279,01002,2015-11-30,13310
280,01002,2015-12-31,13337
281,01002,2016-01-31,13923
282,01002,2016-02-29,13925
283,01002,2016-03-31,13765
284,01002,2016-04-30,13499
285,01002,2016-05-31,12996
286,01002,2016-06-30,12499
287,01002,2016-07-31,12724
288,01002,2016-08-31,12956
289,01002,2016-09-30,12449
290,01002,2016-10-31,12008
291,01002,2016-11-30,11753
292,01002,2016-12-31,11908
293,01002,2017-01-31,12521
294,01002,2017-02-28,12409
295,01002,2017-03-31,12216
296,01002,2017-04-30,12310
297,01002,2017-05-31,12206
298,01002,2017-06-30,12289
299,01002,2017-07-31,12284
300,01002,2017-08-31,13005
301,01002,2017-09-30,12525
302,01002,2017-10-31,12224
303,01002,2017-11-30,12212
304,01002,2017-12-31,11939
305,01002,2018-01-31,12423
306,01002,2018-02-28,12121
307,01002,2018-03-31,11950
308,01002,2018-04-30,11712
309,01002,2018-05-31,11352
310,01002,2018-06-30,11171
311,01002,2018-07-31,11570
312,01002,2018-08-31,11621
313,01002,2018-09-30,10895
314,01002,2018-10-31,10592
315,01002,2018-11-30,10305
316,01002,2018-12-31,10260
317,01002,2019-01-31,11016
318,01002,2019-02-28,10690
319,01002,2019-03-31,10805
320,01002,2019-04-30,10617
321,01002,2019-05-31,10748
322,01002,2019-06-30,10561
323,01002,2019-07-31,10860
324,01002,2019-08-31,10877
325,01002,2019-09-30,10333
326,01002,2019-10-31,10212
327,01002,2019-11-30,9940
328,01002,2019-12-31,10009
329,01002,2020-01-31,10791
330,01002,2020-02-29,10733
331,01002,2020-03-31,10522
332,01002,2020-04-30,11589
333,01002,2020-05-31,12170
334,01002,2020-06-30,12431
335,01002,2020-07-31,12808
336,01002,2020-08-31,12720
337,01002,2020-09-30,12400
338,01002,2020-10-31,12022
339,01002,2020-11-30,11622
340,01002,2020-12-31,11506
341,01002,2021-01-31,12070
342,01002,2021-02-28,12051
343,01002,2021-03-31,11966
344,01002,2021-04-30,12072
345,01002,2021-05-31,11531
346,01003,2007-01-31,14302
347,01003,2007-02-28,14123
348,01003,2007-03-31,13977
349,01003,2007-04-30,13850
350,01003,2007-05-31,13503
351,01003,2007-06-30,13399
352,01003,2007-07-31,13620
353,01003,2007-08-31,13601
354,01003,2007-09-30,13345
355,01003,2007-10-31,13058
356,01003,2007-11-30,12959
357,01003,2007-12-31,13062
358,01003,2008-01-31,13489
359,01003,2008-02-29,13433
360,01003,2008-03-31,13327
361,01003,2008-04-30,13163
362,01003,2008-05-31,12937
363,01003,2008-06-30,12586
364,01003,2008-07-31,12765
365,01003,2008-08-31,12821
366,01003,2008-09-30,12278
367,01003,2008-10-31,12116
368,01003,2008-11-30,11960
369,01003,2008-12-31,12167
370,01003,2009-01-31,13202
371,01003,2009-02-28,13194
372,01003,2009-03-31,13369
373,01003,2009-04-30,13358
374,01003,2009-05-31,12857
375,01003,2009-06-30,12882
376,01003,2009-07-31,13137
377,01003,2009-08-31,13323
378,01003,2009-09-30,12619
379,01003,2009-10-31,12135
380,01003,2009-11-30,11974
381,01003,2009-12-31,11912
382,01003,2010-01-31,12625
383,01003,2010-02-28,12732
384,01003,2010-03-31,12674
385,01003,2010-04-30,12461
386,01003,2010-05-31,11953
387,01003,2010-06-30,11511
388,01003,2010-07-31,11792
389,01003,2010-08-31,11593
390,01003,2010-09-30,11044
391,01003,2010-10-31,10816
392,01003,2010-11-30,10645
393,01003,2010-12-31,11017
394,01003,2011-01-31,11925
395,01003,2011-02-28,12103
396,01003,2011-03-31,12170
397,01003,2011-04-30,12024
398,01003,2011-05-31,11723
399,01003,2011-06-30,11505
400,01003,2011-07-31,11806
401,01003,2011-08-31,11591
402,01003,2011-09-30,11164
403,01003,2011-10-31,11019
404,01003,2011-11-30,10772
405,01003,2011-12-31,10793
406,01003,2012-01-31,11789
407,01003,2012-02-29,11978
408,01003,2012-03-31,11972
409,01003,2012-04-30,11757
410,01003,2012-05-31,11019
411,01003,2012-06-30,10777
412,01003,2012-07-31,11410
413,01003,2012-08-31,10839
414,01003,2012-09-30,10347
415,01003,2012-10-31,10080
416,01003,2012-11-30,9939
417,01003,2012-12-31,10207
418,01003,2013-01-31,11086
419,01003,2013-02-28,11237
420,01003,2013-03-31,11441
421,01003,2013-04-30,11361
422,01003,2013-05-31,10960
423,01003,2013-06-30,10807
424,01003,2013-07-31,11258
425,01003,2013-08-31,11058
426,01003,2013-09-30,10960
427,01003,2013-10-31,10966
428,01003,2013-11-30,10994
