,ags5,time_stamp,value
185,01002,2006-07-31,69581
186,01002,2006-08-31,70377
187,01002,2006-09-30,70904
188,01002,2006-10-31,71130
189,01002,2006-11-30,71115
190,01002,2006-12-31,70800
191,01002,2007-01-31,70270
192,01002,2007-02-28,70220
193,01002,2007-03-31,70488
194,01002,2007-04-30,70647
195,01002,2007-05-31,70917
196,01002,2007-06-30,71044
197,01002,2007-07-31,70844
198,01002,2007-08-31,71745
199,01002,2007-09-30,72494
200,01002,2007-10-31,72888
201,01002,2007-11-30,72904
202,01002,2007-12-31,72475
203,01002,2008-01-31,71955
204,01002,2008-02-29,72013
205,01002,2008-03-31,72226
206,01002,2008-04-30,72632
207,01002,2008-05-31,72850
208,01002,2008-06-30,73070
209,01002,2008-07-31,72729
210,01002,2008-08-31,73370
211,01002,2008-09-30,74456
212,01002,2008-10-31,74865
213,01002,2008-11-30,74849
214,01002,2008-12-31,74405
215,01002,2009-01-31,73693
216,01002,2009-02-28,73358
217,01002,2009-03-31,73411
218,01002,2009-04-30,73518
219,01002,2009-05-31,73579
220,01002,2009-06-30,73662
221,01002,2009-07-31,73107
222,01002,2009-08-31,73646
223,01002,2009-09-30,74723
224,01002,2009-10-31,74891
225,01002,2009-11-30,75024
226,01002,2009-12-31,74659
227,01002,2010-01-31,73807
228,01002,2010-02-28,73585
229,01002,2010-03-31,73871
230,01002,2010-04-30,74265
231,01002,2010-05-31,74510
232,01002,2010-06-30,74577
233,01002,2010-07-31,74413
234,01002,2010-08-31,75059
235,01002,2010-09-30,75815
236,01002,2010-10-31,76022
237,01002,2010-11-30,76082
238,01002,2010-12-31,75731
239,01002,2011-01-31,75117
240,01002,2011-02-28,75074
241,01002,2011-03-31,75418
242,01002,2011-04-30,75810
243,01002,2011-05-31,76305
244,01002,2011-06-30,76347
245,01002,2011-07-31,76182
246,01002,2011-08-31,77171
247,01002,2011-09-30,78059
248,01002,2011-10-31,78421
249,01002,2011-11-30,78614
250,01002,2011-12-31,78199
251,01002,2012-01-31,78026
252,01002,2012-02-29,78052
253,01002,2012-03-31,78282
254,01002,2012-04-30,78554
255,01002,2012-05-31,78854
256,01002,2012-06-30,78691
257,01002,2012-07-31,78622
258,01002,2012-08-31,79490
259,01002,2012-09-30,80199
260,01002,2012-10-31,80517
261,01002,2012-11-30,80690
262,01002,2012-12-31,80108
263,01002,2013-01-31,79479
264,01002,2013-02-28,79620
265,01002,2013-03-31,79692
266,01002,2013-04-30,80016
267,01002,2013-05-31,80160
268,01002,2013-06-30,80005
269,01002,2013-07-31,79956
270,01002,2013-08-31,80760
271,01002,2013-09-30,81394
272,01002,2013-10-31,81343
273,01002,2013-11-30,81401
274,01002,2013-12-31,80928
275,01002,2014-01-31,80414
276,01002,2014-02-28,80545
277,01002,2014-03-31,80737
278,01002,2014-04-30,81116
279,01002,2014-05-31,81440
280,01002,2014-06-30,81444
281,01002,2014-07-31,81284
282,01002,2014-08-31,81976
283,01002,2014-09-30,82584
284,01002,2014-10-31,82561
285,01002,2014-11-30,82567
286,01002,2014-12-31,82069
287,01002,2015-01-31,81850
288,01002,2015-02-28,82038
289,01002,2015-03-31,82437
290,01002,2015-04-30,82738
291,01002,2015-05-31,82947
292,01002,2015-06-30,83336
293,01002,2015-07-31,83325
294,01002,2015-08-31,84358
295,01002,2015-09-30,85322
296,01002,2015-10-31,85607
297,01002,2015-11-30,86096
298,01002,2015-12-31,85733
299,01002,2016-01-31,85266
300,01002,2016-02-29,85731
301,01002,2016-03-31,86203
302,01002,2016-04-30,86302
303,01002,2016-05-31,86474
304,01002,2016-06-30,86642
305,01002,2016-07-31,86177
306,01002,2016-08-31,86985
307,01002,2016-09-30,87924
308,01002,2016-10-31,88118
309,01002,2016-11-30,88423
310,01002,2016-12-31,87902
311,01002,2017-01-31,87498
312,01002,2017-02-28,87589
313,01002,2017-03-31,87896
314,01002,2017-04-30,88031
315,01002,2017-05-31,88305
316,01002,2017-06-30,88428
317,01002,2017-07-31,88069
318,01002,2017-08-31,88672
319,01002,2017-09-30,89507
320,01002,2017-10-31,89816
321,01002,2017-11-30,90127
322,01002,2017-12-31,89724
323,01002,2018-01-31,89176
324,01002,2018-02-28,89324
325,01002,2018-03-31,89629
326,01002,2018-04-30,89975
327,01002,2018-05-31,90316
328,01002,2018-06-30,90376
329,01002,2018-07-31,90176
330,01002,2018-08-31,90866
331,01002,2018-09-30,91423
332,01002,2018-10-31,91609
333,01002,2018-11-30,91942
334,01002,2018-12-31,91547
335,01002,2019-01-31,91048
336,01002,2019-02-28,91207
337,01002,2019-03-31,91339
338,01002,2019-04-30,91788
339,01002,2019-05-31,92036
340,01002,2019-06-30,91908
341,01002,2019-07-31,91737
342,01002,2019-08-31,92597
343,01002,2019-09-30,93334
344,01002,2019-10-31,93476
345,01002,2019-11-30,93626
346,01002,2019-12-31,93171
347,01002,2020-01-31,92777
348,01002,2020-02-29,92808
349,01002,2020-03-31,92924
350,01002,2020-04-30,92331
351,01002,2020-05-31,91964
352,01002,2020-06-30,91929
353,01002,2020-07-31,91561
354,01002,2020-08-31,92625
355,01002,2020-09-30,93312
356,01002,2020-10-31,93767
357,01002,2020-11-30,94095
358,01003,2006-01-31,59263
359,01003,2006-02-28,59150
360,01003,2006-03-31,59396
361,01003,2006-04-30,59812
362,01003,2006-05-31,60221
363,01003,2006-06-30,60235
364,01003,2006-07-31,60250
365,01003,2006-08-31,61051
366,01003,2006-09-30,61491
367,01003,2006-10-31,61611
368,01003,2006-11-30,61499
369,01003,2006-12-31,60832
370,01003,2007-01-31,60485
371,01003,2007-02-28,60410
372,01003,2007-03-31,60683
373,01003,2007-04-30,61030
374,01003,2007-05-31,61265
375,01003,2007-06-30,61332
376,01003,2007-07-31,61340
377,01003,2007-08-31,62265
378,01003,2007-09-30,62712
379,01003,2007-10-31,62906
380,01003,2007-11-30,62872
381,01003,2007-12-31,62288
382,01003,2008-01-31,61889
383,01003,2008-02-29,61849
384,01003,2008-03-31,62089
385,01003,2008-04-30,62353
386,01003,2008-05-31,62666
387,01003,2008-06-30,62728
388,01003,2008-07-31,62586
389,01003,2008-08-31,63432
390,01003,2008-09-30,64114
391,01003,2008-10-31,64299
392,01003,2008-11-30,64045
393,01003,2008-12-31,63400
394,01003,2009-01-31,62825
395,01003,2009-02-28,62492
396,01003,2009-03-31,62620
397,01003,2009-04-30,62771
398,01003,2009-05-31,62908
399,01003,2009-06-30,63085
400,01003,2009-07-31,62868
401,01003,2009-08-31,63689
402,01003,2009-09-30,64311
403,01003,2009-10-31,64307
404,01003,2009-11-30,64363
405,01003,2009-12-31,63817
406,01003,2010-01-31,63311
407,01003,2010-02-28,63187
408,01003,2010-03-31,63590
409,01003,2010-04-30,64044
410,01003,2010-05-31,64451
411,01003,2010-06-30,64659
412,01003,2010-07-31,64614
413,01003,2010-08-31,65651
414,01003,2010-09-30,66252
415,01003,2010-10-31,66134
416,01003,2010-11-30,66165
417,01003,2010-12-31,65602
418,01003,2011-01-31,65062
419,01003,2011-02-28,65239
420,01003,2011-03-31,65436
421,01003,2011-04-30,66050
422,01003,2011-05-31,66419
423,01003,2011-06-30,66630
424,01003,2011-07-31,66601
425,01003,2011-08-31,67834
426,01003,2011-09-30,68571
427,01003,2011-10-31,68709
428,01003,2011-11-30,68730
429,01003,2011-12-31,67988
430,01003,2012-01-31,67536
431,01003,2012-02-29,67442
432,01003,2012-03-31,67885
433,01003,2012-04-30,68340
434,01003,2012-05-31,68810
435,01003,2012-06-30,68714
436,01003,2012-07-31,68888
437,01003,2012-08-31,69798
438,01003,2012-09-30,70264
439,01003,2012-10-31,70488
440,01003,2012-11-30,70473
441,01003,2012-12-31,69715
442,01003,2013-01-31,69237
443,01003,2013-02-28,69240
444,01003,2013-03-31,69357
