,ags5,time_stamp,value
185,01002,2006-07-31,100449
186,01002,2006-08-31,101708
187,01002,2006-09-30,102662
188,01002,2006-10-31,102855
189,01002,2006-11-30,102861
190,01002,2006-12-31,102296
191,01002,2007-01-31,101903
192,01002,2007-02-28,102002
193,01002,2007-03-31,102137
194,01002,2007-04-30,102199
195,01002,2007-05-31,102384
196,01002,2007-06-30,102262
197,01002,2007-07-31,101983
198,01002,2007-08-31,103494
199,01002,2007-09-30,104597
200,01002,2007-10-31,105402
201,01002,2007-11-30,105450
202,01002,2007-12-31,105007
203,01002,2008-01-31,104230
204,01002,2008-02-29,104155
205,01002,2008-03-31,104120
206,01002,2008-04-30,104339
207,01002,2008-05-31,104667
208,01002,2008-06-30,104805
209,01002,2008-07-31,104425
210,01002,2008-08-31,105346
211,01002,2008-09-30,106624
212,01002,2008-10-31,107110
213,01002,2008-11-30,107268
214,01002,2008-12-31,106573
215,01002,2009-01-31,104752
216,01002,2009-02-28,104407
217,01002,2009-03-31,104430
218,01002,2009-04-30,104553
219,01002,2009-05-31,104541
220,01002,2009-06-30,104369
221,01002,2009-07-31,103420
222,01002,2009-08-31,104286
223,01002,2009-09-30,105375
224,01002,2009-10-31,105638
225,01002,2009-11-30,105709
226,01002,2009-12-31,105071
227,01002,2010-01-31,104288
228,01002,2010-02-28,104106
229,01002,2010-03-31,104388
230,01002,2010-04-30,104653
231,01002,2010-05-31,104685
232,01002,2010-06-30,104715
233,01002,2010-07-31,104306
234,01002,2010-08-31,105186
235,01002,2010-09-30,106498
236,01002,2010-10-31,106815
237,01002,2010-11-30,107027
238,01002,2010-12-31,106468
239,01002,2011-01-31,105807
240,01002,2011-02-28,105734
241,01002,2011-03-31,106049
242,01002,2011-04-30,106244
243,01002,2011-05-31,106776
244,01002,2011-06-30,106682
245,01002,2011-07-31,106789
246,01002,2011-08-31,108062
247,01002,2011-09-30,109138
248,01002,2011-10-31,109662
249,01002,2011-11-30,109395
250,01002,2011-12-31,109053
251,01002,2012-01-31,108840
252,01002,2012-02-29,109083
253,01002,2012-03-31,109278
254,01002,2012-04-30,109610
255,01002,2012-05-31,109860
256,01002,2012-06-30,109568
257,01002,2012-07-31,109501
258,01002,2012-08-31,110567
259,01002,2012-09-30,111508
260,01002,2012-10-31,112070
261,01002,2012-11-30,112123
262,01002,2012-12-31,111406
263,01002,2013-01-31,110379
264,01002,2013-02-28,110363
265,01002,2013-03-31,110344
266,01002,2013-04-30,110667
267,01002,2013-05-31,110760
268,01002,2013-06-30,110448
269,01002,2013-07-31,110403
270,01002,2013-08-31,111559
271,01002,2013-09-30,112773
272,01002,2013-10-31,112690
273,01002,2013-11-30,112712
274,01002,2013-12-31,112156
275,01002,2014-01-31,113785
276,01002,2014-02-28,114002
277,01002,2014-03-31,114319
278,01002,2014-04-30,114903
