,kreis,ags5,cluster
113,Siegen-Wittgenstein,5970,0
114,Soest,5974,3
115,Unna,5978,0
116,Kreisfreie Stadt Darmstadt,6411,0
117,Kreisfreie Stadt Frankfurt am Main,6412,0
118,Kreisfreie Stadt Offenbach am Main,6413,0
119,Landeshauptstadt Wiesbaden,6414,0
120,Bergstraße,6431,0
121,Darmstadt-Dieburg,6432,0
122,Groß-Gerau,6433,0
