,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2010-01-01,7.31685076710447,7.512683163373154,7.774350972245729,7.31685076710447,7.31685076710447,0.3175870846837542,0.3175870846837542,0.3175870846837542,0.3175870846837542,0.3175870846837542,0.3175870846837542,0.0,0.0,0.0,7.634437851788224
1,2010-02-01,7.232656682120019,7.380623103351724,7.65472242269134,7.232656682120019,7.232656682120019,0.29003363857319,0.29003363857319,0.29003363857319,0.29003363857319,0.29003363857319,0.29003363857319,0.0,0.0,0.0,7.522690320693209
2,2010-03-01,7.156610411811481,7.179236637827919,7.446365820979377,7.156610411811481,7.156610411811481,0.16027878828356812,0.16027878828356812,0.16027878828356812,0.16027878828356812,0.16027878828356812,0.16027878828356812,0.0,0.0,0.0,7.316889200095049
3,2010-04-01,7.072416326827029,7.0154057052604974,7.284877330551312,7.072416326827029,7.072416326827029,0.07786963157923231,0.07786963157923231,0.07786963157923231,0.07786963157923231,0.07786963157923231,0.07786963157923231,0.0,0.0,0.0,7.150285958406261
4,2010-05-01,6.990938180076055,6.865756010080516,7.145554970157987,6.990938180076055,6.990938180076055,0.01494196340215656,0.01494196340215656,0.01494196340215656,0.01494196340215656,0.01494196340215656,0.01494196340215656,0.0,0.0,0.0,7.005880143478212
5,2010-06-01,6.90674409510005,6.71567733348013,7.002036342190415,6.90674409510005,6.90674409510005,-0.057285091400997454,-0.057285091400997454,-0.057285091400997454,-0.057285091400997454,-0.057285091400997454,-0.057285091400997454,0.0,0.0,0.0,6.849459003699053
6,2010-07-01,6.8252659483490765,6.840631079925,7.110151179324187,6.8252659483490765,6.8252659483490765,0.14997815575527523,0.14997815575527523,0.14997815575527523,0.14997815575527523,0.14997815575527523,0.14997815575527523,0.0,0.0,0.0,6.975244104104352
7,2010-08-01,6.741071863373071,6.750494085665538,7.009707329536903,6.741071863373071,6.741071863373071,0.13776831272532114,0.13776831272532114,0.13776831272532114,0.13776831272532114,0.13776831272532114,0.13776831272532114,0.0,0.0,0.0,6.878840176098392
8,2010-09-01,6.6568777790320715,6.478706395050178,6.751372668342566,6.6568777790320715,6.6568777790320715,-0.04429331951464489,-0.04429331951464489,-0.04429331951464489,-0.04429331951464489,-0.04429331951464489,-0.04429331951464489,0.0,0.0,0.0,6.612584459517427
9,2010-10-01,6.575399632895621,6.245572706592657,6.513870757408192,6.575399632895621,6.575399632895621,-0.18872680783285173,-0.18872680783285173,-0.18872680783285173,-0.18872680783285173,-0.18872680783285173,-0.18872680783285173,0.0,0.0,0.0,6.386672825062769
10,2010-11-01,6.491205548554622,6.183881384149048,6.44726150590097,6.491205548554622,6.491205548554622,-0.1839187669810635,-0.1839187669810635,-0.1839187669810635,-0.1839187669810635,-0.1839187669810635,-0.1839187669810635,0.0,0.0,0.0,6.307286781573558
11,2010-12-01,6.409727640751677,6.118030196365457,6.403458877452326,6.409727640751677,6.409727640751677,-0.14451980240398205,-0.14451980240398205,-0.14451980240398205,-0.14451980240398205,-0.14451980240398205,-0.14451980240398205,0.0,0.0,0.0,6.265207838347695
12,2011-01-01,6.325533802688633,6.505820409008379,6.788510862735418,6.325533802688633,6.325533802688633,0.32134773087226515,0.32134773087226515,0.32134773087226515,0.32134773087226515,0.32134773087226515,0.32134773087226515,0.0,0.0,0.0,6.646881533560898
13,2011-02-01,6.241339964625589,6.308678677904833,6.5919758283641485,6.241339964625589,6.241339964625589,0.20468015958515218,0.20468015958515218,0.20468015958515218,0.20468015958515218,0.20468015958515218,0.20468015958515218,0.0,0.0,0.0,6.446020124210741
14,2011-03-01,6.165293917342841,6.2351468158745265,6.514490640505167,6.165293917342841,6.165293917342841,0.20768522597782382,0.20768522597782382,0.20768522597782382,0.20768522597782382,0.20768522597782382,0.20768522597782382,0.0,0.0,0.0,6.372979143320665
15,2011-04-01,6.081102307788335,6.098602148035152,6.374065025434667,6.081102307788335,6.081102307788335,0.1544367528667315,0.1544367528667315,0.1544367528667315,0.1544367528667315,0.1544367528667315,0.1544367528667315,0.0,0.0,0.0,6.235539060655066
16,2011-05-01,5.999626556606556,5.842602330205949,6.117394695889734,5.999626556606556,5.999626556606556,-0.026263552788851893,-0.026263552788851893,-0.026263552788851893,-0.026263552788851893,-0.026263552788851893,-0.026263552788851893,0.0,0.0,0.0,5.9733630038177035
17,2011-06-01,5.91543494705205,5.696931038603589,5.964667445593022,5.91543494705205,5.91543494705205,-0.08427623974342656,-0.08427623974342656,-0.08427623974342656,-0.08427623974342656,-0.08427623974342656,-0.08427623974342656,0.0,0.0,0.0,5.8311587073086235
18,2011-07-01,5.849692653972638,5.85374626462245,6.116828454331824,5.849692653972638,5.849692653972638,0.1385563011510925,0.1385563011510925,0.1385563011510925,0.1385563011510925,0.1385563011510925,0.1385563011510925,0.0,0.0,0.0,5.988248955123731
19,2011-08-01,5.781758951123912,5.782652418362365,6.069805801054117,5.781758951123912,5.781758951123912,0.14508252241544822,0.14508252241544822,0.14508252241544822,0.14508252241544822,0.14508252241544822,0.14508252241544822,0.0,0.0,0.0,5.92684147353936
20,2011-09-01,5.713825248275186,5.546356392883313,5.819588298152918,5.713825248275186,5.713825248275186,-0.02645072064655644,-0.02645072064655644,-0.02645072064655644,-0.02645072064655644,-0.02645072064655644,-0.02645072064655644,0.0,0.0,0.0,5.68737452762863
