cluster,kreis,ags5,ags2,supermarkets_population,supermarkets_average_distance,public_transport_availability,average_distance_bus_stop,average_distance_train_station,average_distance_public_transport,Unnamed:_0,number_of_students,number_of_hospitals,number_of_hospital_beds,number_of_hospital_beds_adj,hospital_patiants,households_of_1_person,households_of_2_person,households_of_3_person,households_of_4_person,households_of_5_person_or_more,household_with_kids,household_with_kids_under_3,household_with_kids_over_3_under_6,household_with_kids_over_6_under_10,household_with_kids_over_10_under_15,household_with_kids_over_15_under_18,household_with_double_income_no_kids,car_density,no_of_paths_per_person_and_day,kilometers_per_person_and_day,_percentage_out_of_home,share_of_journeys_on_foot,share_of_journeys_on_bike,proportion_of_motorised_vehicle_passenger,share_of_motorised_vehicle_driver,share_of_public_transport_,public_transport_per_1000_inhabitants,activity_index,municipal_dept_per_capita,municipal_tax_per_capita,municipal_tax_per_capita.1,no_of_births_in_2018,2018_population,2019_population,2018_men_population,2018_women_population,2018_population_under_3_yrs,2018_population_3_to_6,2018_population_6_to_10,2018_population_10_to_15,2018_population_15_to_18,2018_population_18_to_20,2018_population_20_to_25,2018_population_25_to_30,2018_population_30_to_35,2018_population_35_to_40,2018_population_40_to_45,2018_population_45_to_50,2018_population_50_to_55,2018_population_55_to_60,2018_population_60_to_65,2018_population_65_to_75,2018_population_above_75,2019_population_under_5,2019_population_5_to_15,2019_population_15_to_35,2019_population_35_to_60,2019_population_60_to_80,2019_population_above_80,no_of_foreigners_2018,proportion_of_foreigners_in_2018,no_of_births_per_capita,Number_of_Commuters_place_of_work,Number_of_Commuters_on_place_of_residence),Commuter_Balance,Proportion_of_in_commuters,Share_of_out_commuters,Relative_Commuter_Balance,Commute_within_50km,Commute_within_150km,Commute_within_300km,number_accomodation_establishments,number_of_beds,number_of_guests,guests_staying_overnight,number_of_companies,number_of_companies_agriculture,number_of_companies_mining,number_of_companies_manufacturing,number_of_companies_energy,number_of_companies_water_and_sewage,number_of_companies_construction,number_of_companies_repair_motor_vehicles,number_of_companies_transport,number_of_companies_hospitality,number_of_companies_communication,number_of_companies_financial_and_insurance,number_of_companies_real_estat,number_of_companies_technical_services,number_of_companies_economic_services,number_of_companies_administration,number_of_companies_education,number_of_companies_health_and_social_services,number_of_companies_arts_entertainment,number_of_companies_rendering_other_services,number_of_companies_domestic_staff,number_of_companies_extraterritorial,number_of_companies_1_to_4_employees,number_of_companies_5_to_49_employees,number_of_companies_50_to_400_employees,number_of_companies_500_or_more_employees,no_of_hairdressers,no_of_restraunts,no_of_branches,no_of_commertial_units,no_of_shopping_malls,no_of_clubs,no_of_slaughterhouse,no_of_education_centers,no_of_shopping,no_of_free_time,no_of_tourism_points,no_of_food_and_drink,no_of_public_institution,no_of_traffic_centers,no_of_health_centers,no_of_business,total_area,Residential_area_percentage,industrial_/_commertial_area_percentage,dump_area_percentage,mining_area_percentage,"open_pit,_mine,_quarry_area_percentage",mixed_use_area_percentage,special_functional_character_land_percentage,"sport,_leisure,_recreation_area_percentage",cemetry_area_percentage,road_area_percentage,space_area_percentage,rail_traffic_area_percentage,air_traffic_area_percentage,shipping_area_percentage,agri_area_percentage,forrest_area_percentage,wood_area_percentage,health_area_percentage,moor_area_percentage,swamp_area_percentage,without_vegetation_area_percentage,flowing_water_percentage,harbor_basin_percentage,standing_water_percentage,sea_percentage,median_income,purchasing_power_per_household,purchasing_power_per_person,debtor_quota,household_in_income_calss_1,household_in_income_calss_2,household_in_income_calss_3,household_in_income_calss_4,household_in_income_calss_5,household_in_income_calss_6,Unnamed: 0_y,labor_market_region,growing_/_shrinking_circles,labor_market_type,grw_funding_framework,settlement_structure_type_of_labor_market_region,room_type_location,district_settlement_structure,type_of_settlement_structure,urban_/_rural,metropolitan_region,metropolitan_area,east_west,border_proximity,Unnamed: 0,support_area_status,eligible_area
0,Potsdam,12054,12,89,540,65,351,2039,324,328,22968,7,1579,8.9,38194,45392,26100,10159,8910,2679,22011,4049,3750,4930,5624,2911,9215,376,3.20076,38.1219,85.2,26.4,14.3,10.2,32.8,16.4,524.9246400000001,69.306821902,410.0,807.4,79.1,1970,178089,180334,86179,91910,6052,5611,7230,8141,4353,3142,9059,12612,15028,13952,11944,11282,12432,12336,9851,15463,19601,9749,17679,44577,62572,33986,11771,14936,8.39,0.0110618847879431,49621,35557,14064,58.8,49.1,19.3,8.4,6.1,4.3,58,6086,550173,1277928,9413,39,5,294,65,28,550,1098,157,386,459,470,385,1499,641,95,305,780,274,1597,0,2,4819,2113,190,19,160,202,431,10477,16,559,0,192,1068,96,83,226,48,118,577,1649,147.9,7.39,4.81,0.0,0.0,0.24,1.41,0.94,3.48,0.24,0.57,0.47,0.34,0.02,0.03,42.48,28.74,1.75,0.0,0.0,0.25,3.5,1.11,0.04,2.17,0.0,2979,38758,20445,8.8,5487,17692,29458,18024,12225,11050,328,206,5,10,2,2,1,1,3,1,2,99,2,0,328,C*,1
0,Barnim,12060,12,66,1262,42,405,2332,390,329,17722,5,1175,6.4,47083,26576,43354,12087,6553,1325,19579,2986,3186,4482,5053,2929,12222,539,3.03761,42.8732,84.2,21.5,11.2,13.5,42.6,11.3,343.24993,73.10359693699999,232.8,595.7,35.7,1435,182760,185244,90615,92145,4700,4964,7029,8228,4506,2937,5965,7001,11060,11978,10954,12019,15954,17711,14570,20346,22838,8123,17505,31663,68626,46209,13118,7588,4.15,0.0078518275333771,17354,41346,23992,65.2,76.3,-46.7,14.1,5.2,3.9,91,6175,261933,905925,8950,173,5,407,54,38,970,1313,243,372,145,347,277,863,559,136,227,600,228,1703,0,0,4645,1874,102,9,161,183,466,10055,4,736,4,142,1244,132,83,185,48,221,509,1837,188.3,9.64,3.4,0.03,0.0,0.18,4.95,3.12,6.02,0.35,0.47,0.3,0.4,0.0,0.01,28.65,26.43,2.32,0.93,0.0,1.65,1.34,1.6,0.0,8.22,0.0,2402,42694,21008,9.5,16906,20644,18200,11396,10689,12075,329,209,4,12,3,2,2,3,3,2,2,99,2,1,329,C**,1
0,Dahme-Spreewald,12061,12,59,1658,42,470,2391,458,330,16284,4,1009,6.0,44949,22948,40776,11526,5708,1279,17251,2796,2924,3761,4310,2534,11310,554,3.06878,43.3168,82.7,18.7,11.3,13.6,45.1,11.3,346.77214,73.288590867,459.7,1511.4,51.5,1363,169067,170791,83943,85124,4568,4635,6174,7251,4182,2763,5599,6770,10174,11242,9940,11473,15010,15732,12891,18021,22642,7792,15413,29550,63166,41403,13467,7813,4.62,0.0080618926224514,31140,38291,7151,79.0,80.8,-11.4,15.5,6.1,4.7,169,10128,840874,1813163,9603,214,6,450,56,43,1036,1459,289,478,155,500,483,1128,555,150,247,596,194,1267,1,0,5184,2053,168,10,173,202,521,10620,2,320,5,154,1214,177,165,216,57,200,445,1888,1479.6,4.95,1.74,0.01,0.0,0.14,0.95,0.33,1.15,0.11,0.15,0.05,0.06,0.3,0.01,33.85,48.55,0.81,0.37,0.0,0.78,1.7,0.34,0.0,3.62,0.0,2518,43842,21400,9.4,12859,15099,21869,12592,9190,10891,330,210,5,11,2,3,2,4,3,2,2,99,2,0,330,C*,1
0,Elbe-Elster,12062,12,56,1792,37,468,2878,453,331,8993,1,465,4.5,30657,16247,26235,6041,3331,464,9290,1398,1439,1964,2510,1433,6789,577,2.94616,42.4679,81.8,17.7,14.8,13.5,47.3,6.8,200.33888,68.230595147,537.2,482.6,42.2,766,102638,101827,50832,51806,2354,2314,3132,4183,2426,1435,2684,3646,5660,5803,5286,6857,8817,10145,9194,12902,15800,3927,8011,15411,36060,29105,9313,3046,2.97,0.0074631228200081,6708,13343,6635,64.9,71.0,-20.1,18.2,5.4,3.7,60,1830,58645,238070,6192,198,9,411,26,20,688,1093,144,301,44,257,84,544,335,123,177,450,167,966,0,0,3505,1199,91,2,134,156,357,6788,2,251,14,115,1091,23,53,147,38,150,354,1240,2274.5,3.01,1.23,0.0,0.0,0.1,1.51,0.14,0.85,0.06,0.15,0.06,0.06,0.67,0.02,37.34,47.62,0.89,0.53,0.01,0.68,1.54,0.2,0.0,3.31,0.0,2215,38402,19601,9.0,11700,9028,22646,4999,2703,1302,331,211,1,11,2,3,4,4,3,2,2,99,2,0,331,C*,1
0,Havelland,12063,12,64,1506,38,481,2455,461,332,16813,1,482,3.0,41651,21148,36452,12850,5995,985,19400,2777,3108,4278,4961,3075,10753,536,2.95017,39.4943,84.3,17.8,11.6,14.5,44.2,12.0,354.0204,65.481373255,506.4,608.5,35.9,1185,161909,162996,80121,81788,4057,4508,6203,7495,4551,3145,5892,6375,9309,10092,9623,11283,15694,15377,12044,16866,19395,7081,15601,28998,61772,38564,10980,7143,4.41,0.0073189260634059,14905,35879,20974,67.1,77.6,-47.0,13.5,5.4,3.7,68,2198,121081,259953,7469,204,4,372,24,31,815,1175,196,309,131,328,228,700,493,120,215,537,192,1134,0,0,3939,1566,91,7,154,133,421,8372,3,322,5,143,1018,135,73,155,60,150,375,1491,1899.6,1.49,1.36,0.01,0.0,0.22,2.78,0.2,0.46,0.06,0.03,0.01,0.13,0.36,0.0,51.15,37.67,0.93,0.6,0.0,0.06,1.27,0.14,0.0,1.05,0.0,2227,43354,20781,10.3,15184,13763,17721,10186,9073,11650,332,206,5,11,2,2,2,4,3,2,2,99,2,0,332,C*,1
0,Märkisch-Oderland,12064,12,61,1611,54,569,2667,518,333,18066,2,666,3.4,51495,26456,48266,13087,6190,1396,19314,2891,3216,4370,4928,2918,13312,554,2.98924,43.4482,83.2,20.4,8.1,12.9,46.0,12.5,373.655,72.038496673,368.0,597.5,33.5,1439,194328,195751,96483,97845,4844,5255,7311,8522,4841,2975,5446,6654,11266,12910,11587,12716,17375,20000,16243,21386,24997,8400,18176,30929,73913,49139,15194,6123,3.15,0.007405005969289,19212,44890,25678,74.4,82.9,-50.0,14.4,5.1,3.8,101,4696,200149,767318,10074,273,4,483,46,59,1142,1450,268,334,161,431,258,967,613,155,282,657,265,1916,2,0,5404,2143,114,8,196,147,481,11284,2,783,6,167,1382,152,92,180,66,228,577,2142,1727.3,3.47,1.49,0.02,0.0,0.06,1.33,0.18,0.73,0.07,0.11,0.04,0.15,0.06,0.01,57.69,28.58,0.97,0.76,0.0,0.82,1.55,0.65,0.0,1.26,0.0,2408,42707,20999,9.8,16362,20980,23747,12603,10626,11188,333,208,3,11,3,3,2,4,3,2,2,99,2,1,333,C**,1
0,Oberhavel,12065,12,68,1265,50,497,2166,455,334,21086,4,1123,5.3,51191,30582,51264,13990,7511,1188,22650,3285,3685,4935,5949,3762,14636,539,3.10375,41.5866,83.3,21.9,10.5,12.7,43.9,11.0,341.4125,71.679322215,139.8,837.2,51.0,1641,211249,212914,104111,107138,5332,5859,7907,9803,5879,3783,7339,7970,12275,13582,12594,14673,20020,20033,15926,22220,26054,9232,19978,37125,80715,50607,15257,8306,3.93,0.0077680841092738,19532,47233,27701,67.4,78.2,-48.8,12.7,5.2,4.0,106,3878,227295,496843,9729,192,6,475,46,35,1117,1566,234,414,173,423,279,999,659,155,256,696,202,1513,0,1,5363,2042,118,8,207,209,507,10895,6,354,6,156,1375,145,75,233,55,215,579,2120,2158.7,4.17,1.57,0.01,0.0,0.21,1.15,0.28,0.79,0.08,0.07,0.04,0.07,0.24,0.0,60.73,25.19,1.23,0.14,0.02,0.34,1.62,0.63,0.0,1.4,0.0,2591,44212,21891,9.6,17391,18168,26338,14737,11976,15967,334,212,5,11,2,3,2,4,3,2,2,99,2,0,334,C*,1
0,Oberspreewald-Lausitz,12066,12,69,1272,37,406,2688,392,335,9037,1,513,4.6,32930,21833,25316,5673,4487,593,10634,1592,1676,2332,2700,1518,6922,548,3.03337,36.584,82.6,21.0,12.5,13.1,46.7,6.8,206.26916,61.109026316000005,528.6,576.4,60.8,768,110476,109371,54307,56169,2599,2579,3508,4220,2415,1604,3155,4159,6395,6430,5805,7053,9221,10509,9196,13886,17742,4238,8622,17129,38143,30911,10328,3884,3.52,0.0069517361236829,14698,16452,1754,67.5,68.5,-3.1,17.6,6.6,3.9,96,4384,272848,765615,5487,106,6,344,32,28,527,907,122,345,57,209,88,542,302,122,156,432,141,872,0,0,2960,1041,100,6,119,149,388,6045,1,240,14,120,972,32,100,174,32,153,332,1083,1808.2,4.54,1.32,0.01,0.0,0.09,1.11,0.22,0.73,0.07,0.14,0.05,0.09,0.02,0.01,42.0,43.17,0.91,0.24,0.14,0.59,1.81,0.37,0.0,2.39,0.0,2490,38429,20141,9.5,12977,12278,22253,4920,3382,2080,335,207,1,11,2,3,3,4,3,2,2,99,2,0,335,C*,1
0,Oder-Spree,12067,12,59,1740,39,509,2784,474,336,17557,7,1375,7.7,57336,31977,44227,9346,6042,1110,16424,2608,2655,3630,4167,2525,11827,557,3.07975,40.1737,83.2,20.5,14.3,12.5,43.2,9.6,295.656,68.626107028,1135.6,590.5,44.4,1431,178658,178803,87681,90977,4522,4456,6255,7410,4445,2778,5385,6243,10144,10889,9899,11255,15516,17200,15083,21397,25781,7515,15555,28289,63809,48239,15396,7487,4.19,0.008009716889252,16730,30960,14230,64.6,71.0,-24.1,17.2,4.7,3.3,131,9090,437844,1332397,9517,212,7,457,54,47,950,1414,283,450,129,386,215,819,531,175,289,698,288,1821,0,0,5016,1940,134,9,233,180,511,10738,6,835,10,170,1266,128,110,246,63,204,537,1868,1223.1,2.54,1.79,0.02,0.0,0.43,2.41,0.17,1.46,0.1,0.22,0.12,0.17,0.25,0.0,33.16,43.58,3.38,0.21,0.0,0.33,3.84,0.09,0.0,5.76,0.0,2532,40350,20991,9.5,19048,19615,26742,12000,8332,7175,336,208,2,11,3,3,3,4,3,2,2,99,2,1,336,C**,1
0,Ostprignitz-Ruppin,12068,12,54,2604,36,365,3391,361,337,9405,2,1144,11.5,29792,19417,24544,4853,3372,489,8673,1312,1428,1890,2282,1316,6609,532,3.10186,37.1116,85.1,20.7,19.8,12.6,41.5,5.4,167.50044,65.308569618,824.3,587.5,46.8,704,99078,98861,49331,49747,2389,2478,3330,4039,2391,1645,3033,3837,5950,5996,5236,6174,8534,9915,8997,11717,13417,4008,8332,16463,35118,26968,7972,3552,3.59,0.0071055128282767,7470,10709,3239,53.6,57.4,-8.4,19.7,5.5,3.0,124,6621,332376,1083625,6036,275,3,321,41,30,587,913,111,347,56,212,134,741,333,125,152,458,135,903,1,0,3120,1172,79,5,132,149,304,6429,2,226,5,97,827,91,118,153,84,130,306,1128,2256.8,3.29,1.59,0.01,0.0,0.05,1.07,0.29,0.92,0.07,0.12,0.04,0.1,0.03,0.01,36.54,50.33,0.48,0.22,0.12,0.37,1.2,0.56,0.0,2.61,0.0,2310,36733,19529,12.5,12513,14425,13616,5542,3889,2665,337,213,3,11,2,3,4,4,3,2,2,99,2,0,337,C*,1
0,Potsdam-Mittelmark,12069,12,62,1599,42,554,2975,545,338,21150,5,702,3.3,49820,22191,44756,20502,7914,1785,28079,3827,4264,6167,7513,4398,13093,548,3.1093,41.8244,86.1,19.1,11.3,12.4,44.7,12.5,388.6625,74.645604372,423.7,703.8,39.9,1583,214664,216566,106258,108406,5400,5922,8563,10787,6251,3951,6660,7180,11591,13466,13362,15377,20363,20840,16858,22659,25434,9383,21670,35604,83103,51963,14843,9006,4.2,0.0073743152088845,30497,55461,24964,74.3,81.6,-39.2,14.8,6.0,4.2,142,7625,448660,1311098,11917,338,12,597,50,61,1355,1721,256,494,254,495,446,1365,780,179,309,759,276,1788,1,0,6486,2473,136,7,197,224,456,13122,1,441,13,228,1497,163,117,267,106,247,596,2195,2526.6,1.9,1.11,0.0,0.0,0.04,0.88,0.14,0.57,0.06,0.09,0.03,0.05,0.08,0.0,54.49,34.13,1.09,1.84,0.01,0.38,0.77,0.08,0.0,2.27,0.0,2479,51347,23349,7.6,8034,16268,27052,14074,12266,19891,338,206,4,10,2,2,2,3,3,2,2,99,2,0,338,C*,1
0,Prignitz,12070,12,59,2229,36,416,2960,410,339,6261,1,362,4.7,27396,21115,20035,2865,1516,119,4328,627,678,909,1114,738,4755,539,3.02864,37.5878,83.3,19.3,10.3,13.8,49.9,6.8,205.94752,63.219099237,410.1,554.4,44.4,500,76508,76158,37977,38531,1716,1742,2338,2923,1742,1235,2358,2946,4431,4106,3572,4658,6536,7880,6832,9571,11922,2916,5866,12422,26281,21588,7085,3157,4.13,0.0065352642860877,5475,7602,2127,58.5,61.7,-8.4,17.6,9.1,2.9,79,2687,126828,275513,4519,239,4,253,38,32,468,737,97,256,32,221,83,393,231,75,112,353,93,661,0,0,2492,903,73,6,89,126,268,5012,1,145,4,95,709,73,65,132,23,87,265,890,2592.1,2.74,1.42,0.0,0.0,0.1,1.86,0.26,0.77,0.12,0.19,0.05,0.09,0.06,0.0,44.98,42.27,1.18,0.69,0.0,0.7,0.56,0.47,0.0,1.5,0.0,2239,33332,19904,11.5,17359,9295,12512,3234,2014,1270,339,214,2,11,2,3,4,4,3,2,2,99,2,0,339,C*,1
0,Spree-Neiße,12071,12,53,1900,37,406,3254,402,340,9073,3,499,4.4,33689,20312,27760,6364,4140,562,10137,1439,1644,2217,2718,1448,7142,580,3.00417,39.032,82.1,17.8,9.8,15.4,49.2,7.8,234.32526,64.179629856,1229.6,573.3,59.6,794,114429,113720,56269,58160,2532,2676,3650,4591,2598,1675,2733,3599,5826,6461,5785,7430,10197,12097,10763,14684,17132,4292,9284,15920,40956,33381,9887,3806,3.33,0.0069388004788995,14144,21624,7480,61.9,68.6,-21.3,14.4,6.7,3.8,114,4713,273165,789362,6192,163,6,409,26,34,770,1009,158,400,64,275,105,469,334,140,165,423,164,897,0,0,3543,1150,83,2,140,164,318,6882,0,256,17,123,1015,29,100,191,34,169,347,1333,2138.6,2.07,1.05,0.0,0.0,0.08,1.02,0.09,0.41,0.07,0.07,0.02,0.07,0.06,0.0,67.39,24.57,0.6,0.32,0.0,0.19,0.87,0.7,0.0,0.37,0.0,2532,40511,20936,9.5,11590,13666,20835,6005,4137,2886,340,207,2,11,3,3,4,3,3,2,2,99,2,1,340,C**,1
0,Teltow-Fläming,12072,12,62,1567,39,416,2295,411,341,15752,2,503,3.0,42013,24301,36158,13206,6538,1135,20037,3182,3233,4317,4960,2995,10692,547,3.03878,41.2444,84.0,19.0,9.4,13.1,48.1,10.5,319.0719,70.186288386,800.1,935.6,56.8,1521,168296,169997,83842,84454,4669,4649,6189,7526,4449,2884,6080,7116,11027,11331,9943,11354,15279,15641,12344,17260,20555,7911,15690,31536,63541,39370,11949,8836,5.25,0.0090376479536055,30234,37250,7016,71.6,75.0,-13.1,13.5,4.7,3.6,96,4422,260118,576450,10075,211,3,497,81,47,1122,1511,315,376,165,519,728,1264,588,124,229,523,202,1312,0,0,5548,2253,145,10,160,166,470,11026,1,316,11,136,1217,126,103,203,55,203,403,1662,1657.0,2.01,2.13,0.0,0.0,2.49,3.14,0.11,0.82,0.09,0.12,0.04,0.16,0.18,0.0,33.63,46.46,1.74,1.18,0.02,0.19,3.37,0.13,0.0,1.98,0.0,2441,42346,20501,10.5,13126,19908,20896,10451,8208,8857,341,210,5,10,2,3,2,4,3,2,2,99,2,0,341,C*,1
0,Uckermark,12073,12,60,2034,34,437,3468,433,342,11371,5,731,6.1,40290,25822,27436,5654,4451,785,11038,1571,1764,2354,2978,1732,6989,531,3.04443,38.902,84.0,22.4,13.0,13.6,41.7,9.3,283.13199,66.323272882,704.2,550.8,45.6,846,119552,118947,58670,60882,2674,2893,3867,4947,2909,1765,3501,4420,6516,6655,6085,7238,10170,12136,10827,15132,17817,4498,9841,18718,41226,34151,10513,5047,4.22,0.0070764186295503,6230,10300,4070,50.2,54.4,-9.7,20.2,6.1,4.4,142,6569,339803,1012548,6595,270,7,306,147,30,518,970,152,338,82,256,98,478,345,132,168,521,198,1415,1,0,3381,1288,83,2,121,135,329,7449,3,762,5,137,899,95,115,149,40,160,361,1188,2104.2,2.11,1.62,0.01,0.0,0.05,1.96,0.64,0.67,0.07,0.14,0.03,0.1,0.32,0.0,45.64,40.49,1.83,2.43,0.0,0.39,0.52,0.01,0.0,0.96,0.0,2334,35578,19090,10.4,15514,17510,18871,6262,3839,2126,342,215,2,12,3,3,4,4,3,2,2,99,2,1,342,C**,1
0,"Rostock, Hansestadt",13003,13,95,387,67,347,1437,274,343,19223,6,1514,7.2,41938,60888,35530,11279,7195,2615,24115,4411,4159,5156,5916,3297,12638,368,3.04644,32.6395,85.9,27.6,15.0,11.6,31.5,14.3,435.64092,56.942696752,656.7,675.5,74.6,2042,208886,209191,102911,105975,5727,5383,6577,7457,4279,4246,13615,16064,17657,14325,10879,10893,13899,14876,13184,21049,28776,9235,15928,55404,64828,46670,17126,12982,6.21,0.0097756671102898,34543,23031,11512,37.7,29.3,11.9,13.5,8.8,4.3,113,14958,818282,2139097,9091,26,3,344,45,30,526,1254,214,457,196,464,402,1175,566,117,251,894,241,1593,0,1,4601,1963,196,21,188,200,584,10338,5,708,0,195,1221,136,103,234,45,162,757,1487,3077.0,1.87,1.24,0.02,0.0,0.06,0.91,0.09,0.51,0.06,0.06,0.03,0.06,0.0,0.01,60.39,25.02,1.38,0.42,0.16,1.1,2.49,0.33,0.0,3.77,0.0,2763,33335,18902,10.8,21192,43271,28659,12713,7361,5235,343,216,4,11,2,2,2,1,3,1,99,99,2,0,343,C*,1
0,"Schwerin, Landeshauptstadt",13004,13,92,450,66,376,1612,331,344,10551,2,1420,14.8,27265,27209,17656,4324,3912,931,10887,1852,1863,2358,2790,1633,6012,398,3.16456,35.376999999999995,84.1,27.5,12.6,12.8,33.0,14.1,446.20296,62.768113,2407.6,640.1,88.3,909,95818,95653,46054,49764,2689,2692,3373,3992,2370,1839,4403,5338,6784,6256,5207,5445,6697,7348,6900,10792,13693,4464,8305,20319,30745,23577,8243,8936,9.33,0.0094867352689473,25668,10561,15107,51.4,30.0,30.5,15.8,5.4,2.5,47,2748,209079,362429,5199,11,1,205,39,17,382,758,120,209,105,272,175,706,255,73,152,477,126,943,0,0,2650,1096,107,13,119,115,399,6035,6,359,0,109,720,51,46,125,27,113,361,962,181.4,8.73,7.98,0.02,0.0,0.0,4.22,2.55,8.22,0.42,0.95,1.11,0.51,0.02,1.66,19.4,28.23,2.9,0.05,2.09,1.77,1.83,0.13,0.84,0.44,5.96,2795,34893,19676,13.5,12012,17440,13092,5605,3034,2839,344,217,3,11,2,3,3,3,3,2,99,99,2,0,344,C*,1
0,Mecklenburgische Seenplatte,13071,13,64,2002,31,665,3968,651,345,25066,5,1646,6.4,72485,50511,60220,14365,8809,1819,25002,3612,4041,5454,6687,3889,15420,517,3.08703,39.0944,84.2,22.9,12.2,13.3,43.5,8.1,250.04943,67.744842068,1688.9,549.5,52.2,1914,259130,258074,127108,132022,6048,6558,8893,10975,6530,4145,7877,10446,15533,15468,13927,15416,21427,25707,23522,31321,35337,10211,22258,43430,90073,70766,21336,8244,3.18,0.0073862540037818,13066,16753,3687,56.2,57.5,-4.3,15.7,7.1,3.4,408,44850,1050403,3639281,14413,589,17,669,125,50,1237,2184,368,840,141,764,309,1264,841,282,421,1205,286,2362,1,0,7610,2935,240,11,305,337,880,16063,5,752,10,360,2044,313,269,402,256,308,949,2671,130.5,6.47,5.6,0.0,0.0,0.0,4.87,1.51,5.2,0.45,0.9,0.51,0.14,0.0,0.02,19.31,19.57,1.92,4.35,0.07,1.17,0.07,0.08,0.0,27.79,0.0,2325,37258,19580,10.4,28740,42844,35929,13036,9459,6082,345,218,2,12,2,3,4,4,3,2,99,99,2,0,345,C*,1
0,Landkreis Rostock,13072,13,51,2173,37,821,2858,777,346,19923,5,785,3.6,54761,31223,47084,16921,7643,1580,23801,3447,3892,5291,6031,3398,12018,535,3.13093,38.7256,84.9,26.7,13.0,13.6,40.1,6.6,206.64138,68.62588282899999,1222.6,571.0,39.6,1698,215113,215794,107111,108002,5527,6029,8139,9804,5592,3296,5744,7751,13041,14001,12282,13674,18991,21610,18468,24905,26259,9570,20342,34772,79734,55987,15389,6764,3.14,0.0078935257283381,21737,36615,14878,71.0,76.0,-22.2,14.7,7.6,3.3,359,35919,1151835,5022830,11683,411,6,571,254,39,1169,1782,247,669,122,548,351,1236,675,235,297,799,224,1715,4,0,6266,2501,160,10,236,259,691,12922,2,502,8,283,1662,219,290,265,143,279,649,2322,5495.6,0.44,1.07,0.0,0.0,0.11,2.0,0.15,0.78,0.06,0.05,0.04,0.02,0.07,0.0,58.22,26.22,0.62,0.13,0.39,1.75,0.11,0.09,0.0,7.67,0.0,2239,43022,20888,9.9,16794,23603,28905,14424,11793,8879,346,216,3,11,2,2,4,4,3,2,99,99,2,0,346,C*,1
0,Vorpommern-Rügen,13073,13,68,1535,33,589,3246,558,347,20049,5,1135,5.1,59549,49410,52727,11843,6525,1593,19298,2799,3120,4421,5061,2916,13145,498,3.10984,37.935,83.7,22.7,13.8,12.8,44.0,6.8,211.46912000000003,65.828253463,1562.2,531.6,46.4,1571,224684,224702,110477,114207,5097,5465,7772,9254,5218,3491,7257,9276,13551,13861,12129,13434,18846,22096,19520,27087,31330,8587,18929,38091,79407,60983,18705,9376,4.17,0.0069920421569849,8968,18169,9201,57.4,62.1,-13.4,15.4,8.4,4.7,925,91770,2229504,10024917,12868,377,6,509,118,53,1069,1788,276,1406,121,556,400,1044,838,251,346,918,304,2064,0,0,6912,2575,157,9,261,417,757,14211,6,607,7,289,1928,272,635,533,128,277,799,2417,3431.3,0.48,1.2,0.0,0.0,0.12,2.94,0.19,0.77,0.05,0.11,0.06,0.03,0.26,0.0,71.03,18.12,0.65,0.12,0.31,1.12,0.1,0.09,0.0,2.23,0.01,2194,36435,19806,10.9,23106,35590,32375,15034,9661,6338,347,219,3,12,2,3,4,4,3,2,99,99,2,1,347,C*,1
0,Nordwestmecklenburg,13074,13,57,1786,35,694,3402,659,348,14720,2,593,3.8,40664,29028,36254,10040,5045,936,15566,2268,2474,3419,3947,2441,9264,535,3.05583,38.4827,84.4,22.6,10.0,14.7,45.7,7.0,213.9081,66.167680823,1590.4,595.5,42.6,1276,156729,157322,77899,78830,3948,4144,5721,6833,4128,2627,5447,6833,10147,10377,8882,10232,13385,14339,12844,17828,19014,6854,13976,28640,56890,39462,11500,5364,3.42,0.0081414415966413,10357,25550,15193,63.8,71.3,-32.0,15.2,4.6,2.2,195,21080,643147,2335845,7985,257,6,374,61,27,848,1081,225,447,87,348,234,893,422,161,233,574,165,1290,1,0,4136,1644,141,8,155,220,415,8727,2,375,3,206,1044,102,176,195,89,170,460,1444,3215.0,0.58,1.18,0.0,0.0,0.05,3.19,0.17,0.95,0.07,0.1,0.08,0.03,0.06,0.05,68.0,18.73,0.86,0.21,0.4,2.39,0.45,0.07,0.01,0.73,1.65,2495,38369,19899,10.5,17623,21070,20182,9073,7553,5766,348,217,3,11,2,3,3,3,3,2,5,99,2,0,348,C*,1
