_id,ags2,bundesland,ags5,kreis,kr_schuel,kr_schuel_vor,kr_schuel_grund,kr_schuel_haupt,kr_schuel_real,kr_schuel_gym,kr_schuel_waldorf,kr_schuel_geschul,kr_schuel_abend,kr_schuel_sonder,kr_schuel_orient,kr_schuel_mult,kr_schueler,kr_student,kr_azubi
48,03,Niedersachsen,03404,Osnabrück,19807,35,5310,790,2089,7699,-99,1109,234,1022,-99,1519,17863,22656,16416
49,03,Niedersachsen,03405,Wilhelmshaven,7071,16,2301,121,183,1590,-99,1366,-99,228,-99,1266,7123,5767,2760
50,03,Niedersachsen,03451,Ammerland,12928,55,4529,287,782,3703,-99,183,-99,540,-99,2849,13234,1177,3277
51,03,Niedersachsen,03452,Aurich,19867,34,6706,922,2764,4539,188,3745,-99,655,-99,314,17137,356,5005
52,03,Niedersachsen,03453,Cloppenburg,20263,36,7005,606,1762,4394,-99,397,-99,900,-99,5163,21518,202,5968
53,03,Niedersachsen,03454,Emsland,35945,255,12355,523,1019,10110,-99,648,-99,790,-99,10245,38154,0,11988
54,03,Niedersachsen,03455,Friesland,9293,74,3313,24,66,1984,-99,1665,-99,493,-99,1674,8652,722,2701
55,03,Niedersachsen,03456,Grafschaft Bentheim,14950,44,5160,1006,2021,4112,-99,-99,-99,477,-99,2130,15987,0,4176
56,03,Niedersachsen,03457,Leer,17087,64,5836,954,2046,3086,-99,2436,-99,548,-99,2117,17175,140,4909
57,03,Niedersachsen,03458,Oldenburg,12826,36,4914,322,954,2592,-99,669,-99,556,-99,2783,13441,569,1734
58,03,Niedersachsen,03459,Osnabrück,34642,91,13125,1000,2620,6827,684,2828,-99,798,-99,6669,36004,3197,2784
59,03,Niedersachsen,03460,Vechta,17212,125,5734,578,1569,4864,-99,-99,-99,714,-99,3628,17435,4829,5115
60,03,Niedersachsen,03461,Wesermarsch,9226,-99,3015,99,166,2799,-99,501,-99,284,-99,2362,8941,454,1941
61,03,Niedersachsen,03462,Wittmund,5951,47,1985,630,1293,1534,-99,-99,-99,214,-99,248,4969,53,1393
62,04,Bremen,04011,Bremen,54442,16,18341,-99,-99,10366,1068,23429,714,459,-99,49,51288,29788,20141
63,04,Bremen,04012,Bremerhaven,12496,-99,4417,-99,-99,1253,-99,6658,138,30,-99,-99,12794,2319,5231
64,05,Nordrhein-Westfalen,05111,Düsseldorf,61243,156,21619,2640,7271,19128,483,6565,856,2525,-99,-99,58034,43563,26561
65,05,Nordrhein-Westfalen,05112,Duisburg,52132,85,18203,811,3213,10827,145,14401,259,2313,-99,1875,50688,5941,15872
66,05,Nordrhein-Westfalen,05113,Essen,60584,95,19825,1435,7498,17671,441,8216,1203,3269,-99,931,59088,62485,20416
67,05,Nordrhein-Westfalen,05114,Krefeld,25444,82,7961,425,2350,6494,495,5984,376,1277,-99,-99,25774,11237,10164
68,05,Nordrhein-Westfalen,05116,Mönchengladbach,28525,-99,9340,2280,2607,6819,368,5801,-99,1310,-99,-99,28314,1052,9733
69,05,Nordrhein-Westfalen,05117,Mülheim an der Ruhr,18112,-99,6045,420,2201,4723,592,3676,-99,455,-99,-99,16460,6106,3529
70,05,Nordrhein-Westfalen,05119,Oberhausen,20303,-99,7089,-99,2466,4845,-99,5037,220,646,-99,-99,20445,3679,5506
71,05,Nordrhein-Westfalen,05120,Remscheid,12817,-99,3845,523,1406,3051,418,2443,185,485,-99,461,13142,1247,3625
72,05,Nordrhein-Westfalen,05122,Solingen,16859,-99,5505,171,1962,3428,-99,4680,-99,593,-99,520,16996,1782,4209
73,05,Nordrhein-Westfalen,05124,Wuppertal,38690,-99,12978,1996,4982,8535,377,7405,648,1769,-99,-99,37098,19289,10322
74,05,Nordrhein-Westfalen,05154,Kleve,30735,-99,10818,911,3918,7705,-99,4899,-99,1419,-99,1065,31865,6415,7659
75,05,Nordrhein-Westfalen,05158,Mettmann,51091,-99,17558,1136,6155,13907,659,8166,-99,1797,-99,1713,51660,5879,8263
76,05,Nordrhein-Westfalen,05162,Rhein-Kreis Neuss,50091,-99,16923,289,3532,16325,-99,9827,882,1350,-99,963,49809,5899,8941
77,05,Nordrhein-Westfalen,05166,Viersen,31903,-99,9909,856,2763,9324,-99,6902,513,1134,-99,502,33607,1298,5315
78,05,Nordrhein-Westfalen,05170,Wesel,47652,31,15466,594,3039,11633,547,12990,-99,1876,-99,1476,49931,1035,11796
79,05,Nordrhein-Westfalen,05314,Bonn,40749,-99,12134,1478,3626,14983,423,5538,1191,1376,-99,-99,40607,33933,13257
80,05,Nordrhein-Westfalen,05315,Köln,108502,286,37799,4909,12102,31261,712,14549,2607,4277,-99,-99,105314,89680,41479
81,05,Nordrhein-Westfalen,05316,Leverkusen,18806,-99,6205,857,2444,5615,-99,2954,-99,405,-99,326,19297,1856,6323
82,05,Nordrhein-Westfalen,05334,Aachen,56125,139,18151,1521,4932,16937,501,9812,599,2780,-99,753,58780,56760,18445
83,05,Nordrhein-Westfalen,05358,Düren,27128,65,8991,1098,1698,7442,-99,4865,-99,1352,-99,1617,27213,1074,6183
84,05,Nordrhein-Westfalen,05362,Rhein-Erft-Kreis,51005,-99,17528,3151,8059,14576,427,5567,-99,1697,-99,-99,51568,7915,9793
85,05,Nordrhein-Westfalen,05366,Euskirchen,21612,42,6780,826,2581,6682,82,3494,-99,1125,-99,-99,20962,335,3959
86,05,Nordrhein-Westfalen,05370,Heinsberg,26884,-99,8983,1421,3535,6686,144,5093,9,735,-99,278,28579,693,5823
87,05,Nordrhein-Westfalen,05374,Oberbergischer Kreis,32007,-99,10053,1225,4094,8109,455,4504,-99,1473,-99,2094,32954,259,7625
88,05,Nordrhein-Westfalen,05378,Rheinisch-Bergischer Kreis,30139,-99,10269,372,3128,9379,365,3642,-99,1309,-99,1675,29500,1808,3458
89,05,Nordrhein-Westfalen,05382,Rhein-Sieg-Kreis,65104,-99,22625,1404,3893,18776,390,13814,306,2531,-99,1365,66411,12646,8473
90,05,Nordrhein-Westfalen,05512,Bottrop,11341,-99,3931,349,1611,2978,-99,1922,-99,216,-99,334,11509,2836,2111
91,05,Nordrhein-Westfalen,05513,Gelsenkirchen,29994,154,10075,1612,2434,5117,-99,7298,993,1807,-99,504,28947,10136,9487
92,05,Nordrhein-Westfalen,05515,Münster,32885,171,10030,1144,3290,11716,408,3218,1026,1441,-99,441,32794,54240,18784
93,05,Nordrhein-Westfalen,05554,Borken,42261,-99,14302,1723,4771,9950,-99,6295,692,1584,-99,2944,45819,55,13011
94,05,Nordrhein-Westfalen,05558,Coesfeld,24456,-99,7813,1064,2960,6260,-99,3924,-99,907,-99,1528,26034,1228,6096
