_id,id,ags2,bundesland,ags5,kreis,kr_hh,kr_hh_1p,kr_hh_2p,kr_hh_3p,kr_hh_4p,kr_hh_5p,kr_hh_kind,kr_hh_k_00u03,kr_hh_k_03u06,kr_hh_k_06u10,kr_hh_k_10u15,kr_hh_k_15u18,kr_hh_dinks
48,48,03,Niedersachsen,03404,Osnabrück,90435,44433,27458,9135,8463,786,19454,3458,3101,3995,5072,2978,9259
49,49,03,Niedersachsen,03405,Wilhelmshaven,44954,22876,15589,3568,2723,103,7388,1345,1188,1512,1777,1267,4372
50,50,03,Niedersachsen,03451,Ammerland,58596,13955,28999,11029,3928,649,13019,1768,1945,2614,3866,2203,7307
51,51,03,Niedersachsen,03452,Aurich,94977,20477,59546,10472,3488,884,12497,1635,1768,2504,3903,2227,12731
52,52,03,Niedersachsen,03453,Cloppenburg,68867,14384,21906,21863,8330,2384,27449,3905,3893,5364,8272,4241,6361
53,53,03,Niedersachsen,03454,Emsland,139314,29935,53169,39393,13622,3195,48438,6978,6664,9390,14017,7472,15364
54,54,03,Niedersachsen,03455,Friesland,49949,11831,30368,5425,2098,217,6915,942,1034,1435,1981,1268,6580
55,55,03,Niedersachsen,03456,Grafschaft Bentheim,61366,13137,28568,13690,4922,1049,17061,2427,2545,3474,4922,2854,7688
56,56,03,Niedersachsen,03457,Leer,81621,16962,46915,12887,4067,790,15388,2214,2287,3025,4634,2636,10777
57,57,03,Niedersachsen,03458,Oldenburg,58556,12255,28634,11315,5386,957,14755,2049,2102,2965,4385,2485,7615
58,58,03,Niedersachsen,03459,Osnabrück,159794,49441,52994,31970,21063,4143,48758,6934,7044,9760,14197,7829,15812
59,59,03,Niedersachsen,03460,Vechta,59511,13601,19594,18308,6365,1643,23079,3429,3299,4523,6596,3687,5929
60,60,03,Niedersachsen,03461,Wesermarsch,44462,11740,24509,5346,2574,293,7475,1116,1066,1463,2194,1379,5564
61,61,03,Niedersachsen,03462,Wittmund,28521,6781,16719,3652,1197,172,3746,460,518,736,1209,701,3335
62,62,04,Bremen,04011,Bremen,303837,129093,111086,35121,22603,3872,62294,11316,10347,12631,16498,9781,34851
63,63,04,Bremen,04012,Bremerhaven,62557,30058,19248,7436,4322,928,12853,2275,2206,2720,3292,2078,5897
64,64,05,Nordrhein-Westfalen,05111,Düsseldorf,350663,188293,94747,32073,29158,5350,73159,14140,12797,15872,19035,10434,34657
65,65,05,Nordrhein-Westfalen,05112,Duisburg,248089,102085,81922,27091,31897,4566,67690,11959,10966,14089,17795,11038,28309
66,66,05,Nordrhein-Westfalen,05113,Essen,312228,150166,94718,28832,34469,3690,72172,12971,12112,14905,19410,11066,32289
67,67,05,Nordrhein-Westfalen,05114,Krefeld,118553,48903,43414,13093,11006,1409,27220,4600,4262,5757,7578,4473,13780
68,68,05,Nordrhein-Westfalen,05116,Mönchengladbach,135752,54367,52605,14196,12762,1555,30190,5160,4788,6234,8382,4955,17073
69,69,05,Nordrhein-Westfalen,05117,Mülheim an der Ruhr,88218,38108,29867,8803,10109,1191,21381,3738,3447,4667,5699,3381,9905
70,70,05,Nordrhein-Westfalen,05119,Oberhausen,108694,47681,35480,11175,13103,1230,27282,4704,4409,5777,7272,4377,12160
71,71,05,Nordrhein-Westfalen,05120,Remscheid,55915,22644,19570,6343,6413,870,14006,2345,2222,2855,3911,2302,6338
72,72,05,Nordrhein-Westfalen,05122,Solingen,80648,32203,29145,8807,9084,1167,19888,3224,3136,4115,5681,3319,9569
73,73,05,Nordrhein-Westfalen,05124,Wuppertal,184360,84003,56746,19175,20793,3029,45981,7926,7461,9720,12591,7223,19481
74,74,05,Nordrhein-Westfalen,05154,Kleve,136844,29276,64022,26330,13535,3670,39007,5801,5731,7969,11225,6267,18569
75,75,05,Nordrhein-Westfalen,05158,Mettmann,245768,93702,94525,29980,23236,3883,57276,9297,9143,12058,15949,9613,29499
76,76,05,Nordrhein-Westfalen,05162,Rhein-Kreis Neuss,209801,60988,87183,34872,21965,4393,59522,9659,9506,12511,16111,9704,28133
77,77,05,Nordrhein-Westfalen,05166,Viersen,140228,35121,68507,21661,12586,2197,34844,5363,5344,7114,9676,5992,20111
78,78,05,Nordrhein-Westfalen,05170,Wesel,216914,65638,92548,30756,23543,4162,55519,8542,8400,11283,15915,9098,27668
79,79,05,Nordrhein-Westfalen,05314,Bonn,172152,76495,56323,19232,16142,2853,38684,6655,6426,8355,10478,5936,19266
80,80,05,Nordrhein-Westfalen,05315,Köln,555363,246890,166265,65042,59055,13481,137856,25826,23477,28988,35143,20209,59362
81,81,05,Nordrhein-Westfalen,05316,Leverkusen,81641,30944,30542,9876,8833,1339,20737,3441,3395,4346,5711,3461,10189
82,82,05,Nordrhein-Westfalen,05334,Aachen,275982,99651,107825,34836,27460,4730,66037,10956,10356,13315,18001,10869,34436
83,83,05,Nordrhein-Westfalen,05358,Düren,120515,28063,57367,21779,11260,2020,33844,5445,5208,6983,9085,5483,16835
84,84,05,Nordrhein-Westfalen,05362,Rhein-Erft-Kreis,222860,61611,103415,32031,20890,4091,55713,9311,9098,11745,14887,9110,32066
85,85,05,Nordrhein-Westfalen,05366,Euskirchen,87941,17830,45568,15780,7285,1433,22912,3502,3515,4704,6359,3718,13171
86,86,05,Nordrhein-Westfalen,05370,Heinsberg,115810,20773,64135,20124,9116,1662,29360,4628,4586,6127,7656,5045,17660
87,87,05,Nordrhein-Westfalen,05374,Oberbergischer Kreis,126882,35286,55737,19686,13519,2399,33043,5153,5087,7053,9215,5419,16570
88,88,05,Nordrhein-Westfalen,05378,Rheinisch-Bergischer Kreis,134548,38677,60561,19767,13329,2153,34064,5107,5315,7151,9589,5809,18569
89,89,05,Nordrhein-Westfalen,05382,Rhein-Sieg-Kreis,274234,67526,125356,49198,26805,5225,77692,11971,12178,16427,21250,12626,38370
90,90,05,Nordrhein-Westfalen,05512,Bottrop,58469,23441,20428,6198,7567,818,15028,2403,2285,3047,4156,2584,6683
91,91,05,Nordrhein-Westfalen,05513,Gelsenkirchen,133628,60005,40888,13203,17343,1890,35582,6265,5762,7509,9534,5840,14104
92,92,05,Nordrhein-Westfalen,05515,Münster,169788,79288,53471,19640,13585,2583,34654,6238,5687,7144,8967,5164,17227
93,93,05,Nordrhein-Westfalen,05554,Borken,154869,33162,58841,39993,16278,6130,57642,8444,8196,11348,16991,9420,19128
94,94,05,Nordrhein-Westfalen,05558,Coesfeld,93048,20670,37999,20055,10468,3763,30900,4608,4542,5901,9139,5170,12113
95,95,05,Nordrhein-Westfalen,05562,Recklinghausen,307185,114670,119688,34622,33694,4267,73755,11946,11390,15237,20241,12467,37166
