ags5,date,ground_truth,pred,error
1001,2018-01-31,9.3,9.028458188554715,0.2715418114452852
1001,2018-02-28,9.2,9.031874266192595,0.16812573380740403
1001,2018-03-31,9.1,8.90925455472846,0.19074544527154025
1001,2018-04-30,8.8,8.975844063399421,0.1758440633994205
1001,2018-05-31,8.3,8.727950621513596,0.4279506215135953
1001,2018-06-30,8.3,8.628603570409206,0.3286035704092054
1001,2018-07-31,8.2,8.430929217986955,0.2309292179869562
1001,2018-08-31,8.3,8.424372525493148,0.12437252549314692
1001,2018-09-30,7.8,8.171579107378884,0.3715791073788841
1001,2018-10-31,7.7,7.810234166318596,0.1102341663185955
1001,2018-11-30,7.5,7.762995356001346,0.2629953560013458
1001,2018-12-31,7.3,7.830391479504311,0.5303914795043108
1001,2019-01-31,8.2,7.8014103984977465,0.39858960150225275
1001,2019-02-28,7.8,7.74676089783267,0.05323910216733019
1001,2019-03-31,7.8,7.625306329617261,0.17469367038273909
1001,2019-04-30,7.6,7.6340912135451715,0.03409121354517186
1001,2019-05-31,7.7,7.3625061289342595,0.3374938710657407
1001,2019-06-30,7.7,7.247820874389847,0.4521791256101535
1001,2019-07-31,8.1,7.799025697476661,0.3009743025233389
1001,2019-08-31,8.3,7.810793730216574,0.48920626978342696
1001,2019-09-30,8.3,7.553377909654234,0.7466220903457668
1001,2019-10-31,8.1,8.198364817193903,0.09836481719390378
1001,2019-11-30,8.0,8.173125359677964,0.1731253596779645
1001,2019-12-31,7.9,8.217352206145245,0.3173522061452445
1002,2018-01-31,9.1,9.126041600054748,0.026041600054748315
1002,2018-02-28,8.8,9.105356211510207,0.3053562115102064
1002,2018-03-31,8.7,9.017721526934258,0.3177215269342586
1002,2018-04-30,8.5,8.66264386393687,0.1626438639368697
1002,2018-05-31,8.2,8.406695538871496,0.2066955388714966
1002,2018-06-30,8.0,8.337694439881014,0.3376944398810142
1002,2018-07-31,8.3,8.183513339725083,0.1164866602749175
1002,2018-08-31,8.3,8.352037902471224,0.05203790247122342
1002,2018-09-30,7.8,8.089232520059193,0.2892325200591932
1002,2018-10-31,7.6,7.674637859886481,0.0746378598864812
1002,2018-11-30,7.4,7.588371829745319,0.18837182974531874
1002,2018-12-31,7.4,7.595657963277006,0.19565796327700546
1002,2019-01-31,7.9,7.795124808048315,0.10487519195168549
1002,2019-02-28,7.7,7.737616274163087,0.03761627416308677
1002,2019-03-31,7.8,7.646792262197029,0.1532077378029708
1002,2019-04-30,7.6,7.727583897882899,0.12758389788289914
1002,2019-05-31,7.7,7.485304339590775,0.21469566040922494
1002,2019-06-30,7.6,7.385582757500686,0.21441724249931404
1002,2019-07-31,7.8,7.822801667461818,0.022801667461818553
1002,2019-08-31,7.8,7.908686529318629,0.10868652931862943
1002,2019-09-30,7.4,7.634915290055684,0.23491529005568346
1002,2019-10-31,7.4,7.276301163275156,0.12369883672484416
1002,2019-11-30,7.2,7.1788887534941965,0.02111124650580365
1002,2019-12-31,7.2,7.18703572794784,0.012964272052160553
1003,2018-01-31,8.5,8.558106649551648,0.05810664955164846
1003,2018-02-28,8.5,8.566014014582771,0.06601401458277145
1003,2018-03-31,8.4,8.472492480614958,0.07249248061495805
1003,2018-04-30,8.1,8.247007602783032,0.1470076027830327
1003,2018-05-31,7.7,7.961521104911793,0.26152110491179315
1003,2018-06-30,7.5,7.840403260643382,0.3404032606433818
1003,2018-07-31,7.7,7.617256747576509,0.08274325242349079
1003,2018-08-31,7.7,7.70197525486382,0.0019752548638196643
1003,2018-09-30,7.3,7.488402891392516,0.1884028913925162
1003,2018-10-31,7.3,7.183066303044267,0.11693369695573264
1003,2018-11-30,7.3,7.126149066267903,0.1738509337320968
1003,2018-12-31,7.3,7.147795405360806,0.1522045946391941
1003,2019-01-31,7.8,7.7133906803905505,0.08660931960944929
1003,2019-02-28,7.6,7.717334606896797,0.11733460689679731
1003,2019-03-31,7.5,7.637380725661335,0.13738072566133486
1003,2019-04-30,7.4,7.336766891766731,0.06323310823326977
1003,2019-05-31,7.3,7.033041379488611,0.26695862051138874
1003,2019-06-30,7.1,6.906356778699749,0.1936432213002508
1003,2019-07-31,7.4,7.219811336229202,0.18018866377079856
1003,2019-08-31,7.3,7.2689335236800385,0.03106647631996129
1003,2019-09-30,7.1,7.027181829642327,0.07281817035767268
1003,2019-10-31,7.0,7.036641489800975,0.03664148980097526
1003,2019-11-30,6.9,6.983414976645927,0.08341497664592623
1003,2019-12-31,6.9,7.016021690235193,0.11602169023519249
1004,2018-01-31,9.0,8.982860813909033,0.017139186090966874
1004,2018-02-28,9.0,8.961095366628856,0.03890463337114447
1004,2018-03-31,8.9,8.795874131665329,0.10412586833467152
1004,2018-04-30,8.7,8.790745655601032,0.09074565560103309
1004,2018-05-31,8.5,8.604109454392958,0.10410945439295816
1004,2018-06-30,8.3,8.415526170078468,0.11552617007846777
1004,2018-07-31,8.3,8.51239161013464,0.21239161013463992
1004,2018-08-31,8.4,8.46432206812576,0.06432206812575991
1004,2018-09-30,7.9,8.228972171042193,0.32897217104219223
1004,2018-10-31,7.7,7.71138394424573,0.011383944245729971
1004,2018-11-30,7.8,7.580451291059073,0.21954870894092693
1004,2018-12-31,7.7,7.6629951973955235,0.037004802604476694
1004,2019-01-31,8.3,8.226848350412656,0.07315164958734499
1004,2019-02-28,8.2,8.218809953342957,0.01880995334295754
1004,2019-03-31,8.0,8.080761022745703,0.08076102274570296
1004,2019-04-30,7.9,7.893793678184531,0.006206321815469096
1004,2019-05-31,8.0,7.705369602270631,0.29463039772936916
